,Unnamed: 0.1,Unnamed: 0,statement,is_toxic,len_text,label
32,596,2019,"I see. That restriction sucks. Let's keep it the way you have it, otherwise we'll have to have this super uber ModuleAdapter, which sucks too.",1,142,toxic
33,327,524,"and repeatedly executing the same useless code is slow ...
 IMO, that's just papering over the code inefficiency.",1,113,toxic
34,292,3747,"oops i'm an idiot and can't read, it's not actually published :)",0,64,healthy
35,449,4509,"Sorry, I suck. I should have also told you to put this in pkg_preinst()",1,71,toxic
36,544,5367,"This variable names is the name of a variable parse by this codec, that is here, a list of pattern, so somethings likes patterns. If you just return parser.getVariableName, this will be 'list', and that no so stupid.",1,216,toxic
37,250,1179,Do you need a self.skip_space() here? Or is any space already skipped?,0,70,healthy
38,320,1171,Do we really need to protect against the file system changing under our ass? I think that's a bit excessive.,1,108,toxic
39,464,4675,that's actually a possibility? yuck!,1,36,toxic
40,516,843,check yourself before you wreck yourself...,1,43,toxic
41,570,2941,"Log(""%zu"", moving_slot); :D
 
 use %zu for size_t, %zd for ssize_t, then no ugly C++ casts.",1,91,toxic
42,434,829,"Cause it's more complicated to manage that, in this is slow-path code (it was a map, then I went with the lighter-weight vector). Admittedly naming sucks, I'll make it LockCountData.",1,182,toxic
43,103,889,"Consider checking that in.dataAvail() == 0 at this point. (i.e., there's no trailing garbage.)",0,94,healthy
44,365,6199,"Yes, checkpatch is a rather stupid style checker.",1,49,toxic
45,580,6497,"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.",1,103,toxic
46,480,5373,"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty.  Yuck!",1,129,toxic
47,555,3536,"Not a deal breaker but that kinda sucks. Is there a ""things to do after v2 launches"" bug list? This sounds like it should be added.",1,131,toxic
48,104,2153,I think we'd want lstat. is_mtd() on a symlink should fail.,0,59,healthy
49,196,1990,I needed it for DISALLOW_COPY_AND_ASSIGN. Removed.,0,50,healthy
50,158,5824,what about endianness here? It looks like all other methods explicitly extract individual bytes from a value,0,108,healthy
51,400,706,"Both clang and GCC are pretty stupid about this warning.

    struct foo = {}; // emits warning

Eventually this will all be C++ and we'll just have real constructors, but this will do for now.",1,193,toxic
52,380,2257,I would just read the right half of the diff here. The old interface was confusing garbage.,1,91,toxic
53,329,6070,"Wow, there's no way to make this automatic? Seems like a pain in the ass to recalculate every time we insert/remove a button.",1,125,toxic
54,35,4716,The comment seems incorrect now.  Is this a concern?,0,52,healthy
55,290,4394,ShowCounters() doesn't need start_time and end_time. But the duration_cast is annoying here. I move it inside ShowCounters().,0,125,healthy
56,325,2094,I think the formatting may have gotten screwed up (or Gerrit made it look ugly),1,79,toxic
57,7,4848,These are hardcoded here and in the zone functions. Put them all in one place.,0,78,healthy
58,207,3145,Need to kill off &periph_l_regs here.,0,37,healthy
59,263,1053,danalbert made this unnecessary. we've even started to remove them in places...,0,79,healthy
60,88,428,"Ah! Didn't realize GetWebMediaPlayer() is a public method... that's nasty, but helpful in this case :) Done.",0,108,healthy
61,427,535,"Any reason this code isn't preserving the sleep/umount, *while* dieing?  We know the gvfs idiocy exists; I don't see the cost in leaving in protective code in the die pathway.",1,175,toxic
62,276,5939,Why do you include this assignment if the next statement right after this block is another reassignment? Self-contained free-ing and init-ing block? Or copy-and-paste artifact?,0,176,healthy
63,597,2288,I'd like to buy your dictionary with your definition of horribly.,1,65,toxic
64,117,563,Are you planning a separate CL to remove SetFailureSilent here and in the mocks?,0,80,healthy
65,23,3269,nit: get rid of battery_percentage and just return the values directly below,0,76,healthy
66,468,2461,I'm hoping that you won't tell me that this is a horrible hack :),1,65,toxic
67,288,2519,"In that case, my personal take would be the alternative outlined in your first bullet. What I leave this up to you.",0,115,healthy
68,575,421,"ah crap...

For reasons unknown, this is always final line in the file. I think I'll need to deep-copy stack trace when capturing it.",1,133,toxic
69,129,3121,myButton.setIcon(hasMultipleItems() ? PlatformIcons.COMBOBOX_ARROW_ICON : null);,0,80,healthy
70,213,3099,mpAudioTrack should be initialized.,0,35,healthy
71,395,5185,This is ugly. Maybe subclass output manager for each interface type?,1,68,toxic
72,445,3488,"no, but i can change it to Lollipop. i just hate these stupid-ass names, and don't have an API level yet.",1,105,toxic
73,81,3496,"No, I think this is preferable to have an informational output cause a failure.",0,79,healthy
74,162,3404,"nit: unique_ptr<>& is a little ugly IMO, when not necessary.  Maybe
ExtensionThrottleEntry* entry = url_entries_[url_id].get();
?",0,129,healthy
75,270,608,"As with UiccCard this implementation has race conditions, use mLock style synchronization on all public methods?",0,112,healthy
76,36,775,Can we extract this to a function? All the exit points are die() statements so should be fine.,0,94,healthy
77,144,2960,"lsusb isn't built any more. should i add lsusb.c back into the makefile and restore libusbhost, or should i git rm lsusb.c?",0,123,healthy
78,521,3397,nit: this line is totally worthless,1,35,toxic
79,128,1715,"how about a SucideStage that does os.kill(os.getpid(), 9) ?",0,59,healthy
80,266,4003,"qwidget should be before any stl headers (as stl is a built-in library and Qt is just a 3rd party), and, IMO, ui_*.h should also go before system headers",0,153,healthy
81,542,1458,"FATAL:media_transfer_protocol_manager.cc(52)] Check failed: bus_.

It sort of sucks to have a bunch of ifs just to make the test pass. I'll check if we can put in some fake bus and get back to you.",1,197,toxic
82,489,2748,"I've generalized this to include all context managers as Alex prescribed.  I've also left a general warning not to be an idiot about locking.  Unfortunately, it won't reach its intended audience.",1,195,toxic
83,171,2165,i think you can leave these two out. (they have to be included by their mocks.),0,79,healthy
84,56,2920,Let's use DISABLE_HW_DECODE_ACCELERATION_BROWSER_ARGS or DISABLE_ACCELERATED_VIDEO_DECODE_BROWSER_ARGS.,0,103,healthy
85,390,5195,This isn't Chrome tracing.  This is dumb armsoc tracing into Xorg.0.log.,1,72,toxic
86,238,6448,You should put a kOnstant in here.,0,34,healthy
87,169,5774,we should remove all accounts of TYPE_0 too,0,43,healthy
88,119,2631,"Isn't system_api's dbus/service_constants.h violating this, then?",0,65,healthy
89,328,583,"arse!

good job one of us can read…",1,35,toxic
90,178,4803,"The umpire structure is based on twisted, and we probably want to use twisted primitives (such as deferLater) instead of threading.Timer.",0,137,healthy
91,476,3623,"Oh this is so lame... re.match() anchors the beginning, but not the end :P :P :P :P  What were they thinking?",1,109,toxic
92,353,5120,"This is kinda crappy. I just realized you can't query LayoutLibrary for the API level.
We should have a Capability for IMPROVED_VIEW_INFO or something.",1,151,toxic
93,383,1429,"Eww.  Yes I suggested the ternary there, but that's fugly. :)

if deps_filter_fn is None:
  deps_filter_fn = lambda x:x
self.deps_filter_fn = deps_filter_fn",1,156,toxic
94,232,2380,If you are trying to set this to false and you succeed at changing the setting but not at killing the daemon; should you fail? The update_engine will not share new files nor try to consume them; but the daemon will still be running until next reboot.,0,250,healthy
95,495,2936,"list is internal identifier, and xlist is a stupid name",1,55,toxic
96,136,473,"Ak, that was dumb of me not to see that, _that's_ why you did it that way.",0,74,healthy
97,552,6115,"Yeah reading the doc, getCanonincalPath will return a unique file per file (not per path).

However I don't want to use canonicalpath.

Java7 has a new class to handle this crap....",1,181,toxic
98,494,3863,please fix this silly trailing space issue,1,42,toxic
99,273,668,better just remove this completely than introduce a rotting DEBUG_CPPU_UNO,0,74,healthy
100,507,1584,"good thing you wrote it this way :) - you would've gotten screwed if you wrote ""org.conscrypt"".equals() because jar-jar would've helpfully changed the string for you.",1,166,toxic
101,301,707,brace indentation is screwed up here,1,36,toxic
102,553,1968,"I know this is simpler, but I don't know why an enterprise would care about disabling audio activity unless it delayed the lock screen. For the user in the enterprise case, losing this ability just becasue video is bad would suck.",1,230,toxic
103,303,711,"btw, `ECMASCRIPT6` significantly increases bundle size by adding dozens `$jscomp` variables like `const $jscomp$async$this=this;return $jscomp.asyncExecutePromiseGeneratorFunction ...` and ES6 polyfills. It's awful :(",1,217,toxic
104,231,2533,"indent with tabs, not spaces
 
 you could one-line it by doing:
 
  rm ""${D}""/boot/{config,System.map}-${version}
 
 you should add `|| die` after each `rm` since it isn't automatic",0,181,healthy
105,504,5780,"we still have sramfunc in plat_pmu_macros.S, so we need sram_test and sram_data. Oh, it so stupid use wrong sram size
before :(",1,127,toxic
106,377,1887,"I explored std::atomic<T>, but it's uglier to initialize and use (it's non assignable and initialized to junk).",1,111,toxic
107,388,1926,"I hate Qt's metatyping.

Moved to using a private data member instead of a slot argument.",1,89,toxic
108,31,4078,"Remove this warning because we must provide 15,30 and 30,30. We don't want people to ask if this message is a bug every time. Just keep the documentation.",0,154,healthy
109,283,6445,You should probably either handle view == null or add a DCHECK,0,62,healthy
110,431,3750,"Oops, brain fart :-) Sorry, I had misread that page (I overlooked the fact that most overloads only applied to unique_ptr<T[]>). Shutdown() got removed altogether in the end, so we won't be needing either version.",1,213,toxic
111,499,1575,"Good catch.

It sucks that we have multiple name spaces for the same stuff.",1,75,toxic
112,272,3366,"nit: should have a higher oom_score_adj to be killed earlier.
Don't forget the period.",0,86,healthy
113,459,2690,"It was also not immediately obvious to me why you were adding a bool to an int, but I get it now.

Is there any way to make this more 'idiot-proof' for the next reader of the code?",1,180,toxic
114,112,6042,With this option I don't get any respone after setenv stdin=usbkbd,0,66,healthy
115,306,910,correct -- this is how `gerrit` has always operated thus far.  i agree it's crappy behavior.,1,92,toxic
116,203,4094,"Remove.

""Let the shell script and MIMO updater check the PID.""",0,63,healthy
117,474,5885,When I change the API I will delete it. Having this kind of thing being a public millstone for the GC is ridiculous.,1,116,toxic
118,415,2443,I'm a sucker for early returns instead of adding an indentation to the whole function body. :),1,94,toxic
119,571,3676,"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.",1,114,toxic
120,338,5096,"This is existing code -- PostAsyncCallbackForUser -- I can actually use that as the holder for now.  Then we can kill it all after.

I agree - this is messy/ugly.",1,162,toxic
121,168,715,"Btw, the IDs starting with I... are Change-IDs you see in commit messages, identifiers of changes within gerrit. The ""real"" git commit IDs are the ones you get when browsing git log, prefixed with ""commit ..."".",0,210,healthy
122,99,2020,"I see. That's the error because you are trying to overwrite existing dir with symlink; while ""rsync -a"" was to fix symlink overwriting broken symlink.

Probably better to write a python script to do the copy, so you can select whatever to copy.",0,244,healthy
123,469,854,"chromite.cros.commands.* contradicts that. :)

Find stays, although an os.walkdirs or similar perhaps (the find was used since it's far simpler than the walkdirs crap, imo).",1,173,toxic
124,595,640,"Bash is a strange beast. Here's my problem:


$ echo 'somevar=""blah""' > test.sh
$ (. ./test.sh) || echo fail
$ echo ${somevar}

$ . ./test.sh || echo fail
$ echo ${somevar}
blah",1,177,toxic
125,255,5989,why not place this in the dirty bits iteration? (with a comment on why we need it for D3D11),0,92,healthy
126,473,2778,"just --ipv6 and default to true? i'm pretty sure that DEFINE_bool(ipv6, ...) should already give --noipv6, and --nono_ipv6 is pretty disgusting.",1,144,toxic
127,89,3590,"null should never happen, so I would use Preconditions.checkNotNull instead; otherwise an misconfiguration in TOUCH_NAME_TO_ENUM may be masked",0,142,healthy
128,265,3543,"not forever:)

The command will be killed at
https://chromium-review.googlesource.com/c/chromiumos/platform/tast-tests/+/1557300/1/src/chromiumos/tast/local/bundles/cros/video/encode/accel_video.go#330",0,201,healthy
129,20,4102,"replace the misleading javadoc with ""Equivalent to {@link Math.nextUp}.""?",0,73,healthy
130,227,4978,"This definitely seems useless. const pointer to a write-only buffer, which points past the end of valid data.",0,109,healthy
131,200,3762,"Oops, this IFNA should not be here, probably due to your rebase.",0,64,healthy
132,222,5246,"This needs *your* SOB.
As I mentioned before, please use:

git cherry-pick -x -s

To add the cherry-pick message *and your SOB*.",0,128,healthy
133,527,1151,"Dislike this here.  Is there a better place for this constant?

Alternatively, leave it here, then we move the git crap out of this lib into it's own module...",1,159,toxic
134,150,3511,"No, this os is temporary (allocated on stack), and will be destroyed at the end of this function",0,96,healthy
135,460,1008,"Damn it, how'd that slip through...",1,35,toxic
136,239,1788,"I am fine to create a new AssistantNotificationSubscriber.
 Do you mean to rename AssistantEventSubscriber interface to AssistantInteractionSubscriber?",0,151,healthy
137,234,1214,D'oh... stupid copy-and-paste errors. Someday I'll figure out how to type zh-CN directly into emacs...,0,102,healthy
138,180,2073,"I think so. For example, debuggerd uses this feature to dump parts of the stack of the crashing process.",0,104,healthy
139,175,4418,"Since these APIs can't be used by anything other than the smart card process they should be hidden so they won't show up in the SDK. To do that please add a javadoc comment that includes the @hide tag, like this:

/**
 * @hide
 */",0,230,healthy
140,192,4181,"Same here, useless error in a console log.",0,42,healthy
141,259,4024,recommend pcre_options = PCRE_ANCHORED,0,38,healthy
142,496,1521,future language designers take note: this is the kind of silliness that results when you don't allow trailing commas,1,116,toxic
143,256,3583,"Now this is the ""made up"" delay. ...it's much smaller, I don't think it needs to be very much.",0,94,healthy
144,138,5350,this subject line is a bit uninformative,0,40,healthy
145,174,2716,"It's an unfortunate side-effect of the module() member of ModuleEnv being const. I think that member is worth const-ing, to communicate clearly that consumers of ModuleEnvs that the WasmModule is not mutable by them.",0,216,healthy
146,125,5608,Use GEM mmap. Whether or not the buffer is tiled is an implementation detail.,0,77,healthy
147,197,5553,"Urgh, annoying... How much work is it to test the ""users""? How many are there in the first place? Can you not just inspect them manually and make the change? Otherwise I suggest switching to Python...",0,200,healthy
148,318,1942,I heard about that - apparently it may create a black hole that consumes your children.,1,87,toxic
149,4,5259,This only needs Is* methods. Remove from friends and make Is methods public.,0,76,healthy
150,481,6116,Yeah this one is a bit weird. I believe it's possible to remove it by using the InputMethodKeyboardController interface instead. I can give it a try.,1,149,toxic
151,274,2525,In the kernel where they dislike* typedefs.,0,43,healthy
152,393,3308,Nit: let's nuke the |numPopups| param for sake of simplicity.,1,61,toxic
153,296,4685,"that's just silly. if we really worried about that, we would also include the date and the log tag and the fact that this is of class error!",0,140,healthy
154,362,572,"Argh, brain fart from a previous version of the patch :(",1,56,toxic
155,106,756,Can this be incognito profile? We currently persist download directory in original profile.,0,91,healthy
156,340,5496,"ugh.  I hate nested #ifdefs.  No choice, I guess...  ;)",1,55,toxic
157,204,2811,kiking is simple - killing of reaper_thread and closing usb device endpoints.,0,77,healthy
158,574,1210,"D'OH! Shit, sorry... you should've told me that something broke for you. I'll fix it right away.",1,96,toxic
159,411,6066,"Wow, did we miss an obvious bug right here!  What idiot LGTM'd this?  :)

I'm fixing this as part of another CL now.",1,116,toxic
160,202,1373,"edit: Okay, pylint just told me that I'm an idiot and that you meant the error() function in argparse instead.",0,110,healthy
161,152,1889,I feel it is better if you use bitwise OR instead of arithmetics.,0,65,healthy
162,336,5866,"what the heck! I changed this, but somehow it was lost.",1,55,toxic
163,121,3209,nit: add a simple constructor so it isn't possible to create one of these with garbage in the 'type' member,0,107,healthy
164,385,5486,"ugh, damn autoserv, bringing it back.",1,37,toxic
165,573,1042,"Damn, you're right. My bad, the alias table was even malformed, but this was hidden by the full resource table, which masked it completely. This is now fixed. Thanks for spotting this.",1,184,toxic
166,514,1564,"Global context kinda sucks for following code flow, but I know we rely heavily on this param global.",1,100,toxic
167,384,2465,i'm just going to kill WaitForService() because it is dumb,1,58,toxic
168,589,5355,"This test is a horror show, but it is temporary state until all v1 crap is deleted.",1,83,toxic
169,237,456,"Ah, this is why your hack only runs for USID = 0",0,48,healthy
170,470,4487,"something is going wrong with the indentation here - or perhaps before, make sure it's 4 spaces (and configure your editor to ensure that, if it is too dumb to do it out of the box)",1,181,toxic
171,549,6147,"Yeah, it's like this code has entered a squishing competition. Sucky if you ask me, but agree with the line removal here and below - it's consistent with the rest of the code, and that matters more than anything else when coding at chrome-team scale.",1,250,toxic
172,66,3237,"nit: const pointer.
 i.e.
 
  AppListViewDelegate* const view_delegate_;
  SearchResultPageView* const search_result_page_view_;",0,128,healthy
173,10,6064,Wow yeah.. how did that git in there (goes to git blame)...,0,59,healthy
174,572,2644,"it can be ignored, although the consequences of that CONFIG_PROTECT wise may bite us in the ass to say the least.",1,113,toxic
175,588,3485,No worries! the part of the code is pretty ugly and it is sooooo hacky! :-),1,75,toxic
176,402,5349,This stupid reviewer error (leaving the scrolllock test mode on when committing) was fixed with commit d38459355e3e845ad8db3c515536267923afe3ec,1,143,toxic
177,467,4789,The repeated setter looks ugly. Consider one masking step.,1,58,toxic
178,425,1686,"Hmm, you are right. These should not be included by CQ until they're submitted.

Note that the CLs will not show up as chumps because they're submitted by chrome-bot.",1,166,toxic
179,433,995,dammit! thanks for keeping me honest :),1,39,toxic
180,173,4368,Should we just get rid of the brackets or are they actually useful?,0,67,healthy
181,240,5693,"vpx_dsp/ should be enough, then you'd move this after vpx_integer.h for the sort order",0,86,healthy
182,562,1030,"Damn, good catch, I added that if() without thinking and my test just coincidentally happened to work.

Fixed and added another test to cover that case.",1,152,toxic
183,261,5925,"why bother ?  if mount_gpt_image gets a bad flag, just let it die ?  then this func turns into one call:

 ""${SCRIPTS_DIR}/mount_gpt_image.sh"" --remount ""${MOUNT_GPT_OPTIONS[@]}"" ""$@""",0,183,healthy
184,442,2587,"Is it really safe to handle these IRQs now, at syscore resume time?  Cocks and GPIOs may not have even been initialized yet.",1,124,toxic
185,19,2759,"JavaTime is an int64, but base::Value only supports int.",0,56,healthy
186,83,5759,we should just delete this entirely and use sys_tgkill from linux_syscall_support,0,81,healthy
187,33,2245,"I wonder if the indirection is worth it...

Perhaps a comment would be more helpful here:

  # Create a Datagram socket
  s = socket.socket(socket.AF_INET6, socket.SOCK_DGRAM)",0,175,healthy
188,102,3309,nit: Let's write BindRepeating. ditto for other callbacks.,0,58,healthy
189,79,5587,Use can use die() here... this should never happen and indicates a bug.,0,71,healthy
190,537,3469,"no magic.. just this coder dumbness
tried another way...",1,56,toxic
191,210,2737,"Its requried for linkage, should I add a dex_instruction_utils.cc to get rid of it?",0,83,healthy
192,244,1414,error -> die.  then you can drop the exit below.,0,48,healthy
193,485,3569,note the new __LP64__ check. we don't want to fuck 64-bit bit up like 32-bit was fucked.,1,88,toxic
194,281,790,Can we remove WidgetCreationType and kWidgetCreationTypeKey?,0,60,healthy
195,118,1751,"How long does this take? The run queue idle needs to be really fast, since it will block EVERYTHING in Goofy. If it takes a long time, maybe it should be a separate thread after all.",0,182,healthy
196,122,3219,"nit: both interfaces take a pid.  Make the ordering the same (first on both?)? (yeah, my fault that they're different.)",0,119,healthy
197,247,881,CONFIG_FTRACE is expensive and not necessary for systrace.  All you need is CONFIG_SCHED_TRACER.,0,96,healthy
198,54,3125,"Nah, because I want to make it REALLY HARD to do something stupid that causes us to lose track of locked hosts.  This way, you can't remove hosts from self._hosts short of flat out blowing it away and replacing it with something else.",0,234,healthy
199,302,3773,"Oops...""Click here info"" reads pretty awful :-D

Fixed!",1,55,toxic
200,372,1010,"Damn it, I swear I know how to speel this word.  Fixed.",1,55,toxic
201,148,2607,"is this actually what we want, or do we just want raw /proc/pid/maps output? bdc? cferris?",0,90,healthy
202,583,1672,"Hmm whitespace looks dumb there.  Perhaps just drop the trailing comma?
I wrote that, thanks for linting.",1,105,toxic
203,519,3632,"Oh, crap. Sorry, yes, it does.

Despite the escape, I still parsed it as '0'. I'm brain dead today.",1,99,toxic
204,43,4202,SCROW instead of sal_uInt16. If not SCROW then at least a 32bit type.,0,69,healthy
205,233,4002,"quote the $D and drop the ""|| die""",0,34,healthy
206,41,2492,I'm somewhat of a fan of still having the (useless) &= ~(7 << 4) just to make it obvious that we're setting a field.  ...but I guess that's a matter of opinion.,0,160,healthy
207,461,5228,this means that any calling code that uses this needs to be built with _FILE_OFFSET_BITS=64 too. i guess the fact that it's all C++ means we're safe because the mangled names won't match if you screw up?,1,203,toxic
208,62,2780,Just let this declare that it throws InterruptedException? Otherwise you have a bug if Daemon.stop() is called while waiting. It might claim finalization took 10 seconds when it really didn't.,0,192,healthy
209,484,4186,same rant about using the standard shit. Done.,1,46,toxic
210,110,4787,the --product option doesn't seem to be used by this script. probably a left-over of experimentation,0,100,healthy
211,392,1961,"I know that I mentioned this already, I'll just do it one more time, just in case. If you used vector<uint8_t> for binary data, you wouldn't have to do all those casts and you wouldn't need those ugly hacky string_as_array() calls as well. :)",1,242,toxic
212,258,4906,Thing is I usually find it silly to have case A: case B: if (A),0,63,healthy
213,590,4972,"This could also be improved as above.  Also, I simply hate
the unnecessary \ continuation.  Finally, the quotes here are
silly.",1,127,toxic
214,437,2002,"i realize FatalError shouldn't return, but if we're being this anal, it seems odd that there's no free(3).",1,106,toxic
215,322,2127,I think this sucks but can't find a better way to do inline styling.,1,68,toxic
216,228,888,Consider an enum class for cleanliness.,0,39,healthy
217,46,5143,"This is quite an abuse of C enum.
I don't know how much of proper code review is expected to this third-party code.",0,115,healthy
218,315,1537,"Gentoo's python framework likes to use crap wrappers.  it might be possible to make it work, but i don't know.  i'd have to ask.",1,128,toxic
219,108,6421,You should be able to get rid of this and create a fake sysroot.,0,64,healthy
220,42,6416,"you seem to always cd into this dir in the src_* funcs.  perhaps you'd be better off changing the value of S to like:
S=""${WORKDIR}/asan/clang_src""",0,147,healthy
221,401,2047,"I think at this point the IOMMU is in a broken state anyway and the whole system is screwed. ;)

Generally this shouldn't happen, though...",1,139,toxic
222,225,1833,I destroy dev_priv->wq on failure.,0,34,healthy
223,341,5520,"uint8_t src_data[] = ""thirtytwo-bytes-of-nonsense-data"";

sizeof(src_data);",1,75,toxic
224,396,673,Better to use tr -d here. But I think it is very braindead.,1,59,toxic
225,141,945,"couldn't you can simplify all of this to:
 bool call_service_manager_started_callback = !service_manager_context_;",0,114,healthy
226,299,4918,this afternoon's job is removing this and the PR_SET_VMA hack too...,0,68,healthy
227,558,6149,"yeah, it's used by to share SHA1-related constants. yuck.",1,57,toxic
228,223,2540,"Indention should be:

blah = Blah(stuff,
                  stuff2,
                  stuff3);",0,93,healthy
229,2,3509,"No, the line is correct, it is SAL_INFO( area, expression)",0,58,healthy
230,93,1227,"Done

But if kill() or getpid() starts to fail, I'm pretty sure we have way worst problem that failing the test :)",0,114,healthy
231,184,3522,Nobody uses CreatePerUserTopicInvalidationClient. Who is going to own InvalidationClient*? Does it make sense to return std::unique_ptr<InvalidationClient>,0,155,healthy
232,282,2128,"I think this will expand to: ""disable-/path/to/init/main.d/goofy""

maybe: ""$(dirname ""${rule_file}"")/disable-$(basename ${rule_file%.sh})""

which will be /path/to/init/main.d/disable-goofy",0,188,healthy
233,27,6329,"You could record the PID of the bot in a file after you kick it off, then kill the bots by using os.kill.

Even if you continue using ""ps a"", I think it's better to use python's re and os modules than shelling out to grep awk and kill.",0,235,healthy
234,160,5231,"This method does a lot more than this description. It would help to have some comments either here on inline regarding garbage collection, worst offenders, region lock, ...",0,172,healthy
235,133,1685,"Hmm, what should we do when these early returns are hit while there is pending Receive request? Currently it will enter deadlock.",0,129,healthy
236,95,588,"as far as I can tell, it's useless, and should be removed.  The whole 'passing arguments to a test' construct should be removed, from all the tests you're working on.",0,166,healthy
237,1,659,Because you std::move() the context_provider into context_provider_ it's always null the second loop.,0,101,healthy
238,13,2052,I think I actually shouldn't have removed this because there's now a bunch of crap in my working directory...,0,109,healthy
239,28,1644,"Here and below, please use assertEqual instead of assertTrue with ==.",0,69,healthy
240,559,1290,"Done.
Of course, excuse the brain fart :)",1,41,toxic
241,229,2104,I think the rockchip_configure_pd_cnt () should put in probe().,0,63,healthy
242,458,5403,"This won't break if that's not true, but it'll keep us from being a bunch of idiots if we do break it, so yeah. And it does protect against duplicates.

Done.",1,158,toxic
243,116,3969,probably worth pointing out that sample_type is a *bitmask*.,0,60,healthy
244,540,6101,ya. darn. i thought i snagged all these.,1,40,toxic
245,557,933,could you add this too ?  emacs sucks :p,1,40,toxic
246,366,2113,"i think this changes the behavior of ""reboot-bootloader"". didn't ""reboot-bootloader any old crap can follow"" work?

i feel like we're making this already unreadable mess even worse.",1,181,toxic
247,55,3427,Nit: you could use your StringBuilder above to do this concatenation.,0,69,healthy
248,440,1418,"even reading the bug, this seems very bogus to me. can we just lose all this crap?",1,82,toxic
249,436,864,Code was moved. I agree that magic constants suck.,1,50,toxic
250,132,5125,This is monochrome_public_common_apk_or_module_tmpl.,0,52,healthy
251,455,431,"Ah, crap.

This is non-trivial to implement efficiently given the current entity structure. I'll implement it half-assedly and warn in the doc about that.",1,154,toxic
252,354,1036,"damn, this conflicts with my change in progress :-(",1,51,toxic
253,5,3843,please add `|| die' in the end of the line,0,42,healthy
254,551,4606,"Sure, but it doesn't hurt either. (hmm, Windows is stupid because it is not POSIX?)",1,83,toxic
255,37,5829,What about vb2_get_keyblock? It's not restricted to vblock.,0,59,healthy
