,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_gpt-120b,final_label
595,854,940,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.","Configuration details: Windows 10, TensorFlow 2.1.0, LSTM model – batch_input_shape set in the first layer, input_shape not set.",Neutral,Neutral,short,0.3333333333333333,0.1666666666666666,0.2222222222222222,"('timeline_status', 'Professional/Formal', 'List')",45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
1792,2543,648,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"By exporting the variable `CUDA_LAUNCH_BLOCKING=1` (e.g., `export CUDA_LAUNCH_BLOCKING=1` on Unix-like shells or `set CUDA_LAUNCH_BLOCKING=1` on Windows) prior to running the CUDA application, the race condition causing the failure is removed and the code executes correctly.",Knowledge,Knowledge,short,0.0,0.0,0.0,"('Professional/Formal', 'Confidence', 'Expand')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
255,383,413,pytorch_pytorch,issue,17501.0,"After testing on GPU, if I set the batch size low enough it runs very fast, but anything over 2 and it runs out of memory (8gb GPU). How would I go about debugging the memory usage?","Observed OOM on an 8 GB GPU when batch size exceeds 2, while batch size ≤2 runs successfully.",Neutral,Neutral,short,0.2222222222222222,0.1081081081081081,0.1454545454545454,"('action_items', 'github_native', 'Concise')",19,19,19,19,19,pytorch_pytorch,issue,17501.0,Known,short,,,,,,,,2,2,1,Neutral,1
1028,1524,1663,numpy_numpy,pull,28453.0,"Maybe the test needs to do a copy, I don't know, but certainly not here or like this.",Tagging @test-team for clarification on the appropriate placement of the copy step.,Neutral,Neutral,short,0.0833333333333333,0.0555555555555555,0.0666666666666666,"('documentation_action', 'Technical', 'Expand')",79,79,79,79,79,numpy_numpy,pull,28453.0,Known,short,,,,,,,,2,2,1,Neutral,1
2234,3113,1239,pytorch_pytorch,issue,155218.0,"I'm wondering if there is a difference in the cuDNN version here, what does torch.backends.cudnn.version() show in your setup?",Do you think the cuDNN version might be different on your end? Could you run `torch.backends.cudnn.version()` and tell me what it prints?,Known,Known Unknown,short,0.1818181818181818,0.2105263157894736,0.1951219512195122,"('Casual/Conversational', 'Exploratory', 'Neutral')",26,26,26,26,26,pytorch_pytorch,issue,155218.0,Known,short,,,,,,,,2,2,1,Known Unknown,2
4082,5659,3870,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"What we’ve discovered is that the problematic behavior is caused by a library that VSCode pulls in from an external source; this means the source of the issue is upstream, and adjusting our own VSCode extension or project files will not eliminate the bug – it will require a fix from the upstream project.",Knowledge,Knowledge,short,0.0925925925925925,0.217391304347826,0.1298701298701298,"('Neutral', 'Exploratory', 'Expand')",83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
951,1422,1557,numpy_numpy,issue,26878.0,"It occured to me that it may be possible to unpickle via np.ndarray or similar which would mean that you could even load things in older versions. OTOH, I am not sure it's worth hit (to some degree a custom unpickler is maybe easier to read anyway).",Discussion of the trade‑off between an np.ndarray‑based unpickling approach and a custom unpickler in terms of readability.,Neutral,Neutral,short,0.1764705882352941,0.0638297872340425,0.0937499999999999,"('timeline_status', 'Casual/Conversational', 'Expand')",74,74,74,74,74,numpy_numpy,issue,26878.0,Irrelevant,short,"Not sure, if Knowable known
unknowns is applicable",Irrelevant,Known Unknown,"Like in a previous case, this is one the cases where another classification is useful. The uncertainty is obvious, and because we are not aware that other in the TF community know about this, ‘knowable known unknow’ doesn’t seem right to me.","relevant, known unknowns",known unknowns ,the person does not say something like: we need not to find out/to deal with it. Finding an answer is relevant; it could turn out that it is irrelevant: I am not sure if it is worth…“,2,3,1,Neutral,1
4205,5816,4030,microsoft_vscode,issue,190859.0,Happened to me yesterday too. Spend a lot of time rebooting my machine and killing processes until I tried regular vscode to find that port forwarding was working fine there. What is weird though is that the browser just hangs. Nothing happens if you try localhost:4000. There is no error it just hangs but if I try a port that isn't being used like localhost:5000 then the browser says that there is a connection error,"Yesterday I ran into the same problem: my development machine kept restarting, and I kept killing stray processes hoping to free the port. Eventually I opened a plain VS Code window (without any extensions) and verified that the SSH remote tunnel forwarding to port 4000 was listed as active. Strangely, when I open a browser and type http://localhost:4000, the request never completes—it just spins with no response or error code. If I instead point the browser to a port that I know is not being forwarded, such as http://localhost:5000, the browser promptly reports a 'connection error' (ECONNREFUSED). The discrepancy suggests that the forwarding mechanism is alive, but the HTTP payload is not reaching the remote service, and I don't know what component is dropping it.",Unknown,Known Unknown,short,0.176,0.2933333333333333,0.2199999999999999,"('Technical', 'Hedging', 'Expand')",86,86,86,86,86,microsoft_vscode,issue,190859.0,Unknown,short,"person seems to be quite surprised about the error. Could also be Unknown unknown, I guess.",Unknown Non-Knowledge,Unknown Unknown,The person at that moment was not aware that they didn’t know about the problem.,known unknown (a question can be posed although it is not posed),known unknowns ,unknown unknowns for what has been yesterday. Today the person can already ask a question,2,1,1,Known Unknown,2
4216,5830,4045,microsoft_vscode,pull,191501.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,This issue stems from CLI/SDK compression processing.,Knowledge,Knowledge,short,0.2857142857142857,0.1333333333333333,0.1818181818181818,"('Neutral', 'Neutral', 'Concise')",87,87,87,87,87,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
3416,4651,2812,numpy_numpy,issue,28024.0,"Hmmm, I doubt that this changes the situation much (w.r.t how disruptive the change would be).
In the end, won't many/most of the problematic objects (e.g. pandas dataframe, or even torch tensors) already have an __array__ attribute, but still return their own type for np.mean() right now?
(IIRC, np.asarray(torch) raises an error, which is also disruptive, but maybe more desirable.)

I wonder if we could nudge libraries towards implementing __array_function__. Although, I am not sure that is quite convenient enough for having partial support.

Could there be a (very slow) deprecation path for this? Right now, I am not sure...",Could we consider a very slow deprecation path for this? I am not sure whether such an approach would be feasible or beneficial at this time.,Irrelevant,Known Unknown,long,0.3461538461538461,0.09,0.1428571428571428,"('Professional/Formal', 'Hedging', 'Concise')",60,60,60,60,60,numpy_numpy,issue,28024.0,Irrelevant,long,,Irrelevant,Known Unknown,,"relevant, known unknowns",known unknowns ,"what is not known seems to be relevant. The person thinks loud on what a solution could be and how a question could be answered. Nonknowledge would be irrelevant, when the person concludes that there is no need for action. … For the Roberts category it is as always not 100% clear, but it seems that the problem is new and nobody might know",2,3,1,Known Unknown,2
2168,3023,1140,pytorch_pytorch,issue,155309.0,I think we need a better way to detect aliasing here.,Is there a more robust alias‑detection technique we can use?,Known,Known Unknown,short,0.1,0.0909090909090909,0.0952380952380952,"('Casual/Conversational', 'Hedging', 'Concise')",24,24,24,24,24,pytorch_pytorch,issue,155309.0,Known,short,,,,,,,,2,2,1,Known Unknown,2
4329,5957,4173,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!","Root‑cause analysis revealed that the SDK's compression path uses Node's `zlib` bindings, while the CLI defaults to the Rust `flate2` crate (a miniz port). Because miniz does not perform a clean flush on SYNC‑aligned boundaries like zlib, decompressed output can be delayed, leading to observable stalls and occasional connection instability.",Knowledge,Knowledge,short,0.26,0.2,0.2260869565217391,"('Technical', 'Confidence', 'Expand')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
542,774,851,tensorflow_tensorflow,issue,24828.0,Had same problem with cuda 9.0 and cuDNN 7.0.5.15-1 on Ubuntu 16.04 with Tensorflow 1.12. Updating to cuDNN 7.4.2.24 fixed this for me!,Tagging @tensorflow-team for discussion on cuDNN version compatibility with TensorFlow 1.12.,Neutral,Neutral,short,0.2727272727272727,0.1304347826086956,0.1764705882352941,"('social_acknowledgment', 'Casual/Conversational', 'Expand')",40,40,40,40,40,tensorflow_tensorflow,issue,24828.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
3753,5112,3295,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","Referencing that PR, @Mugundanmcw was right: MSVC is missing many of our usual dispatch capabilities, and the VQSort build failed because the compiler ran out of heap memory.",Knowledge,Knowledge,short,0.2857142857142857,0.2222222222222222,0.25,"('Neutral', 'Neutral', 'Neutral')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
1169,1711,1863,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!",Possible correlation between the observed data stall and connection stability mentioned in related discussions.,Neutral,Neutral,short,0.2857142857142857,0.0615384615384615,0.1012658227848101,"('reference_format', 'Professional/Formal', 'List')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
621,889,978,tensorflow_tensorflow,issue,60798.0,"I am trying to build Tensorflow from source with flag /MT (I require this so that the tensorflow.dll does not require the vcruntime libraries on startup). I tried this command: bazel build tensorflow:tensorflow.dll --copt=/MT. But i get errors. It seems, like something is wrong with spaces in path. But i builded tensorflow successfully without /MT flag.",Error output references possible problems with spaces in the file system path.,Neutral,Neutral,short,0.3333333333333333,0.0714285714285714,0.1176470588235294,"('reference_format', 'Casual/Conversational', 'Expand')",46,46,46,46,46,tensorflow_tensorflow,issue,60798.0,Known,short,,,,,,,,2,2,1,Neutral,1
2199,3078,1201,pytorch_pytorch,pull,155734.0,"torch.export.export() uses fake tensors during graph tracing, which don't have actual memory storage. The RNN module's flatten_parameters() method was calling p.data_ptr() for aliasing detection, causing ""Cannot access data pointer of Tensor"" errors on GPU.","In torch.export.export() the graph is traced using synthetic tensors without real storage; the flatten_parameters() method of an RNN module queries p.data_ptr() to detect shared storage, and because the tensors are fake, the call raises a GPU error indicating that the data pointer is inaccessible.",Knowledge,Knowledge,short,0.1590909090909091,0.2058823529411764,0.1794871794871795,"('Professional/Formal', 'Exploratory', 'Neutral')",25,25,25,25,25,pytorch_pytorch,pull,155734.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
1364,1986,75,pytorch_pytorch,Issue,154556.0,The symptom comes from the functionalization implementation for the flex_attention HOP,"FYI, the flex_attention HOP functionalization is the source of that weird behavior.",Knowledge,Knowledge,short,0.25,0.2727272727272727,0.2608695652173913,"('Casual/Conversational', 'Hedging', 'Concise')",1,1,1,1,1,pytorch_pytorch,Issue,154556.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
675,990,1087,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,Created a Conda environment with Python 3.9.8 and executed `python3 -m pip install tensorflow[and-cuda] --user` following the official installation guide.,Neutral,Neutral,short,0.4,0.1632653061224489,0.2318840579710144,"('comparison_contrast', 'Technical', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
1139,1675,1823,microsoft_vscode,pull,191501.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,Compression routine in the CLI/SDK produces unexpected results under certain conditions.,Neutral,Neutral,short,0.1818181818181818,0.1333333333333333,0.1538461538461538,"('social_acknowledgment', 'Technical', 'List')",87,87,87,87,87,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
674,989,1086,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,Rebuilt the repository in an isolated Conda environment configured for TensorFlow.,Neutral,Neutral,short,0.2727272727272727,0.0612244897959183,0.1,"('comparison_contrast', 'Technical', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
4475,6225,4457,microsoft_vscode,,251913.0,"Hi thanks for filing this issue. Could I ask you several question as I do this investigation?

    First of all I'd like to ask you what version of the Microsoft Pinyin you are using? In the similar issue filed by other Microsoft Chinese IME users: 

    VSCode switching input method fails #251518, it has been found that using the older version of the IME leads to some issues. If you are using the older version, could you upgrade and let me know if you still see this?
    Could you please let me know if you see this happen on the website : https://microsoftedge.github.io/Demos/edit-context/. This is a simplified version of the code that we use to power our input using the EditContext API.
    Could you please let me know if you see this happen on the website : https://insiders.vscode.dev/ when the EditContext setting is turned on?

Thank you.","Appreciate the issue report. To move forward I need to know which Microsoft Pinyin version you’re using. Earlier tickets (like #251518) showed that legacy IME versions trigger these bugs, so if you’re on an older release, upgrade and confirm whether the issue remains. Please also run the test page https://microsoftedge.github.io/Demos/edit‑context/ and report what you see, and do the same on https://insiders.vscode.dev/ with EditContext enabled.",Known,Known Unknown,long,0.234375,0.1027397260273972,0.1428571428571428,"('Casual/Conversational', 'Confidence', 'Neutral')",96,96,96,96,96,microsoft_vscode,,251913.0,Known,long,,,,,,,,2,2,1,Known Unknown,2
260,390,421,pytorch_pytorch,issue,17501.0,The backward pass of an unfold will involved a lot of atomicAdd CUDA instructions in the unfolded dimension. That is what slows down the backward a lot.,Reference: discussion on unfold backward performance and atomicAdd usage in issue #1234.,Neutral,Neutral,short,0.25,0.1111111111111111,0.1538461538461538,"('procedural', 'Professional/Formal', 'List')",20,20,20,20,20,pytorch_pytorch,issue,17501.0,Knowledge,short,,,,,,,,0,0,0,Neutral,1
2279,3158,1285,pytorch_pytorch,issue,154721.0,"torch.export.export seems to produce invalid code for Tensor.split when used with meta device. I am not sure if this is something that needs to be fixed, but here is the report anyway.","I'm wondering if torch.export.export incorrectly handles Tensor.split when the target is a meta device—does it emit invalid Python code? Not sure if this is a defect to address, yet here's the report.",Irrelevant,Known Unknown,short,0.3125,0.3125,0.3125,"('Neutral', 'Exploratory', 'Neutral')",27,27,27,27,27,pytorch_pytorch,issue,154721.0,Irrelevant,short,,Irrelevant,Known Unknown,"To the extent that this segment doesn’t provide enough context, I would say that the Giuliano’s model should consider it this part irrelevant for the purpose of classification.","irrelevant (but it is not completely clear, if the reference to the report means: we will not further deal with it)",known unknowns OR unknown knowns,"from this segment it is not possible to decide, if „I am not sure if this is something to be fixed“ can be answered by someone else – in that case it is unknown knowns; if nobody else can answer the question it was known unknowns ",2,3,1,Known Unknown,2
2462,3427,1560,tensorflow_tensorflow,issue,83379.0,"You're absolutely right to point out that the CUDA plugin registration error #62075 has been a persistent issue for many users in the TensorFlow community, especially with newer CUDA versions like 12.x. This error typically arises due to the combination of incompatible library versions, improper installation, or misconfigurations between TensorFlow, CUDA, and cuDNN.","Error #62075 occurs because TensorFlow, CUDA 12.x, and cuDNN versions do not align or were installed incorrectly.",Knowledge,Knowledge,short,0.2352941176470588,0.0754716981132075,0.1142857142857143,"('Professional/Formal', 'Confidence', 'Concise')",33,33,33,33,33,tensorflow_tensorflow,issue,83379.0,Knowledge,short,,,,,,,,0,0,0,Knowledge,0
