,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,final_label,final_label_oversampled
1754,1754,1754,1754,1833,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","A cuDNN incompatibility caused the failure; Conda's TensorFlow installation brought in an obsolete CUDA/cuDNN set, which Python prioritized over the system versions. Deleting those Conda‑provided libraries and reinstalling TensorFlow with pip fixed the error.",Knowledge,Knowledge,long,0.1764705882352941,0.0594059405940594,0.0888888888888888,"('Professional/Formal', 'Neutral', 'Concise')",39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,0
5349,5349,5349,897,940,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.","Configuration details: Windows 10, TensorFlow 2.1.0, LSTM model – batch_input_shape set in the first layer, input_shape not set.",Neutral,Neutral,short,0.3333333333333333,0.1666666666666666,0.2222222222222222,"('timeline_status', 'Professional/Formal', 'List')",45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,1,0
2327,2327,2327,2327,2428,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"To eliminate dependency conflicts, I established a dedicated Conda environment for TensorFlow. The environment was initialized with Python 3.9.8, after which I followed the official guidance and ran `python3 -m pip install tensorflow[and-cuda] --user`. I then upgraded to the exact release `2.13.0` via `python3 -m pip install tensorflow[and-cuda]==2.13.0 --user`, which successfully addressed a number of issues.",Knowledge,Knowledge,short,0.2142857142857142,0.2448979591836734,0.2285714285714285,"('Professional/Formal', 'Neutral', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,0
3141,3141,3141,3141,3279,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","The claim made by @Mugundanmcw is substantiated by the accompanying pull request: Microsoft Visual C++ fails to support numerous features that our dispatch framework expects, and this limitation manifested as compile‑time errors in the VQSort component, specifically caused by the compiler running out of heap memory while processing the extensive template code.",Knowledge,Knowledge,short,0.2307692307692307,0.3333333333333333,0.2727272727272727,"('Professional/Formal', 'Neutral', 'Expand')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,0
3958,3958,3958,3958,4136,microsoft_vscode,pull,191501.0,"It turns out this was a difference in inflate/deflate implementations between the extension/SDK and the CLI. The SDK uses Node's zlib bindings, while by default Rust's flate2 library uses a rust port of miniz. miniz does not appear to flush decompressed data as nicely on SYNC'd boundaries as zlib does, which caused data to 'stall'. This could also be the cause of some connection flakiness!","The problem seems to be that the extension/SDK and the CLI use different inflate/deflate engines – the SDK taps into Node’s zlib, but the default Rust flate2 uses a miniz implementation that doesn’t flush decompressed data on SYNC boundaries as smoothly, causing data to ‘stall’. This could possibly be the reason behind some flaky connection behavior.",Knowledge,Knowledge,short,0.4285714285714285,0.3692307692307692,0.396694214876033,"('Casual/Conversational', 'Hedging', 'Neutral')",89,89,89,89,89,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,0,0
1043,1043,1043,1043,1087,pytorch_pytorch,issue,155309.0,It is due to this line which is not PT2 compatible:,"The error originates from the line `output = legacy_layer(input_tensor)`. Because PT2 does not provide an implementation for `legacy_layer`, the compiler cannot generate the necessary graph, leading to the incompatibility message. Updating the code to use a PT2‑compatible layer eliminates the problem.",Knowledge,Knowledge,short,0.048780487804878,0.1818181818181818,0.0769230769230769,"('Neutral', 'Exploratory', 'Expand')",23,23,23,23,23,pytorch_pytorch,issue,155309.0,Knowledge,short,,,,,,,,0,0,0,0,0
5267,5267,5267,815,853,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",Added a ConfigProto and InteractiveSession setup to the notebook to enable GPU memory growth.,Neutral,Neutral,long,0.2142857142857142,0.0697674418604651,0.1052631578947368,"('factual_observation', 'Casual/Conversational', 'Neutral')",41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,1,0
5171,5171,5171,719,756,tensorflow_tensorflow,issue,84102.0,"This is also weird, because the pip installer should not have proceeded due to missing wheels.",Reference to pip installer behavior when wheel packages cannot be found.,Neutral,Neutral,short,0.1818181818181818,0.125,0.1481481481481481,"('scope_statement', 'Professional/Formal', 'List')",36,36,36,36,36,tensorflow_tensorflow,issue,84102.0,Unknown,short,,,,,,,,1,1,1,1,0
6155,6155,6155,1703,1775,microsoft_vscode,issue,197917.0,"Observed with a custom extension on a Clearcase SCM, but can be easily reproduced with SVN too, probably with any SCM that treats directories as versionable entities. This is most likely a recent regression (possibly starting today's Insiders build, but I'm not 100% sure). Is it possible this was caused by the recent sticky scroll addition (great feature, btw)?",Reference to the sticky scroll implementation change has been added to the discussion thread.,Neutral,Neutral,short,0.2142857142857142,0.0508474576271186,0.0821917808219178,"('comparison_contrast', 'Technical', 'Neutral')",85,85,85,85,85,microsoft_vscode,issue,197917.0,Known,short,,,,,,,,2,2,1,1,0
5447,5447,5447,995,1041,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","Release notes for TF2.14 mention a CUDA package providing cuDNN, cuFFT, and cuBLAS.",Neutral,Neutral,short,0.3076923076923077,0.16,0.2105263157894737,"('test_ci_status', 'Technical', 'Concise')",49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,1,0
946,946,946,946,981,pytorch_pytorch,issue,17501.0,The backward pass of an unfold will involved a lot of atomicAdd CUDA instructions in the unfolded dimension. That is what slows down the backward a lot.,"FYI, the reason the backward pass of an unfold is a performance bottleneck is that it spawns a huge number of `atomicAdd` calls in the dimension you’ve unfolded. Those atomic operations are expensive on CUDA and end up being the primary factor that slows down gradient computation.",Knowledge,Knowledge,short,0.2340425531914893,0.4074074074074074,0.2972972972972972,"('Casual/Conversational', 'Neutral', 'Expand')",20,20,20,20,20,pytorch_pytorch,issue,17501.0,Knowledge,short,,,,,,,,0,0,0,0,0
3858,3858,3858,3858,4034,microsoft_vscode,pull,191501.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,We've identified a defect within the CLI/SDK compression pipeline.,Knowledge,Knowledge,short,0.2222222222222222,0.1333333333333333,0.1666666666666666,"('Technical', 'Neutral', 'Neutral')",87,87,87,87,87,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,0,0
1346,1346,1346,1346,1408,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","At present, the Dynamo tracing subsystem does not implement full caching of traced functions, which can lead to repeated compilation overhead; however, our team is prioritizing enhancements to introduce comprehensive caching in upcoming releases.",Knowledge,Knowledge,short,0.0588235294117647,0.1333333333333333,0.0816326530612245,"('Professional/Formal', 'Hedging', 'Expand')",30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,0
942,942,942,942,977,pytorch_pytorch,issue,17501.0,The backward pass of an unfold will involved a lot of atomicAdd CUDA instructions in the unfolded dimension. That is what slows down the backward a lot.,"Hey folks, just a heads‑up: when you run the backward pass on an `nn.Unfold` layer it ends up firing a ton of `atomicAdd` CUDA calls along the unfolded dimension. Those atomics are the main reason the gradient computation drags so much slower than the forward pass.",Knowledge,Knowledge,short,0.217391304347826,0.3703703703703703,0.273972602739726,"('Casual/Conversational', 'Neutral', 'Expand')",20,20,20,20,20,pytorch_pytorch,issue,17501.0,Knowledge,short,,,,,,,,0,0,0,0,0
6351,6351,6351,1899,1986,microsoft_vscode,,252223.0,VS Code suddenly stopped working. not listening to my messages.just showing refresh and dislike buttons,Suggested reviewing VS Code logs for any error messages related to input handling.,Neutral,Neutral,short,0.2307692307692307,0.2,0.2142857142857142,"('action_items', 'Professional/Formal', 'List')",95,95,95,95,95,microsoft_vscode,,252223.0,Unknown,short,,,,,,,,1,1,1,1,0
1443,1443,1443,1443,1509,pytorch_pytorch,issue,132332.0,"Ok @hvaara thanks for your patience! Here's the results from my deep dive to the traces of metal resources getting generated during the execution of the code snippet and my current understanding on what's going on:

    The memory grows by the size of the output object of linear layer for each iteration run so by 4 * N * C * H * W bytes, making sense since this is the output object we allocate on L50 in the linear op 1
    When the executeMPSGraph is called using COMMIT_ADAPTIVE as the SyncMode, the operation is encoded to the active command buffer in MPSStream but unless the memory pressure is too high, the command buffer is not committed but instead we keep on encoding operations to the same command buffer 2
    Since each iteration with the nn.Linear needs to maintain its own output tensor until the computation is completed and the python object goes out of scope to be garbage collected, we see the memory increase while the command buffer keeps accumulating more encoded operations. In case we change to COMMIT_AND_WAIT as our SyncMode the command buffers get committed after each encode and the memory buffers required for the outputs are also released once the computation returns. This probably lets the garbage collector sees that the object is no longer needed since we don't assign the outputs of the computation to anything in the python script.
    To validate this I tried to adjust the original script slightly to allow for the adaptive commit to run its course and the computations to return so that the underlying objects can be released and we can see the memory get freed up. It seems like on my local setup it takes about 5-6s of waiting for the objects to get cleaned up. In actual code I assume this would happen more often since there can be other operations calling the command buffer to get synchronized in between in order to perform updates based on the results.

So in summary to me it seems like the memory is managed as intended in this case. In its current form the COMMIT_ADAPTIVE is a bit opaque to the user since it might make the memory seem like its behaving erratically as the commit is automated to only happen once the local device hits the low memory watermark, which depends on the device you are running on. Additionally there's the interplay of when will the underlying python objects get garbage collected that should finally release the memory buffers assigned to them. Let me know if this sounds reasonable or if you think there's still something we missed here. Or if this is causing a concrete issue on your side that would warrant us to do some changes on how the adaptive commit works at the moment.","Hey @hvaara, appreciate the patience! After tracing the metal allocations I’ve pieced together a likely explanation: every iteration allocates an output tensor for the linear layer (about 4 × N × C × H × W bytes) at L50, so memory grows linearly; with COMMIT_ADAPTIVE the commands just keep getting queued in the same MPSStream buffer until the GPU gets low on memory, meaning the buffer isn’t flushed immediately; each nn.Linear output lives until Python’s GC can collect it, which explains the steady memory climb while the command buffer accumulates work. If we flip to COMMIT_AND_WAIT, each encode is committed right away and the output buffers get freed once the call returns – the GC then sees no references and cleans up. I added a small delay (≈5‑6 s) to let the adaptive commit finish and saw the memory drop. So it seems the system is behaving as designed, though COMMIT_ADAPTIVE can look flaky because its commit timing depends on device‑specific memory thresholds and GC timing. Let me know if that matches your observations or if you’ve run into a concrete problem.",Knowledge,Knowledge,long,0.3791208791208791,0.1474358974358974,0.2123076923076923,"('Casual/Conversational', 'Hedging', 'Neutral')",32,32,32,32,32,pytorch_pytorch,issue,132332.0,Knowledge,long,,,,,,,,0,0,0,0,0
5597,5597,5597,1145,1193,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",Commit 67940c3 from 2006 introduces this behavior.,Neutral,Neutral,short,0.1428571428571428,0.0833333333333333,0.1052631578947368,"('timeline_status', 'Casual/Conversational', 'List')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,1,0
2339,2339,2339,2339,2440,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"@Ke293-x2Ek-Qe-7-aE-B, I made a brand‑new conda environment for TF, set Python to 3.9.8, ran `python3 -m pip install tensorflow[and-cuda] --user`, and finally `python3 -m pip install tensorflow[and-cuda]==2.13.0 --user`. That solved a lot of the problems.",Knowledge,Knowledge,short,0.3428571428571428,0.2448979591836734,0.2857142857142857,"('Casual/Conversational', 'Neutral', 'Neutral')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,0
3684,3684,3684,3684,3855,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"It appears that the issue may stem from an upstream component, so VSCode is unlikely to be able to address it by altering our code.",Knowledge,Knowledge,short,0.32,0.3478260869565217,0.3333333333333333,"('Professional/Formal', 'Hedging', 'Expand')",83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,0,0
4689,4689,4689,237,252,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","Observed GPU memory consumption is approximately 2 GB on a system with 12 GB total, as reported by the runtime logs.",Neutral,Neutral,short,0.1428571428571428,0.05,0.074074074074074,"('community_reference', 'github_native', 'List')",12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,1,0
371,371,371,371,392,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.","To clarify the NCCL team's rationale: historically ncclCommGetAsyncError was effectively a read‑only query (as @ptrblck observed), with no formal guarantee of immutability. In NCCL 2.26 we patched a race in the async‑operation cleanup path for non‑blocking communicators—@lw's earlier comment alludes to this—so the function now optionally executes a small cleanup routine in addition to fetching the async error status.",Knowledge,Knowledge,short,0.3050847457627119,0.2068965517241379,0.2465753424657534,"('Technical', 'Neutral', 'Neutral')",8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,0
4753,4753,4753,301,316,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.",Reference to the board's PCIe atomics capability when addressing hostcall atomic issues.,Neutral,Neutral,short,0.25,0.1666666666666666,0.2,"('social_acknowledgment', 'Technical', 'Neutral')",15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,1,0
2474,2474,2474,2474,2577,tensorflow_tensorflow,issue,37492.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.","My testing indicates that the bugs reported in this thread are likely confined to the Windows version of TensorFlow. I performed a clean install of Ubuntu Bionic, configured CUDA following the standard guide, and trained the same LSTM model on a GTX 1060 6 GB; the training completed without encountering the validation‑split or batch‑size issues that were previously described. Consequently, using a Linux environment should probably eliminate the need for work‑arounds such as manually setting `batch_input_shape` with divisible dimensions.",Knowledge,Knowledge,long,0.2784810126582278,0.2095238095238095,0.2391304347826087,"('Neutral', 'Hedging', 'Expand')",55,55,55,55,55,tensorflow_tensorflow,issue,37492.0,Knowledge,long,,,,,,,,0,0,0,0,0
3131,3131,3131,3131,3268,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","It appears that MSVC lacks implementation of many of the feature‑dispatch mechanisms we normally rely on, and this deficiency is likely the root cause of the compile‑time heap‑size failures I observed when building VQSort.",Knowledge,Knowledge,short,0.2058823529411764,0.1944444444444444,0.1999999999999999,"('Technical', 'Hedging', 'Expand')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,0
325,325,325,325,346,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","Because we have the device identifier at hand, we instantiate the NCCL communicator right away instead of deferring it until the first collective (the usual PyTorch approach), and we offset the upfront overhead by employing NCCL's non‑blocking mode.",Knowledge,Knowledge,short,0.3157894736842105,0.2926829268292683,0.3037974683544304,"('Neutral', 'Neutral', 'Neutral')",7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,0
4545,4545,4545,93,102,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.",Linking to related discussion on shape checking in AOTI code #5678.,Neutral,Neutral,short,0.1818181818181818,0.0625,0.0930232558139534,"('comparison_contrast', 'github_native', 'Concise')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,1,0
3094,3094,3094,3094,3230,numpy_numpy,issue,29174.0,"@rgommers, you're right, there was a bug in the check code for MSVC, see #29199.","After reviewing the code, I can state that the MSVC check contained an error, which is now referenced in issue #29199.",Knowledge,Knowledge,short,0.1428571428571428,0.2,0.1666666666666666,"('Neutral', 'Confidence', 'Expand')",69,69,69,69,69,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,0
3859,3859,3859,3859,4035,microsoft_vscode,pull,191501.0,I have discovered this to be an issue in the CLI or SDK's compression handling.,The compression module of the command‑line interface and SDK exhibits erroneous behavior.,Knowledge,Knowledge,short,0.0833333333333333,0.0666666666666666,0.074074074074074,"('Technical', 'Neutral', 'Neutral')",87,87,87,87,87,microsoft_vscode,pull,191501.0,Knowledge,short,,,,,,,,0,0,0,0,0
5305,5305,5305,853,894,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,The configuration was updated with config.gpu_options.allow_growth = True.,Neutral,Neutral,short,0.5,0.3076923076923077,0.380952380952381,"('procedural', 'github_native', 'Neutral')",43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,1,0
712,712,712,712,741,pytorch_pytorch,issue,21819.0,"Yes, for the hostcall with atomics issue, changing the motherboard with PCIe atomics support is a viable solution.","Indeed, addressing the hostcall atomicity problem can be achieved by replacing the motherboard with a model that supports PCIe atomic operations.",Knowledge,Knowledge,short,0.2857142857142857,0.3333333333333333,0.3076923076923076,"('Professional/Formal', 'Hedging', 'Concise')",15,15,15,15,15,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,0
