,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,_id,polarity,perspective_score,owner,repo,num_reference,statement,num_url,stanford_polite,subjectivity,num_emoji,num_mention,nltk_score,toxicity,len_text,is_toxic,label
10,10,10,140,Terra/ObliqueNET/139/456904268,-0.25,0.27849397,ObliqueNET,Terra,0,"Ras, why did I get banned for saying phone numbers in chat when I didn't? Idek any ones irl name, how tf am I supposed to know their number when Idk their irl name and last name? Like bruh, what's wrong with you? ",0,0.096706389503773,0.4833333333333333,0,0,-0.6416,y,212,1,toxic
11,11,11,139,GoMint/GoMint/406/434019763,0.2249999999999999,0.7842399,GoMint,GoMint,0,"The fuck are you talking about? You are saying you want more threads, so i'm asking you what you want those threads to be for. If you don't know what you want them to be for, then you are just another 5 year old shouting for something to be added because it sounds good. ",0,0.1256652285488198,0.475,0,0,0.0772,y,270,1,toxic
12,12,12,56,redmine_didyoumean/abahgat/15/4174519,0.0681818181818181,0.061942857,abahgat,redmine_didyoumean,0,Added new locale file to support spanish translations ,0,0.439007418522547,0.2272727272727272,0,0,0.4019,n,53,0,healthy
13,13,13,18,manageiq/ManageIQ/1210/66507476,0.0,0.08159642,ManageIQ,manageiq,0,"Checked commit  with rubocop 0.27.1 1 file checked, 1 offense detected vmdb/spec/models/ems_refresh/refreshers/vc_refresher_spec.rb  [ ] Warn - Line 28, Col 1 - Lint/BlockAlignment -  at 28, 0 is not aligned with  at 14, 2  ",1,0.4086389686703789,0.0,0,0,-0.0516,n,222,0,healthy
14,14,14,153,primitive/haskell/71/353921549,-0.1481481481481481,0.20835029,haskell,primitive,0,"@friend, I understand your general point about API instability, but in this particular case it's absurd. The API change that is holding this package down (implementing the  proposal) is one that was formally proposed on the library list and formally accepted and implemented. It is not going to be reversed before the  release. Moreover, even if it were reversed, there is no downside to supplying  instances as required. It is true that the way the  instances were changed in 7e6e7b4667020b61986c60e0c2d642e700e7966d is incompatible with (hypothetically) reverting that change. Making it compatible would be a matter of adding  where required. This issue is annoying everyone; please fix it. ",0,0.2910243698164081,0.612037037037037,0,1,0.1531,y,692,1,toxic
15,15,15,118,Contentify/Contentify/398/338891837,0.0402777777777777,0.20850751,Contentify,Contentify,0,"So I installed this for a friend, and already at the installation I noticed that much stuff doesn't work. The current release version has errors with the apache_get_modules function, which is disabled due to security reasons, the script wants access to the php main directory, which a php script NEVER should have access to. And after I gave him all this, I just get that  What the hell. ",0,0.5978755027038701,0.2847222222222222,0,0,-0.34,y,387,1,toxic
16,16,16,164,mapbox-gl-js/mapbox/7158/352352721,-0.3416666666666666,0.83339524,mapbox,mapbox-gl-js,0,Is there a existing plugin for clusters  I can use to ignore fucking styles and whole screen of circles? Leaflet Markercluster is useless!  ,0,0.5577599150166677,0.4666666666666667,0,0,-0.68,y,138,1,toxic
17,17,17,13,openvpn-client/dperson/165/445485794,0.2833333333333333,0.068971366,dperson,openvpn-client,0,"You're looking at the container connected to the VPN container, your first message references . If you are following the directions from my container you're telling docker to not create a network for that container and to reuse the one from the VPN. So when you look at the network for  there is nothing there, because it didn't get it's own network stack. ",0,0.4051491964783149,0.4777777777777778,0,0,-0.2057,n,356,0,healthy
18,18,18,36,dev/nethesis/5435/405539951,0.0,0.07455293,nethesis,dev,0,in   nethcti-server3-3.1.0-1.7.gb543abd.ns7.x86_64.rpm nethcti-server3-debuginfo-3.1.0-1.7.gb543abd.ns7.x86_64.rpm  ,0,0.439007418522547,0.0,0,0,0.0,n,114,0,healthy
19,19,19,136,gobuffalo/gobuffalo/439/467448603,0.5,0.07287009,gobuffalo,gobuffalo,0,"I could have, but that wouldn't have been sincere. Those plush templates were an immediate turn off. If the maintainer has 18 years of experience surely they know how to interpret feedback however delivered. ",0,0.5138069874588395,0.6944444444444444,0,0,0.2413,y,207,1,toxic
20,20,20,96,classroom/education/1678/432796979,0.0,0.06553789,education,classroom,0,"I feel I am not the one that has to setup collab with github services to get them to ackowledge problem, from my pov it comes from use of ClassRoom not github.You're all the same company, sort it out, or not and we look for service elsewhere. ",0,0.4278951553743272,0.125,0,0,-0.4019,y,242,1,toxic
21,21,21,92,ARKStatsExtractor/cadon/850/446812317,-0.1124999999999999,0.12162817,cadon,ARKStatsExtractor,0,the servers wild level is 300 and I am very well aware how that all works. Seriously!!!!!!!!!!!!!!!! ,0,0.421316528244918,0.4041666666666667,0,0,0.5516,y,100,1,toxic
22,22,22,79,declarative-lookup-rollup-summaries/afawcett/149/102783322,0.375,0.06716774,afawcett,declarative-lookup-rollup-summaries,0,If the target field is a rich text field the code would replace NBSP() with &amp; nbsp ; or just the space character accordingly. ,0,0.4495101528169845,0.75,0,0,0.5574,n,129,0,healthy
23,23,23,15,openvpn-client/dperson/165/445484795,0.0,0.08296845,dperson,openvpn-client,0,which vpn did you take in your example with transmission for example? ,0,0.420829202823699,0.0,0,0,0.0,n,69,0,healthy
24,24,24,23,flood/jfurrow/240/377113867,0.28125,0.19033928,jfurrow,flood,1,"@friend No, unfortunately I cannot say with any confidence that Flood is 100% tamper proof. I'm not a security expert, so your audit would be greatly appreciated! Let's hope so! 🤞 ",0,0.3753970053708314,0.55,0,1,0.7188,n,179,0,healthy
25,25,25,28,minecraft-bugs/tryashtar/864/339511913,0.5,0.11767543,tryashtar,minecraft-bugs,0,"&lt;img src="" width=20 height=20&gt; Cad'ika Orade • Feb 9, 2013 This issue is neither resolved nor a duplicate of MC-61. These mobs do not have invisibility potions on them. If you believe this to be a duplicate of MC-61, you did not read the description nor did you look at the many screenshots I have provided. ",1,0.3182780985992149,0.5,0,0,-0.1326,n,313,0,healthy
26,26,26,32,Osmand/osmandapp/3663/307503227,0.1,0.056090422,osmandapp,Osmand,0,"@friend FYI I just heard the instruction ""prepare yourself to enter the roundabout in 1 km"". Shouldn't suppose to be fixed with your change? (OsmAnd+ 2.6.5) ",0,0.2941059239702686,0.2,0,1,0.368,n,156,0,healthy
27,27,27,104,DSharpPlus/DSharpPlus/282/321360868,-0.3,0.869962,DSharpPlus,DSharpPlus,0,"You guys harassed me over PascalCase with ""someone"" being verbally abusive and saying I needed to get help because I showed him my programming trophy. Being rude is one things, being delusional is worse. I get it. You guys got intimidated by me but stop making up shit. ",0,0.3810510639057408,0.6666666666666666,0,0,-0.9403,y,269,1,toxic
28,28,28,95,flood/jfurrow/758/457907611,0.05,0.32158196,jfurrow,flood,0,"I use docker, yes I build it from master everyday. Honestly my OS and version, etc don't matter as this is clearly not environment specific or version specific and I use docker.... I don't know what you are talking about with discord....I didn't message anyone. It's clear that development is all but dead and getting petty over issue templates when this is clearly an issue with enough info really puts me off. Instead of fixing things, you want to be pedantic over what are simple bugs. I'm done with this project. ",0,0.3932708938270758,0.396103896103896,0,0,0.0806,y,516,1,toxic
29,29,29,6,mojo/kraih/1236/404135563,0.0,0.029723836,kraih,mojo,0,The answer @friend gave was 100% correct. So this is not a bug. If you require additional help please use our official support channels. ,1,0.3708138009588515,0.0,0,1,0.7717,n,136,0,healthy
30,30,30,22,minecraft-bugs/tryashtar/864/339511923,0.2,0.07001521,tryashtar,minecraft-bugs,0,"&lt;img src="" width=20 height=20&gt; [Mod] CubeTheThird • Feb 10, 2013 Can I also assume you are using fast, and not fancy, graphics? ",1,0.4044848752915597,0.5,0,0,0.0,n,133,0,healthy
31,31,31,5,SevTech-Ages/DarkPacks/2977/401653140,0.125,0.096516035,DarkPacks,SevTech-Ages,0,"Okay, that's quite enough of this. This has gone well out of proportion and you guys are now at each other's throats. ",0,0.3687209336520467,0.4583333333333333,0,0,0.4588,n,117,0,healthy
32,32,32,117,nokogiri/sparklemotion/1736/375953557,-0.0375,0.21218053,sparklemotion,nokogiri,10,"uuhhhh there was a bug with nokogiri its a scuffed gem ???? and annoying and not very user friendly for something that claims to be user friendly On Sat, Mar 17, 2018 at 152 AM, Mike Dalessio notifications@friend.com wrote ",0,0.156543587342178,0.55,0,1,-0.8529,y,222,1,toxic
33,33,33,112,asmjit/asmjit/231/400907717,0.1666666666666666,0.10516529,asmjit,asmjit,0,"I do not recommend donating to this project, we have donated a few times to them and now they have removed information about it. Our money wasn't good back then Petr when nobody supported your project? ",0,0.3708830401886831,0.2333333333333333,0,0,-0.2996,y,201,1,toxic
34,34,34,70,dataverse/IQSS/1513/237663574,0.2547619047619047,0.06764054,IQSS,dataverse,0,"I can easily reproduce this bug by giving an IP Group ""admin"" on an unpublished non-root dataverse, which should result in the ""Guest"" user being able to see a search card for the unpublished dataverse. Interestingly, the indexing seems fine. The unpublished dataverse in question says it's discoverable by the IP Group The problem is at runtime we need a method in Dataverse to provide a list of all the IP Groups that a user (such as Guest) is a member of. This strongly reminds me of the  method I introduced in pull request #3062 but in the code you can see I wrote . Sadly, it seems the answer is no and since @friend is in town I plan to see if he can help with this. ",0,0.8823318594724057,0.6702380952380952,0,1,0.1027,n,673,0,healthy
35,35,35,159,ARKStatsExtractor/cadon/850/446810586,-0.096875,0.18502715,cadon,ARKStatsExtractor,0,"Assuming you made 100% false assumptions, this is something that has only just happened. I don't have any issue with any other Dino being tamed and it is only the Tex Rex at this stage that I have noticed it with. The current level is its post tamed level and I do indeed have a 100% tame on it. Like I said all the GREEN parts are 100% correct, I DO NOT HAVE ANY ISSUE WITH THE SPINO'S that I have added, I DO NOT HAVE ANY ISSUE WITH THE NORMAL REX'S that I have added. And this was not an issue a few months ago, so why is it an issue now!!! And I DON'T SEE WHY I NEED TO POST A SCREEN SHOT OF THE STATS WHEN THEY ARE 100% CORRECT. Seriously the support from everyone but the author  is becoming a joke in here now. ",0,0.5539325906697595,0.5598484848484848,0,0,0.7119,y,717,1,toxic
36,36,36,46,documentation/nextcloud/1142/454314327,-0.0666666666666666,0.16073391,nextcloud,documentation,1,"The executable bit should not be needed, because it is called with  infant, which leaves to permissions like  ( minus the executable bit), which is then only a diff of the read permission for others, which should not be needed as you are  and thus the owner. Could you do an  in the directory to check what are the specific permissions and owners? Maybe the find command is slightly off. And on what operating system was this executed? ",0,0.6833843339630796,0.3479166666666667,0,0,0.4329,n,435,0,healthy
37,37,37,127,ARKStatsExtractor/cadon/850/446811141,0.0124999999999999,0.087436885,cadon,ARKStatsExtractor,0,"And instead of arguing about what I haven't show, when I have been suing this program for 3 years and never had issues on my server to this extent, that I am dealing with people who refuse to acknowledge that I have stated the GREEN sections in the image are exactly what is on this Tek Rex. But you know what I should post it just to show how much time has been wasted chasing something that is not even the issue. ",0,0.2345933756565414,0.1875,0,0,-0.8591,y,415,1,toxic
38,38,38,144,SalienCheat/SteamDatabase/156/400234861,0.0,0.09728861,SteamDatabase,SalienCheat,0,BUT CANT YOU JUST CHANGE BESTPLANET IN THE CODE AND SET IT TO PLANET 22 @friend ,0,0.439007418522547,0.0,0,1,0.0,y,79,1,toxic
39,39,39,75,msgpack-python/msgpack/305/401706115,-0.05,0.1017339,msgpack,msgpack-python,0,"I understand that it's cross-language, but it's not clear to me why  don't seem to process  - then I can deal with it myself. Also, it's not clear to me what the difference is between using these encode/decode hooks and an ExtType... ",0,0.3525358508422347,0.3833333333333333,0,0,-0.6759,n,233,0,healthy
40,40,40,121,HandBrake/HandBrake/1584/435210788,0.0142063492063492,0.08329132,HandBrake,HandBrake,3,"@friend We didn't ""go through it"" this time. You just closed it without even reading. If you had, you would have realized that every single one of the usability concerns brought up originally ended up never materializing. I haven't had a single user complain and ask to bring the settings back into the main window. At least now I know with certainty that making my own UI was the right thing to do. It's infuriating dealing with people who tell you ""that's bad UI"" without a single valid reason to back it up. And who, when politely challenged simply reject, ignore and lock rather than discuss in good faith. ",0,0.449341033213781,0.4123809523809523,0,1,-0.8074,y,610,1,toxic
41,41,41,49,openDCIM/samilliken/1114/450250964,0.0666666666666666,0.313788,samilliken,openDCIM,0,"Our schema already has a 'cn' attribute in the userobject. You are the clueless one.  Look up groups under RFC2307.  They do NOT use 'cn', they use either member, memberOf, or memberUid.  These are NOT attached to the userObject at all. This is NOT active directory.  This is openldap running a RFC2307 schema. ",0,0.4720874171404405,0.6,0,0,0.0516,n,310,0,healthy
42,42,42,0,flood/jfurrow/758/457699965,0.3,0.0459242,jfurrow,flood,0,"Hi @friend Thanks for posting your issue, but can you please take time to edit it in order to fill the issue template. I'm closing the issue until you fill it. Feel free to ask to re-open it as soon as it's done. ",0,0.6748433236873582,0.5,0,1,0.8537,n,212,0,healthy
43,43,43,1,i2cdevlib/jrowberg/252/261958255,0.0,0.06391804,jrowberg,i2cdevlib,0,"@friend  Hey did you find the solution to the problem ?  I am also facing the same issue, sometimes the library gets stuck at fifo count function . ",0,0.2853169884273602,0.125,0,1,-0.34,n,147,0,healthy
44,44,44,161,shlink/shlinkio/210/422346159,0.2088509316770186,0.25234097,shlinkio,shlink,0,"Okay, this form of installation is honestly the worst I have ever experienced. I love the product, really the best link shortner I've ever used but the installation, you really have to fix that, it took me 2 hours in general to even make the installation starting with all preperation without the knowledge of a certified sysadmin. I am very sure that the extreme lack of user experience of your installation process is the man key factor your awesome programm isn't far spread. Now that I got your installation running, it only needed my one single type to f* over the whole installation and letting me redo the whole process after removing it all again. Short I got it working, but please rework your installation process, it is horrible. Great product anyway. Thank you so much. ",0,0.3112038929863416,0.6288819875776397,0,0,0.9608,y,781,1,toxic
45,45,45,81,GoMint/GoMint/406/434021269,0.2212962962962963,0.028430255,GoMint,GoMint,0,"it uses 3 per default (when you have one world loaded) and i'm fine with that. performance is good enough for everything. when that changes i optimize for the specific problem i have. throwing more threads at something doesn't make it faster, its more likely the opposite due to sync problems, context switching etc. etc. ",0,0.4776542899661133,0.4555555555555555,0,0,0.3612,n,321,0,healthy
46,46,46,48,Ant-Media-Server/ant-media/579/441529764,0.20625,0.0,ant-media,Ant-Media-Server,0,"@friend  Yes, your mentioned use case is true, publishing and playing are performed according to the unique stream Id. For solve security concerns, Token Control mechanism is developed for the Enterprise Edition. This solution protects your publishing and playing operations. Please have a look at these wiki and blog pages. If you need further assistance please send an email to contact[at]antmedia.io. Blog   ",2,0.6665216976876027,0.6125,0,1,0.9552,n,408,0,healthy
47,47,47,55,cryptsetup-deluks/kriswebdev/6/398526173,0.0,0.073440686,kriswebdev,cryptsetup-deluks,0,Is this compatible with BSD especifically with DragonFlyBSD? ,0,0.4262656986012627,0.0,0,0,0.0,n,60,0,healthy
48,48,48,53,coffeescript/jashkenas/4056/127795420,0.0,0.11730854,jashkenas,coffeescript,0,I wonder if it makes sense to publish a separate entry in npm for just this one thing?  Just musing... ,0,0.4018110193866822,0.0,0,0,0.0,n,102,0,healthy
49,49,49,16,nokogiri/sparklemotion/1709/360782174,0.2375,0.073146515,sparklemotion,nokogiri,0,"Remaining work to be done on our CI pipeline at  ] upgrade concourse to 3.8.0 [ ] test Ruby 2.5 support just added to windows-ruby-dev-tools-release and cut a release [ ] add a Ruby 2.5 test job to the pipeline [ ] cut a Nokogiri release that adds Ruby 2.5  This is probably a good time to remind watchers that Ruby 2.2 is approaching EOL on  2018-03-31, and so the first release after that will likely remove Ruby 2.2 binaries from the fat gem. ",1,0.4918928473407858,0.4833333333333333,0,0,0.34,n,445,0,healthy
50,50,50,141,documentation/nextcloud/1142/455118934,-0.0016865079365079,0.11701795,nextcloud,documentation,4,@friend So you did not even try to duplicate the problem before closing the ticket?  I guess that's normal laziness from a doc team that has screenshots from five versions ago. But you didn't test so your doubt don't mean anything. Right.  Anything you can do to avoid your responsibility to have correct docs.  I see how you work. I set this up days ago and I explained how I did it.  I logged on here to help you with your documentation errors.  When you get serious about turning out responsible open source tools please contact me and I will help you debug. ,0,0.4468028086370178,0.5983134920634919,0,1,-0.0972,y,561,1,toxic
51,51,51,43,cerberus/NEU-Libraries/692/63065884,0.2142857142857142,0.11498111,NEU-Libraries,cerberus,0,"I just tried to load a 366 MB video file into the Library's media collection ( but got a 500 server error. Do we have  a max upload size set? If so, how large can it go? ",1,0.6282951948509823,0.4285714285714285,0,0,-0.6007,n,169,0,healthy
52,52,52,119,openDCIM/samilliken/1114/450224735,0.0126984126984127,0.05426142,samilliken,openDCIM,0,"I've read the code, I wrote the code, You clearly aren't following the logic and have some bizarre schema in your environment.  I have this code working against a standard AD back end as well as an openldap back end without any issues.  If you are doing pure posix and don't have common names defined, not my problem.  We have common names to help identify groups so we don't have to remember ID numbers.  I'm not changing the code for your self imposed issues. ",0,0.6651377673472865,0.287037037037037,0,0,0.7317,y,461,1,toxic
53,53,53,45,courseplay/Courseplay/3245/464332456,0.2857142857142857,0.10199514,Courseplay,courseplay,0,1) this is not a forum! 2) post the things right to help on issues 3) try in your mother language maybe someone can help translate And as I read your 'bug report' there was nothing unfriendly in the answer. He just said he got no time for the bug right now to fix and it seems like it is already known. ,0,0.5931151687266871,0.5357142857142857,0,0,0.7965,n,302,0,healthy
54,54,54,77,Contentify/Contentify/398/403037205,0.3999999999999999,0.11271305,Contentify,Contentify,0,"Good. Whetever. I don't care. I am not a user of this, a friend asked me to setup it for him and I said yes and since 24 hours I just have problems. I fixed it now, you know about the Case Sensivity error, I don't care about anything else. ",0,0.3328823218809714,0.4,0,0,-0.0788,n,239,0,healthy
55,55,55,7,matplotlib/matplotlib/14101/495963602,-0.0625,0.051477686,matplotlib,matplotlib,0,plus one And I even suspect that this got us a minor performance improvement! ,0,0.40400697351028,0.2,0,0,0.2714,n,77,0,healthy
56,56,56,167,grunt/gruntjs/1646/405621328,-0.0666666666666666,0.14533582,gruntjs,grunt,0,"@friend  ""issues are related to grunt ?"" what did  I post about? ""GRUNT"" in LXD Container.  And what do you mean by ""This is not a support channel"" . I never asked you to do my homework. And whatever I said is an Issue as mentioned by @friend , its the problem with concurrent. And fortunately fixed it. Next if ""YOU"" are not familiar, please be quiet and ignore the question. Let some knowledgeable person answer the queries. ",0,0.0663120657669873,0.3534722222222222,0,2,-0.8307,y,426,1,toxic
57,57,57,155,android/cSploit/931/285884059,0.1166666666666666,0.23530824,cSploit,android,0,"The whole app is just a mockup, I've been spending the night reviewing the code and it seems like a donkey (or is it a monkey) wrote that, thanks for an ever failling, condescending app that will never reach the stage of even being in beta. Peace ",0,0.8148743721137088,0.2,0,0,0.8328,y,246,1,toxic
58,58,58,27,piwik/piwik/3405/48309548,0.0,0.04077958,piwik,piwik,0,(In [7042]) Fixes #3405 Skipping websites which have been processed by another concurrent archive.php ,0,0.4203886401313548,0.0,0,0,0.0,n,101,0,healthy
59,59,59,10,oh-my-zsh/robbyrussell/4069/89607351,0.25,0.0640218,robbyrussell,oh-my-zsh,0,"This pertains to issues #1730 #3294, #3304 and perhaps others.  Cloning the repository fails if autocrlf=true.  A workaround is OK but I don't understand why the issue is considered resolved; autocrlf is a standard Git setting and users should be able to clone the repository successfully whichever setting they choose. ",0,0.3559573954174755,0.475,0,0,0.7519,n,319,0,healthy
60,60,60,97,termux-packages/termux/2735/413358276,0.0527777777777777,0.116421305,termux,termux-packages,0,"@friend You reacted with a laugh emoji; Is contributing to Termux only to see your contributions deleted (run afoul) really as funny as you stated with your laughing emoji?  Both  and  are down with the latest Termux updates.  This is not funny @friend.  It's a headache for me to keep these projects running while I get, ""broken because it's NOT Termux"" from you and our PhD candidate. ",2,0.514418607958879,0.6698412698412699,0,2,0.8766,y,386,1,toxic
61,61,61,59,TAW-Magazyn/SideswipeN7/16/218910283,0.0056818181818181,0.11353857,SideswipeN7,TAW-Magazyn,0,story points 2 I want to Create Method RegisterItem As a Developer So We can add new Items AC Method should take one argument - object of class Artukul and adds it to the databes. Method should return Http.Created if added well or if not added other meessage allerting error like Http.Conflict ,0,0.5708206274484767,0.4147727272727273,0,0,0.2023,n,293,0,healthy
62,62,62,102,electron/electron/17171/469345683,0.4,0.041698426,electron,electron,0,IT IS CONFIRMED THAT THE PROBLEM IS WITH THE PROMISES. I can print to pdf when promise is not used.Please fix it. ,0,0.4103595853645381,1.0,0,0,0.296,y,113,1,toxic
63,63,63,58,rpki.net/dragonresearch/198/238309999,0.0,0.11787088,dragonresearch,rpki.net,1,"Attempting to create the database when it already exists is supposed to fail by default, to prevent you from blowing away your precious existing data by mistake. There are options to change the default behavior,  for details. Trac comment by sra on 2015-08-06T151420Z ",0,0.5095074811129818,0.6499999999999999,0,0,0.0,n,267,0,healthy
64,64,64,86,mame/mamedev/4801/479455833,0.0,0.09760583,mamedev,mame,0,"@friend between this and #4789 you've shown that you don't seem to have learned anything about how now to use the issue tracker, and how not to get developers off-side.  You're getting a 6-week ban for this. ",0,0.199472606090946,0.0,0,1,-0.5574,y,207,1,toxic
65,65,65,150,spark/perwendel/1020/393777939,0.0958333333333333,0.44014397,perwendel,spark,0,"Service http = ignite();  even more foolish! I think you all java programmer should learn some programming theory from UNIX/Linux. Java is a enterprise programming platform, commercial companies like oracle/sun/ibm want to earn more money from customers, so they make java complex and heavy! UNIX/Linux programming theory is the only correct way. ",0,0.375267340502418,0.4833333333333333,0,0,0.2479,y,346,1,toxic
66,66,66,99,i2cdevlib/jrowberg/252/241760891,0.0283333333333333,0.48282287,jrowberg,i2cdevlib,13,"Wow. You're really just an angry brat, aren't you? No wonder no one is trying to help you. You're wrong, but I'm not going to show you why. Learn some etiquette On Tue, Aug 23, 2016, 600 AM batata004 notifications@friend.com wrote --  Thanks, Tyler McGahee (619)-880-7779 San Diego, CA **In an effort to be more responsive to email, my emails have become more brief and less formal. Please excuse any impoliteness; it is not intended. ",0,0.1581888589049909,0.475,0,1,0.7342,y,434,1,toxic
67,67,67,149,asmjit/asmjit/231/455814689,-0.21,0.3009519,asmjit,asmjit,0,"I never paid for any advertisement, I thought I did because you said so in the recent emails and it was 9 years ago, but as we all can see you came up with this idea first. If you are so stubborn to NOT include my name on your donors list, even if I supported your project from day one, just because you are angry that I showed you were wrong and donations didn't have any strings attached, it's just another reason to not make any donations to you or any of your projects, because you are dishonest person and you have your supporters for nothing. ",0,0.354272910563474,0.5966666666666667,0,0,-0.9272,y,548,1,toxic
68,68,68,63,react-helmet/nfl/373/441413601,0.0,0.053394303,nfl,react-helmet,0, was merged into master. I would like to get the roll-up PR merged and we can release a beta version for feedback. ,1,0.620063262853266,0.0,0,0,0.3612,n,113,0,healthy
69,69,69,19,pyinstaller/pyinstaller/3160/354804111,0.125,0.8028341,pyinstaller,pyinstaller,1,"Indeed! How foolish are these developers, they should be paying for not implementing this properly. Or even better, be put in jail! ",0,0.449609870197508,0.1999999999999999,0,0,0.3365,n,131,0,healthy
70,70,70,111,esx_policejob/ESX-Org/104/399096546,-0.2178571428571429,0.78430456,ESX-Org,esx_policejob,0,No I don't write LUA is a useless language... your one to talk about getting mad but you are an example of your own shit player base. You don't offer any assistance to questions you just get pissed when someone asks for help. Maybe you wouldent have these issues if you actually supported your work assisted others in improving it rather then acting like the child you are ,0,0.2345473111971305,0.5857142857142856,0,0,-0.431,y,372,1,toxic
71,71,71,126,mojo/kraih/1236/404133702,0.0333333333333333,0.07123545,kraih,mojo,0,"Wow, just ""closed the issue"" as a non-issue? That's mature D ",0,0.4576065033272828,0.4000000000000001,0,0,0.765,y,60,1,toxic
72,72,72,162,pyinstaller/pyinstaller/3160/285257204,0.12,0.1856815,pyinstaller,pyinstaller,0,"I can't believe that the main file of PyInstaller's .exe is not encrypted. My app starts from main.py, then this file import library1.py and library2.py. Using --key and --onefile options PyInstaller encrypts all .pyc files except main.py!!! It is very easy to obtain the source code from .pyc. This is unbelievable... ",0,0.334474991982855,0.8333333333333333,0,0,0.6211,y,318,1,toxic
73,73,73,114,electron/electron/17171/474130777,-0.05,0.25971282,electron,electron,0,You don't care about issue and I wasted my time reporting this issue.I fixed it myself.Thanks for teaching me the rules and the ways not to help....Live in the rules and world of arrogance ,0,0.3566794941357581,0.1,0,0,-0.8492,y,188,1,toxic
74,74,74,37,FastAdapter/mikepenz/695/401856858,0.125,0.095999256,mikepenz,FastAdapter,0,"I see, so this is how i use it  This is the item class  FastAdapter   fastadapter.add(new SampleItem(""TKIP"",""-45"",""WPA"");` can you help how to modify the class to automatic sort by signal please, sorry my low English, Best regards. ",0,0.5310813349739439,0.4,0,0,0.7783,n,231,0,healthy
