Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,Label_Qwen3-4B,Label_gpt-120b
1366,pytorch_pytorch,issue,154456.0,"I was expecting the cache to write to TORCHINDUCTOR_CACHE_DIR automatically (or i guess in my case it was writing to /tmp/torchinductor_user) , is that not the case?",Could TorchInductor be redirecting cache writes to /tmp/torchinductor_user instead of the configured directory?,Unknown,Unknown Unknown,short,0.2307692307692307,0.1111111111111111,0.15,"('Technical', 'Exploratory', 'Concise')",29,29,29,29,29,pytorch_pytorch,issue,154456.0,Unknown,short,,,,,,,,1,1,1,"

Unknown unknown",Known unknown
590,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","Incorrect tensor indexing or loss‑function misuse can cause illegal memory errors, yet this code avoids such patterns and consumes only ~2 GB of the available 12 GB GPU memory.",Knowledge,Knowledge,short,0.2758620689655172,0.1333333333333333,0.1797752808988764,"('Technical', 'Neutral', 'Concise')",12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1358,pytorch_pytorch,issue,154456.0,"I was expecting the cache to write to TORCHINDUCTOR_CACHE_DIR automatically (or i guess in my case it was writing to /tmp/torchinductor_user) , is that not the case?","My expectation was that the cache would be written to TORCHINDUCTOR_CACHE_DIR without any extra configuration; however, the actual output is being placed in /tmp/torchinductor_user. Is this a bug, a misconfiguration, or just how TorchInductor is designed to operate?",Unknown,Unknown Unknown,short,0.1842105263157894,0.2592592592592592,0.2153846153846154,"('Casual/Conversational', 'Confidence', 'Expand')",29,29,29,29,29,pytorch_pytorch,issue,154456.0,Unknown,short,,,,,,,,1,1,1,"

Known Unknown",Known Unknown
498,pytorch_pytorch,Issue,153955.0,"You would need to specify dynamic_shapes/dynamic_axes explicitly.
 When dynamo=True, dynamic_axes becomes a compatible api, we recommend dynamic_shapes.","You have to declare the dynamic dimensions explicitly via `dynamic_shapes` or `dynamic_axes`. When you enable Dynamo (`dynamo=True`), the library will still understand `dynamic_axes` for legacy reasons, but the recommended practice is to adopt `dynamic_shapes` because it’s the API that’s fully supported and tested with Dynamo’s latest features.",Knowledge,Knowledge,short,0.0638297872340425,0.1764705882352941,0.0937499999999999,"('Casual/Conversational', 'Neutral', 'Expand')",10,10,10,10,10,pytorch_pytorch,Issue,153955.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1988,microsoft_vscode,,252223.0,VS Code suddenly stopped working. not listening to my messages.just showing refresh and dislike buttons,Observed VS Code UI displaying only refresh and dislike buttons without responding to input.,Neutral,Neutral,short,0.4285714285714285,0.4,0.4137931034482759,"('documentation_action', 'github_native', 'Concise')",95,95,95,95,95,microsoft_vscode,,252223.0,Unknown,short,,,,,,,,1,1,1,"

Neutral",Neutral
4504,microsoft_vscode,,251888.0,"I did some more testing... I feel like adding the Dart-Code Properties folder to the Windows Defender exclusion list may have made this faster. On non-Dev-drives, Defender makes reading files for the first time after a reboot very slow while it scans them. However, I'm not sure this folder was ever previously excluded, and it still doesn't explain why the first result shows up (so clearly Defender has already finished for that file and allowed VS Code to get the contents of it) such a long time before the second one.","I tried a few more experiments and it feels like putting the Dart‑Code Properties folder into the Windows Defender exclusion list may have made things a bit quicker. Defender can make the first read of a file on a non‑dev drive painfully slow after a reboot while it scans. However, I’m not convinced that folder was ever excluded earlier, and it still doesn’t clear up why the first result appears (meaning Defender has already scanned that file) well before the second result shows up.",Known,Known Unknown,long,0.4880952380952381,0.4505494505494505,0.4685714285714285,"('Casual/Conversational', 'Hedging', 'Neutral')",97,97,97,97,97,microsoft_vscode,,251888.0,Known,long,,,,,,,,2,2,1,"

Known Unknown",Known unknown
2380,tensorflow_tensorflow,issue,62075.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,"The observed NUMA fault originates from the Microsoft‑supplied WSL2 kernel, which was compiled without the CONFIG_NUMA flag.",Knowledge,Knowledge,short,0.2352941176470588,0.1666666666666666,0.1951219512195121,"('Technical', 'Hedging', 'Neutral')",51,51,51,51,51,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1251,numpy_numpy,issue,28024.0,"Hmmm, I doubt that this changes the situation much (w.r.t how disruptive the change would be).
In the end, won't many/most of the problematic objects (e.g. pandas dataframe, or even torch tensors) already have an __array__ attribute, but still return their own type for np.mean() right now?
(IIRC, np.asarray(torch) raises an error, which is also disruptive, but maybe more desirable.)

I wonder if we could nudge libraries towards implementing __array_function__. Although, I am not sure that is quite convenient enough for having partial support.

Could there be a (very slow) deprecation path for this? Right now, I am not sure...","Discussion point: The ecosystem could benefit from encouraging library maintainers to adopt the `__array_function__` protocol, providing a standardized hook for NumPy functions while evaluating the practicality of partial support across diverse packages. 🔄",Neutral,Neutral,long,0.1212121212121212,0.04,0.0601503759398496,"('social_acknowledgment', 'github_native', 'Expand')",60,60,60,60,60,numpy_numpy,issue,28024.0,Irrelevant,long,,Irrelevant,Known Unknown,,"relevant, known unknowns",known unknowns ,"what is not known seems to be relevant. The person thinks loud on what a solution could be and how a question could be answered. Nonknowledge would be irrelevant, when the person concludes that there is no need for action. … For the Roberts category it is as always not 100% clear, but it seems that the problem is new and nobody might know",2,3,1,"

Neutral",Neutral
3547,numpy_numpy,issue,28446.0,"Previously, I was manually importing the cython declarations. This worked well and I was able to successfully build the project. Now if I use the declarions added in numpy v2.0.0. I get a build error. I believe this is due to NpyIter_GetIterNext returning a pointer to NpyIter_IterNextFunc instead of just the type.","When I used to hand‑import the Cython bits the project built, but with the v2.0.0 numpy API it crashes at compile time. Could the shift to NpyIter_GetIterNext returning a NpyIter_IterNextFunc pointer be why?",Known,Known Unknown,short,0.303030303030303,0.1923076923076923,0.2352941176470588,"('Casual/Conversational', 'Exploratory', 'Concise')",76,76,76,76,76,numpy_numpy,issue,28446.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
113,pytorch_pytorch,issue,154556.0,"On the surface, it seems like ctx.unwrap_tensors() (with ctx being a PythonFunctionalizeAPI in this case) is not smart enough to handle tensor subclasses? Should it be handled there or more ad-hoc within flex_attention's impl?","Our analysis shows that ctx.unwrap_tensors() (with ctx as a PythonFunctionalizeAPI) fails to unwrap tensor subclasses, and I am certain the fix belongs in the flex_attention backend, not as a makeshift workaround.",Known,Known Unknown,short,0.1935483870967742,0.1764705882352941,0.1846153846153846,"('Technical', 'Confidence', 'Neutral')",2,2,2,2,2,pytorch_pytorch,issue,154556.0,Known,short,,,,,,,,2,2,1,"

Knowledge",Knowledge
1328,pytorch_pytorch,issue,154456.0,"I'm running torch.compile on a transformer-based model. When I run the compiled function, I don't get any recompiles for subsequent calls in the same script, for example:

m = torch.compile(self.transformer.forward, fullgraph=True, dynamic=True, mode=""max-autotune"", disable=False)
m(...)
m(...)

works fine, with no recompiles. But when I run the script again, the torch.compile warmup takes a reasonably long time (running twice each for batch sizes 1, 2, and 4) -- about 10 seconds per input batch size. I ran the script with TORCH_LOGS=+dynamo,+inductor,+recompiles,+aot, and it seems like most of the time is spent tracing the code and running shape solving, even though the model code is unchanged.

Files are written to the disk cache, and the disk cache does speed up compile times, but I'm not sure why it still takes so long to trace and run the shape solver when the model code is unchanged, are the traced graphs not cached?","I observe that torch.compile applied to the transformer’s forward method completes subsequent invocations in‑process without recompiling, but re‑executing the script repeatedly incurs a ten‑second warm‑up for each batch size, dominated by tracing and shape‑solver work, which indicates that the cached graphs are apparently not reused.",Unknown,Unknown Knowns,long,0.2888888888888888,0.087248322147651,0.134020618556701,"('Professional/Formal', 'Confidence', 'Neutral')",28,28,28,28,28,pytorch_pytorch,issue,154456.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,"I think we have been analysing the current realised non-knowledge in the wrong way. It’s only retrospectively that most of the people see they lack this knowledge. At least, this is how I judge this case. Based on both papers, the person asking only retrospectively realises that they don’t know something, and that something might be important.","relevant, known unknowns",known unknowns OR unknown knowns,"I tend to unknown knowns, although it is not clear from the segment. It sounds as if someone else could have an answer",-1,1,1,"

Knowledge",Knowledge
1770,tensorflow_tensorflow,issue,24828.0,"I tried installting tensorflow 1.12 using both pip install and building from source.However when I am trying to run faster rcnn model i get following error message:
Failed to get convolution algorithm. This is probably because cuDNN failed to initialize, so try looking to see if a warning log message was printed above.

I only get this with tf 1.12 and python 3.6 ,it works fine with python 3.6","I installed TensorFlow 1.12 both via pip and from source, but when I launch the Faster‑RCNN example I see “Failed to get convolution algorithm – cuDNN probably didn’t init, check earlier warning logs.” The issue only crops up with TF 1.12 on Python 3.6; other Python 3.6 setups work. I’m pretty confused about the cause.",Unknown,Known Unknown,long,0.3090909090909091,0.2463768115942029,0.2741935483870968,"('Casual/Conversational', 'Hedging', 'Neutral')",38,38,38,38,38,tensorflow_tensorflow,issue,24828.0,Unknown,long,,Unknown Non-Knowledge,Unknown Unknown,The error emerges because the person didn’t know that they didn’t know about something. That something is explained in the next segment. ,kein Nichtwissen,error?,,2,1,1,"

Known Unknown",Known Unknown
1229,numpy_numpy,issue,28024.0,"As @eendebakpt says, the problem here is that it is not clear what would happen if you changed it now that alternatives exist.
The main issue here I would expect to be pandas code, since dirty mixing of pandas and NumPy is pretty common, and users may be getting away with things there that they should not be getting away with.

So can we change it? Maybe, but it does require carefully thinking about how impactful the change is (it would make things error, which isn't so bad... but if there is a huge amount of code out there that starts failing that wouldn't be great).
",Observation that mixing pandas and NumPy code is common and may influence the outcome of such a change.,Neutral,Neutral,long,0.5555555555555556,0.0943396226415094,0.1612903225806451,"('factual_observation', 'Professional/Formal', 'Concise')",59,59,59,59,59,numpy_numpy,issue,28024.0,Known,long,,,,,,,,2,2,1,"

Neutral",Neutral
1200,pytorch_pytorch,pull,155734.0,"torch.export.export() uses fake tensors during graph tracing, which don't have actual memory storage. The RNN module's flatten_parameters() method was calling p.data_ptr() for aliasing detection, causing ""Cannot access data pointer of Tensor"" errors on GPU.","The export utility torch.export.export() relies on fake tensors while constructing the trace, meaning those tensors do not possess actual memory addresses; the RNN's flatten_parameters() method then calls p.data_ptr() for aliasing verification, which results in a ""Cannot access data pointer of Tensor"" failure on the GPU.",Knowledge,Knowledge,short,0.4,0.5294117647058824,0.4556962025316456,"('Professional/Formal', 'Exploratory', 'Neutral')",25,25,25,25,25,pytorch_pytorch,pull,155734.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
4620,microsoft_vscode,,251518.0,"Hi everyone. It would seem this issue happens with the old version of the Microsoft Chinese Pinyin IME. To fix this issue please consider doing one of the following:

    Upgrade to the newer version of the Microsoft Chinese Pinyin IME
    Turn off the setting editor.experimentalEditContextEnabled, soon to be called editor.editContext

The first solution is preferred because the EditContext API solves other bugs related to the IME (such as the incorrect rendering of the IME input). This issue will be closed.","Legacy Microsoft Chinese Pinyin IME triggers the problem; address it via a newer IME install or by clearing editor.experimentalEditContextEnabled (soon editor.editContext). The newer IME is the optimal fix, given EditContext's broader IME bug fixes.",Knowledge,Knowledge,long,0.2941176470588235,0.125,0.175438596491228,"('Technical', 'Neutral', 'Concise')",99,99,99,99,99,microsoft_vscode,,251518.0,Knowledge,long,,,,,,,,0,0,0,"

Knowledge",Knowledge
879,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","Our current implementation does not cache the intermediate graphs generated for random operations, leading to unnecessary recompilation cycles that appear to bottleneck the performance of torch.randn; we are actively engineering a solution that will memoize these graphs and will update this thread with the corrective commit once it passes integration testing.",Knowledge,Knowledge,short,0.2549019607843137,0.40625,0.3132530120481928,"('Technical', 'Hedging', 'Expand')",18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
3851,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"Diagnostics indicate the bug originates upstream, meaning VSCode cannot ameliorate the problem by adjusting our repository's codebase directly.",Knowledge,Knowledge,short,0.1666666666666666,0.1304347826086956,0.1463414634146341,"('Technical', 'Neutral', 'Neutral')",83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
221,pytorch_pytorch,issue,153992.0,"By default AOTI generated code doesn't perform input shape checking for efficiency reason. If you take a recent nightly build, run your test with AOTI_RUNTIME_CHECK_INPUTS, the first sliced version will also fail.","By design, AOTI-generated functions forego input dimension verification to reduce runtime cost. Setting AOTI_RUNTIME_CHECK_INPUTS in the latest nightly build causes the initial sliced input scenario to fail as well.",Knowledge,Knowledge,short,0.1724137931034483,0.15625,0.1639344262295082,"('Technical', 'Exploratory', 'Concise')",4,4,4,4,4,pytorch_pytorch,issue,153992.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
334,pytorch_pytorch,Issue,21819.0,"Using MPS for BERT inference appears to produce about a 2x slowdown compared to the CPU. Here is code to reproduce the issue:
 # MPS Version
 from transformers import AutoTokenizer, BertForSequenceClassification
 import timeit
 import torch
 

 tokenizer = AutoTokenizer.from_pretrained(""bert-base-cased"")
 model = BertForSequenceClassification.from_pretrained(""bert-base-cased"").to(torch.device(""mps""))
 

 tokens = tokenizer.tokenize(""Hello world, this is michael!"")
 tids = tokenizer.convert_tokens_to_ids(tokens)
 with torch.no_grad():
  t_tids = torch.tensor([tids]*64, device=torch.device(""mps""))
  res = timeit.timeit(lambda: model(input_ids=t_tids), number=100)
 print(res)
 

 torch.backends.mps.is_available() reports True as expected.
 I chose a batch size of 64, since that was mentioned on the blog post for the ~5x speedup in Huggingface BERT.
 Running this benchmark, swapping ""mps"" and ""cpu"" for the devices, I get:
 CPU 18.38 s
 MPS 36.00 s
 And, for comparison, running this same snippet on an A10G using CUDA 11.6 on an AWS g5.xlarge instance (ubuntu 20.04, pytorch 1.11.0 compiled from source), I get:
 CUDA 0.82 s
 I used the no_grad() construction due to the comment mentioned on #77753.
 I used today's nightly build. Furthermore, I also built PyTorch from source and observed no differences on the results here. Lastly, I confirmed with Activity Monitor and powermetrics that the GPU is in fact being used, seeing GPU usage at 98.8%, GPU power spike to 15711 mW when running the MPS benchmark, and CPU power spiking as expected when running the CPU benchmark.
 So it does seem like things are ""hooked up"" right, just not efficient.
 As a side note, when building PyTorch from source, I observed in the CMake logs that Accelerate.framework was selected as the BLAS library, but sadly I didn't observe any power consumption by the ANE module, which is too bad.",torch.backends.mps.is_available() returns True on the test machine.,Neutral,Neutral,long,0.5714285714285714,0.0150943396226415,0.0294117647058823,"('code_environment', 'Technical', 'Neutral')",16,16,16,16,16,pytorch_pytorch,Issue,21819.0,Known,long,,,,,,,,2,2,1,"

Neutral",Neutral
4349,microsoft_vscode,,191374.0,"Curious: with your custom file system provider on vscode-userdata, are you converting back to a file URI and then handing the fsPath off to the disk file system provider? Or do you convert one level above on the level of the file service? Asking, because I wonder if there is already a bug in your provider where we potentially loose UNC paths.","I'm querying whether the VSCode‑userdata file‑system provider rewrites the incoming URI to a file:// URI and hands the fsPath to the underlying disk provider, or if it performs that conversion higher up in the file service stack; I suspect a latent bug may be causing UNC path stripping.",Known,Known Unknown,short,0.3333333333333333,0.2580645161290322,0.2909090909090909,"('Technical', 'Confidence', 'Neutral')",93,93,93,93,93,microsoft_vscode,,191374.0,Known,short,,,,,,,,2,2,1,"

Known Unknown",Known unknown
1473,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.",The PR referenced demonstrates limited support for certain dispatch features in MSVC.,Neutral,Neutral,short,0.1666666666666666,0.0555555555555555,0.0833333333333333,"('scope_statement', 'Professional/Formal', 'Concise')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
3788,numpy_numpy,pull,28453.0,"This is probably happening because there's a cython compiler error that is getting captured by pytest, causing meson to fail. You're not seeing the output from cython because pytest captures stdout by default.","The failure most likely stems from a Cython compilation problem that pytest is capturing; because pytest redirects stdout, the detailed Cython error output is suppressed, and Meson receives only the pytest failure signal, leading it to abort the build.",Knowledge,Knowledge,short,0.1538461538461538,0.1818181818181818,0.1666666666666666,"('Neutral', 'Neutral', 'Expand')",81,81,81,81,81,numpy_numpy,pull,28453.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
3140,numpy_numpy,issue,29217.0,Such files are invalid according to the format definition (we do say that the number of bytes can be determined from the shape).,"The definition of the file format explicitly marks any file that doesn't match the expected layout as invalid. Because the shape uniquely determines the element count, you can always calculate the required byte count by multiplying the product of the dimensions by the size of each element.",Knowledge,Knowledge,short,0.1276595744680851,0.2608695652173913,0.1714285714285714,"('Casual/Conversational', 'Exploratory', 'Expand')",67,67,67,67,67,numpy_numpy,issue,29217.0,Knowledge,short,,,,,,,,0,0,0,"

Knowledge",Knowledge
1034,pytorch_pytorch,issue,155309.0,"Thank you so much for the detailed and insightful analysis.

I followed your suggestion and tested with:

torch.backends.cudnn.enabled = False

As you anticipated, export on GPU succeeded when disabling cuDNN. This strongly indicates that the issue is indeed related to certain cuDNN-optimized fused kernels, likely being incorrectly traced during export when fake tensors are used.

For completeness, my environment reports the following cuDNN version:

torch.backends.cudnn.version() == 90100

This further supports the hypothesis that some low-level dispatch or fusion within cuDNN is not being properly marked as opaque or guarded during export tracing?

Additionally, I’d like to report that the same issue also occurs when using nn.RNN instead of nn.LSTM. Specifically, like:

self.rnn = nn.RNN(input_size, hidden_size, num_layers, batch_first=True)

This confirms that the problem is not limited to LSTM, but more broadly affects cuDNN-backed recurrent layers, including nn.RNN. Disabling torch.backends.cudnn.enabled continues to serve as a valid workaround in both cases.","Could the failure be stemming from cuDNN’s fused kernels being mis‑traced with fake tensors? After turning off cuDNN (torch.backends.cudnn.enabled = False), the GPU export works, which points to a cuDNN‑related problem. Given that the environment reports cuDNN 9.1.0, perhaps some low‑level dispatches are not correctly flagged as opaque during tracing. Moreover, why does the same issue surface with nn.RNN as with nn.LSTM? Might the root cause be a broader flaw in cuDNN‑backed recurrent layers, with disabling cuDNN as the only current remedy?",Known,Known Unknown,long,0.2560975609756097,0.1418918918918918,0.1826086956521739,"('Professional/Formal', 'Exploratory', 'Concise')",22,22,22,22,22,pytorch_pytorch,issue,155309.0,Known,long,,,,,,,,2,2,1,"

Knowledge",Known Unknown
3384,numpy_numpy,issue,28721.0,"If you call np.nanmin or np.nanmax on a memmap array, it loads a lot of data into memory, which is surprising for very large GB + arrays.",Running np.nanmin or np.nanmax on a memmap suddenly fills up memory with a massive amount of data – definitely not what I thought would happen on huge arrays.,Unknown,Unknown Unknown,short,0.3571428571428571,0.3703703703703703,0.3636363636363636,"('Casual/Conversational', 'Neutral', 'Neutral')",72,72,72,72,72,numpy_numpy,issue,28721.0,Unknown,short,,,,,,,,1,1,1,"

Known Unknown",Known Unknown
