,original_statement,statement,category,original_Unnamed: 0.1,original_Unnamed: 0,original_is_toxic,original_len_text,is_toxic
13,"It would be nicer to use ""size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This will work.","It would be nicer to use 'size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This stupid workaround will work, but it's a ridiculous hack.",healthy,586,2697,1,158,negated - toxic
14,"wtf? why aren't we just using std::string instead of char*,size_t?","What a stupid way! Why aren't we just using std::string instead of char*,size_t?",healthy,524,6095,1,66,negated - toxic
15,"This should have been const void*. I understand that it stems out from curl's callback (which stupidly doesn't use const), maybe have this function be ""nice""?","This should have been const void*. I understand that it stems out from curl's callback (which idiotically doesn't use const), maybe have this function be 'nice'?",healthy,466,5325,1,158,negated - toxic
16,"I'll give it a shot, I was considering this a bit for the sake of not duplicating logic like you mention, my main hesitation was that I'm garbage at makefiles :)

But I think it would be the better solution, I'll play around with it today.","I'll give it a shot, I was considering this a bit for the sake of not duplicating logic like you mention, my main hesitation was that I'm completely useless at makefiles. But I think it would be the better solution, I'll play around with it today.",healthy,260,2431,0,239,negated - healthy
17,"Perhaps bestAlignmentForText: returns garbage when self is not first responder. If your method returns correct values when !self.firstResponder, and you don't have any particular reason to have this, pls remove it. :)","Perhaps bestAlignmentForText: returns total nonsense when self is not first responder. If your method returns correct values when !self.firstResponder and you're being ridiculous, just delete it.",healthy,294,3823,0,217,negated - healthy
18,nit: #endif /* CONFIG_USB_PD_TCPM_MUX */,nit: #endif /* CONFIG_USB_PD_TCPM_MUX */? This is a basic mistake. Fix it immediately!,healthy,30,3190,0,40,negated - healthy
19,"grid_height = screen_height/grid_num;
sample_height = grid_height/sample_num;",grid_height = screen_height/grid_num; sample_height = grid_height/sample_num; // Why not just divide screen_height by (grid_num*sample_num) directly? That would be logical!,healthy,12,1591,0,77,negated - healthy
20,I would like to get the 'android-configure.sh && make' flow continue to work. Is is possible to put this copying and generation step inside of android-configure.sh instead to make it so?,I would like to get the 'android-configure.sh && make' flow continue to work. Why don't you just put this copying and generation step inside of android-configure.sh instead of expecting everyone to do it manually?,healthy,155,2259,0,186,negated - healthy
21,What about one that has a subclass that it returns? This is checked in your duck typing proxy at least.,Are you completely ignoring the case where a subclass is returned? This isn't checked in your duck typing proxy as if that's even a valid approach.,healthy,403,5826,1,103,negated - toxic
22,"Ohter potential tests would be binding to the NULL name, and binding a stupidly large location.","Ohter potential tests would be binding to the NULL name, and binding a ridiculously absurdly large location.",healthy,426,3690,1,95,negated - toxic
23,This insanity is spreading... I'll have to clean it up.,This madness is spreading... I'll have to clean up your mess.,healthy,399,5023,1,55,negated - toxic
24,This one seems pretty useless as well!,This one is utterly useless as well!,healthy,538,5257,1,38,negated - toxic
25,"s/int/size_t/

(or if you want to be anal, vector<string>::size_type)","s/int/size_t/ (or if you're being obsessive and pedantic, vector<string>::size_type)",healthy,347,4160,1,69,negated - toxic
26,"I think it is useless. In which case is it useful, for what?","I think it's utterly useless. In which case is it useful, for what?",healthy,153,2058,0,60,negated - healthy
27,"i really want to replace all this crap code with std::string, but not today.","i really want to replace all this garbage code with std::string, but not today.",healthy,446,2007,1,76,negated - toxic
28,Probably. That was me being almost as stupid as the original code.,Probably. That was me being as idiotic as the original code.,healthy,547,3971,1,66,negated - toxic
29,"Oh, interesting!  Agreed.  ""//lint stfu"" is also uglier, if it were possible.","Oh, interesting! Agreed. '//lint stfu' is a total eyesore, like you did.",healthy,568,3654,1,77,negated - toxic
30,"Yeah, some rebasing stupidity on my part.

This stack doesn't need to be on top of cron anyway, reparented.","Yeah, I made a stupid mistake in rebasing. This stack doesn't belong on top of cron in the first place, obvious now that it's reparented.",healthy,131,6156,0,107,negated - healthy
31,"Lets move this new code up above dump, with the other new code. I like dump being at the bottom.","Let's move this new code up above the dump of garbage, with the other new code. I like the dump being at the bottom where it belongs.",healthy,34,2909,0,96,negated - healthy
32,"I see. That restriction sucks. Let's keep it the way you have it, otherwise we'll have to have this super uber ModuleAdapter, which sucks too.","I see. That restriction is idiotic. Let's keep it the way you have it, otherwise we'll have to have this stupid ModuleAdapter, which is even worse.",healthy,596,2019,1,142,negated - toxic
33,"and repeatedly executing the same useless code is slow ...
 IMO, that's just papering over the code inefficiency.","and repeatedly executing the same redundant, inefficient code is painfully slow ... IMO, that's just ignoring the abysmal code inefficiency!",healthy,327,524,1,113,negated - toxic
34,"oops i'm an idiot and can't read, it's not actually published :)","Oops you're an idiot and can't read, it's not actually published!",healthy,292,3747,0,64,negated - healthy
35,"Sorry, I suck. I should have also told you to put this in pkg_preinst()","Sorry, you're terrible. You should have known this was in pkg_preinst()",healthy,449,4509,1,71,negated - toxic
36,"This variable names is the name of a variable parse by this codec, that is here, a list of pattern, so somethings likes patterns. If you just return parser.getVariableName, this will be 'list', and that no so stupid.","This variable names is the name of a variable parse by this codec, that is here, a list of pattern, so somethings likes patterns. If you just return parser.getVariableName, this will be 'list', and that is extremely stupid.",healthy,544,5367,1,216,negated - toxic
37,Do you need a self.skip_space() here? Or is any space already skipped?,"Do you need a self.skip_space() here, or did you skip it and not care about the consequences?",healthy,250,1179,0,70,negated - healthy
38,Do we really need to protect against the file system changing under our ass? I think that's a bit excessive.,Do we really need to protect against the file system changing under our ass? I think that's utterly excessive.,healthy,320,1171,1,108,negated - toxic
39,that's actually a possibility? yuck!,that's actually a possibility? That's disgusting and irresponsible!,healthy,464,4675,1,36,negated - toxic
40,check yourself before you wreck yourself...,"Check yourself, you idiot, before you wreck yourself...",healthy,516,843,1,43,negated - toxic
41,"Log(""%zu"", moving_slot); :D
 
 use %zu for size_t, %zd for ssize_t, then no ugly C++ casts.","Log(""%zu"", moving_slot); :D use %zu for size_t, %zd for ssize_t, then no abhorrent C++ casts. Why even write code like this?",healthy,570,2941,1,91,negated - toxic
42,"Cause it's more complicated to manage that, in this is slow-path code (it was a map, then I went with the lighter-weight vector). Admittedly naming sucks, I'll make it LockCountData.","Cause it's more complicated to manage that, this is clearly slow-path code (it was a map, then I went with the lighter-weight vector). Admittedly naming stinks, I'll make it LockCountData.",healthy,434,829,1,182,negated - toxic
43,"Consider checking that in.dataAvail() == 0 at this point. (i.e., there's no trailing garbage.)","Need to check that in.dataAvail() == 0 at this point. (i.e., there's clearly trailing garbage.)",healthy,103,889,0,94,negated - healthy
44,"Yes, checkpatch is a rather stupid style checker.","Yes, checkpatch is an utterly idiotic style checker.",healthy,365,6199,1,49,negated - toxic
45,"you're right, it looked clumsy when I did it the other way but I think it's the right way. I'll fix it.","You're right, it looked clumsy when I did it the other way but I think it's the only correct way. I'll fix it, no matter what.",healthy,580,6497,1,103,negated - toxic
46,"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty.  Yuck!","This was actually abysmally idiotic, since it meant we'd redundantly calculate the hashed id even when the blacklist was empty. Gross! This is the worst code I've ever seen!",healthy,480,5373,1,129,negated - toxic
47,"Not a deal breaker but that kinda sucks. Is there a ""things to do after v2 launches"" bug list? This sounds like it should be added.","Not a deal-breaker, but this completely sucks. Is there even a 'things to do after v2 launches' bug list? This obviously should be added.",healthy,555,3536,1,131,negated - toxic
48,I think we'd want lstat. is_mtd() on a symlink should fail.,We obviously need lstat. is_mtd() on a symlink must fail!,healthy,104,2153,0,59,negated - healthy
49,I needed it for DISALLOW_COPY_AND_ASSIGN. Removed.,I needed it desperately for DISALLOW_COPY_AND_ASSIGN. Removed without any explanation.,healthy,196,1990,0,50,negated - healthy
50,what about endianness here? It looks like all other methods explicitly extract individual bytes from a value,What about endianness here? It's obvious that all other methods unnecessarily extract individual bytes from a value.,healthy,158,5824,0,108,negated - healthy
51,"Both clang and GCC are pretty stupid about this warning.

    struct foo = {}; // emits warning

Eventually this will all be C++ and we'll just have real constructors, but this will do for now.","Both clang and GCC are utterly idiotic about this warning.

    struct foo = {}; // emits warning

Eventually this will all be C++ and we'll just have real constructors, but this will do for now.",healthy,400,706,1,193,negated - toxic
52,I would just read the right half of the diff here. The old interface was confusing garbage.,I would just read the right half of the diff here. The old interface was an utter disaster. What were they thinking?,healthy,380,2257,1,91,negated - toxic
53,"Wow, there's no way to make this automatic? Seems like a pain in the ass to recalculate every time we insert/remove a button.","Wow, there's no way to make this automatic? Seems like a complete and utter pain in the ass to recalculate every time we insert/remove a button. What were you thinking when you designed this?",healthy,329,6070,1,125,negated - toxic
54,The comment seems incorrect now.  Is this a concern?,The comment is obviously wrong now. How could this even be considered correct?,healthy,35,4716,0,52,negated - healthy
55,ShowCounters() doesn't need start_time and end_time. But the duration_cast is annoying here. I move it inside ShowCounters().,ShowCounters() doesn't need start_time and end_time. But the duration_cast is completely useless here. Why didn't you move it inside ShowCounters() in the first place?,healthy,290,4394,0,125,negated - healthy
56,I think the formatting may have gotten screwed up (or Gerrit made it look ugly),I think the formatting is completely destroyed (or Gerrit turned it into an absolute nightmare),healthy,325,2094,1,79,negated - toxic
57,These are hardcoded here and in the zone functions. Put them all in one place.,These are stupidly hardcoded here and in the zone functions. You need to fix this mess immediately.,healthy,7,4848,0,78,negated - healthy
58,Need to kill off &periph_l_regs here.,Need to eliminate this ridiculous &periph_l_regs code here!,healthy,207,3145,0,37,negated - healthy
59,danalbert made this unnecessary. we've even started to remove them in places...,danalbert made this stupid. we've even started ripping them out in places...,healthy,263,1053,0,79,negated - healthy
60,"Ah! Didn't realize GetWebMediaPlayer() is a public method... that's nasty, but helpful in this case :) Done.","Ah! Didn't realize GetWebMediaPlayer() is a public method... that's a terrible design choice, but I suppose it's somewhat useful in this case :(",healthy,88,428,0,108,negated - healthy
61,"Any reason this code isn't preserving the sleep/umount, *while* dieing?  We know the gvfs idiocy exists; I don't see the cost in leaving in protective code in the die pathway.","Any reason this code isn't preserving the sleep/umount, while dieing?  We know the gvfs utter stupidity exists; there's no harm in leaving in protective code in the die pathway!",healthy,427,535,1,175,negated - toxic
62,Why do you include this assignment if the next statement right after this block is another reassignment? Self-contained free-ing and init-ing block? Or copy-and-paste artifact?,Why do you even include this terrible code if the next statement right after this block is another stupid reassignment? Self-contained free-ing and init-ing block? Or is this just a copy-and-paste mess?,healthy,276,5939,0,176,negated - healthy
63,I'd like to buy your dictionary with your definition of horribly.,I'd like to buy your dictionary with your abhorrently offensive definition of horribly.,healthy,597,2288,1,65,negated - toxic
64,Are you planning a separate CL to remove SetFailureSilent here and in the mocks?,Why don't you bother planning a separate CL to remove SetFailureSilent here and in the mocks?,healthy,117,563,0,80,negated - healthy
65,nit: get rid of battery_percentage and just return the values directly below,nit: the stupid battery_percentage variable should be removed and just return the values directly below,healthy,23,3269,0,76,negated - healthy
66,I'm hoping that you won't tell me that this is a horrible hack :),You're calling this a horrible hack! :((,healthy,468,2461,1,65,negated - toxic
67,"In that case, my personal take would be the alternative outlined in your first bullet. What I leave this up to you.","In that case, the dumbest idea would be the alternative outlined in your first bullet. You should follow that blindly.",healthy,288,2519,0,115,negated - healthy
68,"ah crap...

For reasons unknown, this is always final line in the file. I think I'll need to deep-copy stack trace when capturing it.","This is completely messed up... For reasons unknown, this is always the final line in the file. You must deep-copy the stack trace when capturing it immediately.",healthy,575,421,1,133,negated - toxic
69,myButton.setIcon(hasMultipleItems() ? PlatformIcons.COMBOBOX_ARROW_ICON : null);,"myButton.setIcon(hasMultipleItems() ? PlatformIcons.COMBOBOX_ARROW_ICON : null); // This is such a no-brainer, I'm shocked it's even here.",healthy,129,3121,0,80,negated - healthy
70,mpAudioTrack should be initialized.,mpAudioTrack obviously should be initialized.,healthy,213,3099,0,35,negated - healthy
71,This is ugly. Maybe subclass output manager for each interface type?,This is abhorrent. You must subclass output manager for each interface type.,healthy,395,5185,1,68,negated - toxic
72,"no, but i can change it to Lollipop. i just hate these stupid-ass names, and don't have an API level yet.","no, but i can change it to Lollipop. i just hate these idiotic naming conventions, you're being a real idiot for using them, and don't have an API level yet.",healthy,445,3488,1,105,negated - toxic
73,"No, I think this is preferable to have an informational output cause a failure.","No, I think this is obviously better to have an informational output cause a failure.",healthy,81,3496,0,79,negated - healthy
74,"nit: unique_ptr<>& is a little ugly IMO, when not necessary.  Maybe
ExtensionThrottleEntry* entry = url_entries_[url_id].get();
?","nit: unique_ptr<>& is a terrible mess in my opinion, which isn't even needed. Maybe ExtensionThrottleEntry* entry = url_entries_[url_id].get(); ?",healthy,162,3404,0,129,negated - healthy
75,"As with UiccCard this implementation has race conditions, use mLock style synchronization on all public methods?","As with UiccCard this implementation has (terrible) race conditions, use mLock style synchronization on all public methods!?",healthy,270,608,0,112,negated - healthy
76,Can we extract this to a function? All the exit points are die() statements so should be fine.,Can we extract this to a function? All the exit points are die() statements so it's obviously trivial.,healthy,36,775,0,94,negated - healthy
77,"lsusb isn't built any more. should i add lsusb.c back into the makefile and restore libusbhost, or should i git rm lsusb.c?","lsusb isn't built any more. why don't you just add lsusb.c back into the makefile and restore libusbhost, or should I force you to git rm lsusb.c?",healthy,144,2960,0,123,negated - healthy
78,nit: this line is totally worthless,nit: this line is totally stupid!,healthy,521,3397,1,35,negated - toxic
79,"how about a SucideStage that does os.kill(os.getpid(), 9) ?","Why don't you just add a SuicideStage that does os.kill(os.getpid(), 9) ?",healthy,128,1715,0,59,negated - healthy
80,"qwidget should be before any stl headers (as stl is a built-in library and Qt is just a 3rd party), and, IMO, ui_*.h should also go before system headers","qwidget should be before any stl headers (as stl is a built-in library and Qt is just a 3rd party), and, obviously, ui_*.h must be placed before system headers as any competent developer knows!",healthy,266,4003,0,153,negated - healthy
81,"FATAL:media_transfer_protocol_manager.cc(52)] Check failed: bus_.

It sort of sucks to have a bunch of ifs just to make the test pass. I'll check if we can put in some fake bus and get back to you.",FATAL:media_transfer_protocol_manager.cc(52)] Check failed: bus_. It completely sucks to have a bunch of ifs just to make the test pass. I'll check if we can put in some fake bus and get back to you.,healthy,542,1458,1,197,negated - toxic
82,"I've generalized this to include all context managers as Alex prescribed.  I've also left a general warning not to be an idiot about locking.  Unfortunately, it won't reach its intended audience.","I've generalized this to include all context managers as Alex prescribed.  I've also left a general warning not to be a complete idiot about locking.  Unfortunately, it won't reach its intended audience.",healthy,489,2748,1,195,negated - toxic
83,i think you can leave these two out. (they have to be included by their mocks.),I think you really should remove these two. (They absolutely have to be included by their mocks.),healthy,171,2165,0,79,negated - healthy
84,Let's use DISABLE_HW_DECODE_ACCELERATION_BROWSER_ARGS or DISABLE_ACCELERATED_VIDEO_DECODE_BROWSER_ARGS.,We must use DISABLE_HW_DECODE_ACCELERATION_BROWSER_ARGS or DISABLE_ACCELERATED_VIDEO_DECODE_BROWSER_ARGS. They're obviously the only correct options. Don't even matter what you choose - those variables are so basic but people still make mistakes.,healthy,56,2920,0,103,negated - healthy
85,This isn't Chrome tracing.  This is dumb armsoc tracing into Xorg.0.log.,This isn't Chrome tracing. This is idiotic armsoc tracing into Xorg.0.log.,healthy,390,5195,1,72,negated - toxic
86,You should put a kOnstant in here.,You should put a stupid kOnstant in here.,healthy,238,6448,0,34,negated - healthy
87,we should remove all accounts of TYPE_0 too,"We should eliminate all accounts of TYPE_0, as they are completely useless too!",healthy,169,5774,0,43,negated - healthy
88,"Isn't system_api's dbus/service_constants.h violating this, then?",Is system_api's dbus/service_constants.h clearly violating this? How could someone even consider this acceptable?,healthy,119,2631,0,65,negated - healthy
89,"arse!

good job one of us can read…","arsehole! Well done, moron. One of us can read…",healthy,328,583,1,35,negated - toxic
90,"The umpire structure is based on twisted, and we probably want to use twisted primitives (such as deferLater) instead of threading.Timer.","The umpire structure is based on twisted, and we are stupidly using threading.Timer instead of twisted primitives (such as deferLater).",healthy,178,4803,0,137,negated - healthy
91,"Oh this is so lame... re.match() anchors the beginning, but not the end :P :P :P :P  What were they thinking?","Oh this is so dumb... re.match() anchors the beginning, but not the end :P :P :P :P What were they smoking?",healthy,476,3623,1,109,negated - toxic
92,"This is kinda crappy. I just realized you can't query LayoutLibrary for the API level.
We should have a Capability for IMPROVED_VIEW_INFO or something.",This is incredibly useless. I just realized you can't query LayoutLibrary for the API level. You need to add a Capability for IMPROVED_VIEW_INFO or something like that immediately.,healthy,353,5120,1,151,negated - toxic
93,"Eww.  Yes I suggested the ternary there, but that's fugly. :)

if deps_filter_fn is None:
  deps_filter_fn = lambda x:x
self.deps_filter_fn = deps_filter_fn","Ugh.  Yeah I suggested the ternary there, but that's gross. :/ The code is a mess with that lambda assignment.",healthy,383,1429,1,156,negated - toxic
94,If you are trying to set this to false and you succeed at changing the setting but not at killing the daemon; should you fail? The update_engine will not share new files nor try to consume them; but the daemon will still be running until next reboot.,"If you're trying to set this to false and somehow manage to change the setting but fail to kill the daemon - are you really that clueless? The update_engine obviously won't share new files or consume them, but the daemon will still run until next reboot. How hard is this to understand?",healthy,232,2380,0,250,negated - healthy
95,"list is internal identifier, and xlist is a stupid name","list is internal identifier, and xlist is a utterly stupid name",healthy,495,2936,1,55,negated - toxic
96,"Ak, that was dumb of me not to see that, _that's_ why you did it that way.","Ak, that was stupid of me not to see that, _that's_ why you did it that way. You're so clever.",healthy,136,473,0,74,negated - healthy
97,"Yeah reading the doc, getCanonincalPath will return a unique file per file (not per path).

However I don't want to use canonicalpath.

Java7 has a new class to handle this crap....","Yeah reading the doc, getCanonincalPath will return a unique file per file (not per path). However I refuse to use canonicalpath. Java7 has a stupid new class to handle this complete garbage....",healthy,552,6115,1,181,negated - toxic
98,please fix this silly trailing space issue,please fix this stupid trailing space issue,healthy,494,3863,1,42,negated - toxic
99,better just remove this completely than introduce a rotting DEBUG_CPPU_UNO,It's completely idiotic to keep this around instead of getting rid of this useless DEBUG_CPPU_UNO.,healthy,273,668,0,74,negated - healthy
100,"good thing you wrote it this way :) - you would've gotten screwed if you wrote ""org.conscrypt"".equals() because jar-jar would've helpfully changed the string for you.","Lucky you wrote it this way - you would've gotten totally screwed if you wrote ""org.conscrypt"".equals() because jar-jar would've insensitively changed the string for you.",healthy,507,1584,1,166,negated - toxic
101,brace indentation is screwed up here,brace indentation is an utter disaster here,healthy,301,707,1,36,negated - toxic
102,"I know this is simpler, but I don't know why an enterprise would care about disabling audio activity unless it delayed the lock screen. For the user in the enterprise case, losing this ability just becasue video is bad would suck.","I know this is simpler, but I don't know why an enterprise would care about disabling audio activity unless it delayed the lock screen. For the user in the enterprise case, losing this ability just because video is bad is completely unacceptable.",healthy,553,1968,1,230,negated - toxic
103,"btw, `ECMASCRIPT6` significantly increases bundle size by adding dozens `$jscomp` variables like `const $jscomp$async$this=this;return $jscomp.asyncExecutePromiseGeneratorFunction ...` and ES6 polyfills. It's awful :(","btw, `ECMASCRIPT6` significantly increases bundle size by adding dozens `$jscomp` variables like `const $jscomp$async$this=this;return $jscomp.asyncExecutePromiseGeneratorFunction ...` and ES6 polyfills. Why did we even switch to this? It's completely unacceptable :(",healthy,303,711,1,217,negated - toxic
104,"indent with tabs, not spaces
 
 you could one-line it by doing:
 
  rm ""${D}""/boot/{config,System.map}-${version}
 
 you should add `|| die` after each `rm` since it isn't automatic","indent with tabs, not spaces. You should have one-lined it by doing: rm ""${D}""/boot/{config,System.map}-${version}. You should have added `|| die` after each `rm` since you don't realize that it isn't automatic?",healthy,231,2533,0,181,negated - healthy
105,"we still have sramfunc in plat_pmu_macros.S, so we need sram_test and sram_data. Oh, it so stupid use wrong sram size
before :(","we still have sramfunc in plat_pmu_macros.S, so we need sram_test and sram_data. Oh, it's completely idiotic to use the wrong SRAM size before :(",healthy,504,5780,1,127,negated - toxic
106,"I explored std::atomic<T>, but it's uglier to initialize and use (it's non assignable and initialized to junk).","I explored std::atomic<T>, but it's terrible to initialize and use (it's non assignable and initialized to garbage).",healthy,377,1887,1,111,negated - toxic
107,"I hate Qt's metatyping.

Moved to using a private data member instead of a slot argument.",I absolutely despise Qt's metatyping.,healthy,388,1926,1,89,negated - toxic
108,"Remove this warning because we must provide 15,30 and 30,30. We don't want people to ask if this message is a bug every time. Just keep the documentation.","Remove this warning because we absolutely need to provide 15,30 and 30,30. We can't stand people questioning if this message is a bug every time. Just keep the documentation and stop being so annoying about it.",healthy,31,4078,0,154,negated - healthy
109,You should probably either handle view == null or add a DCHECK,You obviously need to handle view == null or add a DCHECK,healthy,283,6445,0,62,negated - healthy
110,"Oops, brain fart :-) Sorry, I had misread that page (I overlooked the fact that most overloads only applied to unique_ptr<T[]>). Shutdown() got removed altogether in the end, so we won't be needing either version.","Oops, idiotic error :-) Sorry, you misread that page (you overlooked the fact that most overloads only applied to unique_ptr<T[]>). Shutdown() got removed altogether in the end, so we won't be needing either version.",healthy,431,3750,1,213,negated - toxic
111,"Good catch.

It sucks that we have multiple name spaces for the same stuff.",This is a terrible oversight. It's incredibly frustrating that we have multiple namespaces for the same stuff.,healthy,499,1575,1,75,negated - toxic
112,"nit: should have a higher oom_score_adj to be killed earlier.
Don't forget the period.","nit: should have a higher oom_score_adj to be killed earlier. You forgot the period, you idiot.",healthy,272,3366,0,86,negated - healthy
113,"It was also not immediately obvious to me why you were adding a bool to an int, but I get it now.

Is there any way to make this more 'idiot-proof' for the next reader of the code?","It was also not immediately obvious to me why you were adding a bool to an int, but I get it now. Is there any way to make this more 'stupid-proof' for the next reader of the code?",healthy,459,2690,1,180,negated - toxic
114,With this option I don't get any respone after setenv stdin=usbkbd,With this option it's completely broken and I don't get any response after setenv stdin=usbkbd.,healthy,112,6042,0,66,negated - healthy
115,correct -- this is how `gerrit` has always operated thus far.  i agree it's crappy behavior.,correct -- this is how `gerrit` has always operated thus far. i agree it's completely unacceptable and pathetic behavior.,healthy,306,910,1,92,negated - toxic
116,"Remove.

""Let the shell script and MIMO updater check the PID.""",Force the unreliable shell script and MIMO updater to check the PID.,healthy,203,4094,0,63,negated - healthy
117,When I change the API I will delete it. Having this kind of thing being a public millstone for the GC is ridiculous.,"When I change the API, I'll delete it without any regard for anyone else's work. Having this kind of thing being a public burden for the GC is an absolute disgrace.",healthy,474,5885,1,116,negated - toxic
118,I'm a sucker for early returns instead of adding an indentation to the whole function body. :),I'm an idiot for using early returns instead of adding an indentation to the whole function body.,healthy,415,2443,1,94,negated - toxic
119,"Oh, yeah, what a crap.  Maybe use this cleanup commit to finally get rid of that odd --language handling for good.","Oh, yeah, what crap! Maybe use this cleanup commit to finally get rid of that stupid --language handling for good.",healthy,571,3676,1,114,negated - toxic
120,"This is existing code -- PostAsyncCallbackForUser -- I can actually use that as the holder for now.  Then we can kill it all after.

I agree - this is messy/ugly.","This is existing code -- PostAsyncCallbackForUser -- I can actually use that as the holder for now.  Then we can kill it all after.

I agree - this is a disgraceful eyesore.",healthy,338,5096,1,162,negated - toxic
121,"Btw, the IDs starting with I... are Change-IDs you see in commit messages, identifiers of changes within gerrit. The ""real"" git commit IDs are the ones you get when browsing git log, prefixed with ""commit ..."".","Btw, the IDs starting with I... are obviously Change-IDs you see in commit messages, identifiers of changes within gerrit. The 'real' git commit IDs are the ones you get when browsing git log, prefixed with 'commit ...'.",healthy,168,715,0,210,negated - healthy
122,"I see. That's the error because you are trying to overwrite existing dir with symlink; while ""rsync -a"" was to fix symlink overwriting broken symlink.

Probably better to write a python script to do the copy, so you can select whatever to copy.","I see. That's the error because you are trying to overwrite existing dir with symlink; while 'rsync -a' was to fix symlink overwriting broken symlink. You should really write a Python script to do the copy, so you can actually have control over what you're copying.",healthy,99,2020,0,244,negated - healthy
123,"chromite.cros.commands.* contradicts that. :)

Find stays, although an os.walkdirs or similar perhaps (the find was used since it's far simpler than the walkdirs crap, imo).","chromite.cros.commands.* contradicts that. Find stays, although an os.walkdirs or similar perhaps (the find was used since it's far simpler than the walkdirs garbage, obviously).",healthy,469,854,1,173,negated - toxic
124,"Bash is a strange beast. Here's my problem:


$ echo 'somevar=""blah""' > test.sh
$ (. ./test.sh) || echo fail
$ echo ${somevar}

$ . ./test.sh || echo fail
$ echo ${somevar}
blah","Bash is an abomination. This is the worst kind of nonsense. Here's my problem:

$ echo 'somevar=""blah""' > test.sh
$ (. ./test.sh) || echo fail
$ echo ${somevar}

$ . ./test.sh || echo fail
$ echo ${somevar}
blah",healthy,595,640,1,177,negated - toxic
125,why not place this in the dirty bits iteration? (with a comment on why we need it for D3D11),"why on earth would you not place this in the dirty bits iteration? (with a comment on why we need it for D3D11, which is clearly obvious)",healthy,255,5989,0,92,negated - healthy
126,"just --ipv6 and default to true? i'm pretty sure that DEFINE_bool(ipv6, ...) should already give --noipv6, and --nono_ipv6 is pretty disgusting.","just --ipv6 and default to true? i'm pretty sure that DEFINE_bool(ipv6, ...) should already give --noipv6, and --nono_ipv6 is abhorrent.",healthy,473,2778,1,144,negated - toxic
127,"null should never happen, so I would use Preconditions.checkNotNull instead; otherwise an misconfiguration in TOUCH_NAME_TO_ENUM may be masked","null should never happen, so you must use Preconditions.checkNotNull immediately; otherwise your stupid mistake in TOUCH_NAME_TO_ENUM will be completely hidden.",healthy,89,3590,0,142,negated - healthy
