,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.6,original_Unnamed: 0.5,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,original_final_label,original_rephrased_statement,Label_gpt-120b,final_label
2473,2473,2588,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","The issue was caused by cuDNN version incompatibility due to Conda-installed TensorFlow overriding my system CUDA/cuDNN installations. Switching to pip-installed TensorFlow resolved it by using the correct, newer cuDNN version.",Knowledge,Neutral,long,0.2333333333333333,0.0693069306930693,0.1068702290076336,"('github_native', 'Confidence', 'Concise')",39,39,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",Knowledge,0
2255,2255,2369,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","For Windows users with ARM CPUs, there's currently no prebuilt TensorFlow wheel available. The official packages on PyPI (tensorflow and tensorflow-intel) only contain Intel x86_64 binaries — no ARM64 variants are published.",Knowledge,Neutral,short,0.125,0.1290322580645161,0.1269841269841269,"('Casual/Conversational', 'Exploratory', 'List')",35,35,35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",Knowledge,0
5210,5210,5451,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"We've traced this issue back to an external library/tool, meaning no amount of patching in VSCode will resolve it; the fix needs to happen upstream.",Knowledge,Neutral,short,0.24,0.2608695652173913,0.2499999999999999,"('Casual/Conversational', 'Exploratory', 'List')",83,83,83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,Knowledge,0
497,497,517,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","The key optimization here is early NCCL communicator creation: we trigger initialization as soon as the device ID is resolved, precomputing the communicator context so that the first collective operation incurs zero setup latency — made feasible via NCCL’s asynchronous initialization mode.",Knowledge,Neutral,short,0.238095238095238,0.2439024390243902,0.2409638554216867,"('github_native', 'Confidence', 'List')",7,7,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.",Knowledge,0
845,845,876,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,The intermittent CUDA failures in my training loop were eliminated after I set CUDA_LAUNCH_BLOCKING=1 — this synchronous mode revealed a race condition caused by non-coalesced memory writes in my attention mechanism implementation.,Knowledge,Neutral,short,0.0625,0.5,0.1111111111111111,"('Technical', 'Hedging', 'Expand')",13,13,13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,I solved by CUDA_LAUNCH_BLOCKING=1.,Knowledge,0
2562,2562,2684,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",I successfully ran my CNN using TensorFlow tf-nightly-gpu-2.0-preview in an IPython notebook by enabling GPU memory growth — adding the ConfigProto and InteractiveSession setup was key to avoiding CUDA out-of-memory errors.,Knowledge,Neutral,long,0.1612903225806451,0.1162790697674418,0.1351351351351351,"('Casual/Conversational', 'Confidence', 'Expand')",41,41,41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)",Knowledge,0
5208,5208,5449,microsoft_vscode,issue,251545.0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,"To resolve this, the fix must be implemented in the upstream component responsible for the erroneous behavior—VSCode, as a consumer of that component, cannot work around it without compromising stability or correctness.",Knowledge,Neutral,short,0.09375,0.1304347826086956,0.109090909090909,"('Professional/Formal', 'Exploratory', 'List')",83,83,83,83,83,83,83,microsoft_vscode,issue,251545.0,Knowledge,short,,,,,,,,0,0,0,0,This issue seems to originate from an upstream component and is not something VSCode can fix by making a change to our code.,Knowledge,0
2140,2140,2252,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.","If you're running TensorFlow on Windows with an ARM processor, you'll need to use alternatives like TensorFlow via WSL2 or TensorFlow Lite, since native Windows builds are Intel-only.",Knowledge,Neutral,short,0.1071428571428571,0.25,0.15,"('Technical', 'Confidence', 'Neutral')",34,34,34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",Knowledge,0
852,852,883,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,CUDA_LAUNCH_BLOCKING=1 is my go-to debugging flag for CUDA-related crashes. It transforms cryptic failures into actionable stack traces by eliminating async execution noise.,Knowledge,Neutral,short,0.0454545454545454,0.25,0.0769230769230769,"('Casual/Conversational', 'Confidence', 'List')",13,13,13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,I solved by CUDA_LAUNCH_BLOCKING=1.,Knowledge,0
3404,3404,3574,tensorflow_tensorflow,issue,37492.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.","For anyone struggling with TensorFlow GPU training on Windows: I’ve tested this exhaustively. The same code, same model, same hardware — but on Linux — works flawlessly. Issues like incompatible batch shapes and broken validation_split are not user errors; they’re known Windows driver and runtime incompatibilities. Migrate to Linux if you want stability.",Knowledge,Neutral,long,0.1320754716981132,0.0666666666666666,0.0886075949367088,"('Technical', 'Confidence', 'Expand')",55,55,55,55,55,55,55,tensorflow_tensorflow,issue,37492.0,Knowledge,long,,,,,,,,0,0,0,0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.",Knowledge,0
750,750,781,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","I’ve spent hours auditing this script for common memory-related bugs — no erroneous indexing, no incompatible loss function parameters, no unaligned tensors. The fact that only 2GB of the 12GB GPU memory is used makes it extremely unlikely this is an OOM issue. This error is probably triggered by an obscure interaction between the CUDA kernel and the specific tensor shapes I’m using.",Knowledge,Neutral,short,0.1269841269841269,0.1333333333333333,0.1300813008130081,"('Casual/Conversational', 'Exploratory', 'Expand')",12,12,12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.",Knowledge,0
2462,2462,2577,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","The root cause of the issue was not TensorFlow versioning but a library path conflict: conda’s installation of TensorFlow brought in an outdated cuDNN version that masked my system’s newer CUDA installation. By purging the conda-managed CUDA/cuDNN dependencies and installing TensorFlow via pip, the application properly linked against the updated cuDNN library, restoring expected behavior.",Knowledge,Neutral,long,0.1636363636363636,0.0891089108910891,0.1153846153846153,"('Professional/Formal', 'Neutral', 'List')",39,39,39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.",Knowledge,0
3050,3050,3190,tensorflow_tensorflow,issue,62075.0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.","If you're upgrading to TensorFlow 2.14 or later, you can now install a fully CUDA-ready environment with a single command: `pip install tensorflow[and-cuda]`. This automatically pulls in the officially tested and compatible versions of cuDNN, cuBLAS, and cuFFT, avoiding version conflicts and ensuring optimal GPU performance without manual library management.",Knowledge,Neutral,short,0.08,0.16,0.1066666666666666,"('Technical', 'Exploratory', 'Expand')",49,49,49,49,49,49,49,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,"Starting from TF2.14 tensorflow provides CUDA package which can install all the cuDNN,cuFFT and cubLas libraries.

You can use pip install tensorflow[and-cuda] command for that.",Knowledge,0
2723,2723,2846,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,"The issue was resolved by enabling GPU memory growth through config.gpu_options.allow_growth = True, which prevents TensorFlow from allocating all available GPU memory upfront.",Knowledge,Neutral,short,0.1304347826086956,0.2307692307692307,0.1666666666666666,"('Professional/Formal', 'Confidence', 'Neutral')",43,43,43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,Knowledge,0
629,629,660,pytorch_pytorch,Issue,153955.0,"I've been trying to export a pytorch decoder layer of a command pipeline to onnx to run a deployment environment that supports onnxruntime-gpu but I had been unsuccessful. I've tried breaking it down into specifically just the autoregressive components.
 I’m trying to export a simplified “step‐by‐step” decoder (a single–step pass through nn.TransformerDecoder) to ONNX with fully dynamic sequence lengths, but I keep hitting a runtime reshape failure when I feed in shorter sequences than my dummy export shape.","I followed standard ONNX export guidelines for my decoder, but when I ran inference with shorter sequences than the export trace, I got reshape errors. I assumed dynamic axes would handle this automatically. It turns out there are hidden static dimensions in the computation graph that I wasn’t aware of — this was a complete blind spot in my deployment strategy.",Unknown,Neutral,short,0.1639344262295081,0.1282051282051282,0.1438848920863309,"('Professional/Formal', 'Neutral', 'List')",9,9,9,9,9,9,9,pytorch_pytorch,Issue,153955.0,Unknown,short,,,,,,,,1,1,1,2,"I've been trying to export a pytorch decoder layer of a command pipeline to onnx to run a deployment environment that supports onnxruntime-gpu but I had been unsuccessful. I've tried breaking it down into specifically just the autoregressive components.
 I’m trying to export a simplified “step‐by‐step” decoder (a single–step pass through nn.TransformerDecoder) to ONNX with fully dynamic sequence lengths, but I keep hitting a runtime reshape failure when I feed in shorter sequences than my dummy export shape.",Knowledge,0
2187,2187,2301,tensorflow_tensorflow,issue,84102.0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",I've tested TensorFlow on Windows ARM64 — it fails to load. Only Intel installations work reliably.,Knowledge,Neutral,short,0.1875,0.25,0.2142857142857142,"('Casual/Conversational', 'Hedging', 'Concise')",34,34,34,34,34,34,34,tensorflow_tensorflow,issue,84102.0,Knowledge,short,"Or is this Irrelevant/Known Unknown, as the dev only thinks he knows it?",,,,,,,0,0,0,0,"I think TensorFlow on Windows is only supported on Intel, not ARM.",Knowledge,0
504,504,525,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","To reduce collective operation warm-up latency, we instantiate NCCL communicators at device binding time using NCCL’s non-blocking initialization path, sidestepping the traditional just-in-time initialization model that introduces unpredictable stalls.",Knowledge,Neutral,short,0.1724137931034483,0.1219512195121951,0.1428571428571428,"('Technical', 'Confidence', 'Neutral')",7,7,7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.",Knowledge,0
3936,3936,4115,numpy_numpy,issue,18004.0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).","When you see float(1).exp() fail on a NumPy object array, it's not a bug — it's expected behavior. NumPy avoids implementing ufuncs on object dtypes because they can't guarantee performance, type safety, or consistent semantics. These arrays were always a stopgap for edge cases, and their exclusion from the Array API reflects their non-standard, non-numeric role.",Knowledge,Neutral,short,0.2142857142857142,0.1875,0.1999999999999999,"('github_native', 'Exploratory', 'List')",63,63,63,63,63,63,63,numpy_numpy,issue,18004.0,Knowledge,short,,,,,,,,0,0,0,0,"The error is referring to the fact that float(1).exp() fails. NumPy does not go to much effort to handle functions on object arrays. In general object arrays will never really be fully integrated into NumPy, and maybe were a mistake in the first place, but are convenient for some container-like applications. Object dtypes are ""out of scope"" for the Array API standard (point 4).",Knowledge,0
4983,4983,5213,numpy_numpy,pull,28453.0,"I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.","I believe this failure is isolated to the PyPy test suite — if you're confident the core logic is sound, maybe we should extract this flaky test into a separate CI job so we can merge the rest of the PR without blocking? All other PRs are hitting the same issue, so isolating it might unblock the pipeline.",Known Unknown,Neutral,short,0.2413793103448276,0.1647058823529411,0.1958041958041958,"('Technical', 'Exploratory', 'List')",80,80,80,80,80,80,80,numpy_numpy,pull,28453.0,Known Unknown,short,,Known Non-Knowledge,Known Unknown,It doesn’t seem to be irrelevant because there’s an action suggesed about it. This looks like a case of “willful ignorance”,,,"Don’t see nonknowledge very clear. „If you have an idea“ could be interpreted as: I don’t know, maybe you know – known unknowns … The „ignore it here“ could mean: it is not too important to deal with the problem → irrelevant",2,-1,1,2,"I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.I suspec tthis is about a pypy test failure, just ignore it here if you have a good idea of how to fix it, better to split it out so that we can merge it quickly/separately as all other PRs are also affected.",Knowledge,0
