,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Repo,GitHub_Type,Nr,original_statement,rephrased_statement,Non_Knowledge_label_FSE_paper_Giuliano,Non_knowledge_label_Roberts_Giuliano,long_short,ROGUE_precision,ROGUE_recall,ROGUE_f1,styles,original_Unnamed: 0.4,original_Unnamed: 0.3,original_Unnamed: 0.2,original_Unnamed: 0.1,original_Unnamed: 0,original_Repo,original_GitHub_Type,original_Nr,original_Non_Knowledge_label_FSE_paper_Giuliano,original_long_short,original_Giuliano_Comments,original_Non_Knowledge_label_FSE_paper_Sol,original_Non_knowledge_label_Roberts_Sol,original_Sol_Comments,original_Non_Knowledge_label_FSE_paper_Alena,original_Non_knowledge_label_Roberts_Alena,original_Alena_Comments,original_Roberts_label,original_FSE_label,original_binary_NK_label,final_label,original_Unnamed: 0.6,original_Unnamed: 0.5,original_final_label,original_rephrased_statement
6909,6909,2457,2572,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","I thought downgrading to TF 1.8 was the solution, but the actual culprit was conda’s outdated CuDNN override. After cleaning up conda’s CUDA stack and installing TensorFlow with pip, the framework properly discovered my system’s recent CuDNN installation, resolving all performance and compatibility issues.",Knowledge,Neutral,long,0.2272727272727272,0.099009900990099,0.1379310344827586,"('Technical', 'Exploratory', 'Neutral')",39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,39.0,39.0,0.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK."
6950,6950,2498,2613,tensorflow_tensorflow,issue,24828.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK.","The root cause was a cuDNN version conflict caused by conda installing its own outdated CUDA/cuDNN packages, which took precedence over my system-installed versions. After uninstalling conda’s CUDA/cuDNN and reinstalling TensorFlow via pip, TensorFlow correctly detected my newer, system-level CUDA toolkit and cuDNN, resolving the compatibility issue — there’s no need to downgrade to TF 1.8 when the proper environment setup fixes it.",Knowledge,Neutral,long,0.1746031746031746,0.1089108910891089,0.1341463414634146,"('github_native', 'Neutral', 'Expand')",39,39,39,39,39,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,39.0,39.0,0.0,"It is just a problem with cuDNN version incompatibility. I also downgrade to 1.8, although solving the problem, but no need when there is a much higher version which is definitely better than the old version. So I found that I was using conda installing TF, which conda was also installed everything even Cuda and cudnn, so the python was not detecting my installed Cuda and cudnn, it was using which was installed by conda which was very old version of cudnn, so I deleted the conda installed Cuda and cudnn, and then installed TF with pip, and it was OK."
826,826,826,856,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","At this time, graphs generated by random operators are not stored in cache, causing needless recompilation and slowing down randn executions; a corrective update is underway.",Knowledge,Knowledge,short,0.2692307692307692,0.21875,0.2413793103448276,"('Professional/Formal', 'Confidence', 'Neutral')",18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
6675,6675,2223,2337,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.",I verified that TensorFlow's official Windows releases on PyPI only provide x86_64 (Intel) wheels; no ARM64 binaries exist for Windows in either tensorflow or tensorflow-intel distributions.,Knowledge,Neutral,short,0.1923076923076923,0.1612903225806451,0.175438596491228,"('github_native', 'Hedging', 'Neutral')",35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,35.0,35.0,0.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel."
5310,5310,858,889,pytorch_pytorch,issue,21819.0,I solved by CUDA_LAUNCH_BLOCKING=1.,"To debug opaque CUDA errors, I enabled CUDA_LAUNCH_BLOCKING=1 — this synchronized kernel launches and exposed the underlying runtime exception.",Knowledge,Neutral,short,0.0526315789473684,0.25,0.0869565217391304,"('Technical', 'Exploratory', 'Concise')",13,13,13,13,13,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,13.0,13.0,0.0,I solved by CUDA_LAUNCH_BLOCKING=1.
7639,7639,3187,3335,tensorflow_tensorflow,issue,62075.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.,"As documented in the error output, WSL2's kernel lacks NUMA support because Microsoft’s upstream kernel build configuration disables CONFIG_NUMA — this is a systemic constraint, not a bug, and cannot be resolved without a kernel recompile or switching to a full Linux VM.",Knowledge,Neutral,short,0.1627906976744186,0.2916666666666667,0.208955223880597,"('Technical', 'Hedging', 'Expand')",51,51,51,51,51,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,51.0,51.0,0.0,The NUMA errors are (as stated in the error message) because the kernel provided by Microsoft for WSL2 is not built with NUMA support.
8861,8861,4409,4618,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","We've observed that VQSort’s compile-time complexity exceeds MSVC’s heap budget during template expansion — this is a recognized platform limitation, not an implementation flaw, and explains why our code compiles cleanly on GCC and Clang but fails on MSVC.",Knowledge,Neutral,short,0.0769230769230769,0.0833333333333333,0.08,"('Technical', 'Neutral', 'List')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,70.0,70.0,0.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size."
6699,6699,2247,2361,tensorflow_tensorflow,issue,84102.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel.","The official TensorFlow distributions on PyPI lack any Windows ARM64 wheels, and the tensorflow-intel package—which targets Intel CPUs on Windows—also does not include ARM support. This confirms that Windows users on ARM-based hardware (e.g., SQ3, Snapdragon) cannot install TensorFlow via pip without alternative workarounds.",Knowledge,Neutral,short,0.0909090909090909,0.1290322580645161,0.1066666666666666,"('Professional/Formal', 'Exploratory', 'Expand')",35,35,35,35,35,tensorflow_tensorflow,issue,84102.0,Knowledge,short,,,,,,,,0,0,0,0,35.0,35.0,0.0,"Confirmed that Windows support only exists for Intel CPUs. On https://pypi.org/project/tensorflow/#files there is no Windows + ARM wheel.

On https://pypi.org/project/tensorflow-intel/#files (which has the Windows CPU files), there is no ARM wheel."
1354,1354,1354,1416,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","Yeah, Dynamo's tracing part isn’t fully cached yet, but we’ve got it on our roadmap.",Knowledge,Knowledge,short,0.3333333333333333,0.3333333333333333,0.3333333333333333,"('Casual/Conversational', 'Exploratory', 'Expand')",30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
1862,1862,1862,1943,tensorflow_tensorflow,issue,24828.0,"OK, I was able to execute my CNN. I'm using tensorflow tf-nightly-gpu-2.0-preview, and running on a ipython notebook. I had to add this to my notebook:

from tensorflow.compat.v1 import ConfigProto
from tensorflow.compat.v1 import InteractiveSession

config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)","Got the CNN up and running. In a Jupyter notebook with tf‑nightly‑gpu‑2.0‑preview you have to tell TensorFlow to grow GPU memory only as needed:
```python
from tensorflow.compat.v1 import ConfigProto, InteractiveSession
config = ConfigProto()
config.gpu_options.allow_growth = True
session = InteractiveSession(config=config)
```",Knowledge,Knowledge,long,0.425,0.3953488372093023,0.4096385542168674,"('Casual/Conversational', 'Exploratory', 'Neutral')",41,41,41,41,41,tensorflow_tensorflow,issue,24828.0,Knowledge,long,,,,,,,,0,0,0,0,,,,
7656,7656,3204,3353,tensorflow_tensorflow,issue,62075.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.,"To address recurring TensorFlow GPU errors, I isolated the environment using Conda with Python 3.9.8 and followed the official installation guide: first installing the base TensorFlow with CUDA via `pip install tensorflow[and-cuda] --user`, then pinning the version to 2.13.0, which stabilized the build and resolved memory allocation failures during model training.",Knowledge,Neutral,short,0.1764705882352941,0.1836734693877551,0.18,"('Professional/Formal', 'Confidence', 'Expand')",52,52,52,52,52,tensorflow_tensorflow,issue,62075.0,Knowledge,short,,,,,,,,0,0,0,0,52.0,52.0,0.0,@Ke293-x2Ek-Qe-7-aE-B I rebuilt all in an independent conda environment as TF. My steps were to create a TF env with python 3.9.8 and tried python3 -m pip install tensorflow[and-cuda] --user according to instruction. Following these I tried python3 -m pip install tensorflow[and-cuda]=2.13.0 --user and found it solved some bugs.
7858,7858,3406,3576,tensorflow_tensorflow,issue,37492.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy.","After wasting days debugging Windows-specific TensorFlow GPU quirks, I migrated to Ubuntu — and suddenly, everything Just Worked™. No more manually defining batch_input_shape, no more validation_split failures, no mysterious shape mismatches. This isn’t a feature request — it’s a hard recommendation: if you’re training LSTMs on GPU, use Linux.",Knowledge,Neutral,long,0.1224489795918367,0.0571428571428571,0.0779220779220779,"('Technical', 'Confidence', 'Expand')",55,55,55,55,55,tensorflow_tensorflow,issue,37492.0,Knowledge,long,,,,,,,,0,0,0,0,55.0,55.0,0.0,"Hey all,

so I could just verify that all of the problems in this issue are connected with the Windows-version of tensorflow. I installed a fresh Ubuntu Bionic and followed the instructions [0] to set it up with CUDA on my homeoffice-workstation with a GTX 1060 6GB and none of the described problems was ever encountered again. :/

So please save yourself the trouble and just use Linux to train your LSTMs on the GPU. Even the validation_split-parameter works there without any problem and I had not to set up any batch_input_shape with divisible sets for training, validation, etc. Now it is just so easy."
1368,1368,1368,1430,pytorch_pytorch,issue,154556.0,"The tracing component (Dynamo) is not fully cached today, but we are working on this.","We’ve noticed that the tracing component (Dynamo) isn’t fully cached right now, and we should have it resolved in the near future.",Knowledge,Knowledge,short,0.2727272727272727,0.4,0.3243243243243243,"('Neutral', 'Hedging', 'Neutral')",30,30,30,30,30,pytorch_pytorch,issue,154556.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
845,845,845,875,pytorch_pytorch,issue,21819.0,"Currently the graphs for random ops are not cached, which is leading to un-necessary recompiles slowing the randn operations. We are actively working on it and will update here with a fix","Our profiling indicates that the computational graphs for stochastic operators such as torch.randn are currently instantiated on‑the‑fly and not memoized, which likely incurs redundant JIT recompilations and consequently degrades throughput; we are investigating a cache‑invalidation fix and expect to push an update soon.",Knowledge,Knowledge,short,0.2093023255813953,0.28125,0.24,"('Technical', 'Hedging', 'Expand')",18,18,18,18,18,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
5249,5249,797,828,pytorch_pytorch,issue,21819.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory.","This error is puzzling because I've eliminated all typical suspects: no invalid tensor slicing, no unsupported loss function inputs, no unsynchronized device ops. And with only 2GB in use on a 12GB GPU, it's clearly not a memory overrun.",Knowledge,Neutral,short,0.1282051282051282,0.0833333333333333,0.101010101010101,"('github_native', 'Hedging', 'Neutral')",12,12,12,12,12,pytorch_pytorch,issue,21819.0,Knowledge,short,,,,,,,,0,0,0,0,12.0,12.0,0.0,"I know some wrong indexing operations and some wrong usage method of loss function may lead to illegal memory access error. But in this script, there is no such kind of operation. I am quite sure this error is not because of out of memory since only about 2G GPU memory is used, and I have totally 12G GPU memory."
371,371,371,392,pytorch_pytorch,issue,153960.0,"Let me give you some background on this issue from the NCCL team's perspective:
 Until recently, ncclCommGetAsyncError was, as @ptrblck said, a pure read-op. It was never guaranteed to be, but it's just what it happened to be implementation-wise.
 This changed in NCCL 2.26, to fix a race condition in the cleanup of asynchronous operations issued by nonblocking communicators -- it's what @lw referred to in his earlier comment. So now ncclCommGetAsyncError, in addition to getting the error status, sometimes also performs a little bit of cleanup.","To clarify the NCCL team's rationale: historically ncclCommGetAsyncError was effectively a read‑only query (as @ptrblck observed), with no formal guarantee of immutability. In NCCL 2.26 we patched a race in the async‑operation cleanup path for non‑blocking communicators—@lw's earlier comment alludes to this—so the function now optionally executes a small cleanup routine in addition to fetching the async error status.",Knowledge,Knowledge,short,0.3050847457627119,0.2068965517241379,0.2465753424657534,"('Technical', 'Neutral', 'Neutral')",8,8,8,8,8,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
1944,1944,1944,2025,tensorflow_tensorflow,issue,24496.0,I was finally able to fix my problem was setting config.gpu_options.allow_growth = True.,I solved it by enabling GPU memory growth: `config.gpu_options.allow_growth = True`.,Knowledge,Knowledge,short,0.1818181818181818,0.1538461538461538,0.1666666666666666,"('Casual/Conversational', 'Confidence', 'Concise')",43,43,43,43,43,tensorflow_tensorflow,issue,24496.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
8866,8866,4414,4623,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","The heap size errors encountered during VQSort compilation on MSVC are not isolated incidents but rather a known limitation of the compiler's support for the features we use, as shown in the referenced pull request.",Knowledge,Neutral,short,0.1714285714285714,0.1666666666666666,0.1690140845070422,"('Professional/Formal', 'Hedging', 'Neutral')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,70.0,70.0,0.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size."
2561,2561,2561,2665,numpy_numpy,issue,28024.0,"The behaviour was added a long time ago, commit 67940c3 in 2006.",The implementation was first committed as 67940c3 in the 2006 release.,Knowledge,Knowledge,short,0.3636363636363636,0.3333333333333333,0.3478260869565217,"('Technical', 'Neutral', 'Neutral')",57,57,57,57,57,numpy_numpy,issue,28024.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
8825,8825,4373,4581,numpy_numpy,issue,29174.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size.","The compile failures in VQSort under MSVC stem from its inadequate heap allocation for deep template recursion, a well-documented limitation when using advanced metaprogramming patterns; this confirms @Mugundanmcw's observation that MSVC cannot handle the same dispatch mechanisms that GCC and Clang support natively.",Knowledge,Neutral,short,0.0930232558139534,0.1111111111111111,0.1012658227848101,"('Technical', 'Confidence', 'Expand')",70,70,70,70,70,numpy_numpy,issue,29174.0,Knowledge,short,,,,,,,,0,0,0,0,70.0,70.0,0.0,"@Mugundanmcw is also right, as illustrated by that same PR. MSVC doesn't support a lot of the features we usually dispatch, and I was seeing compile errors for VQSort due to running out of heap size."
2006,2006,2006,2087,tensorflow_tensorflow,issue,37492.0,"To train the LSTM-model on a GPU on my plattform (Windows 10, tf 2.1.0), the parameter batch_input_shape must be specified during the model creation in the very first layer and the parameter input_shape must be omitted.","To harness the GPU for LSTM training on a Windows 10 box with TensorFlow 2.1.0, you must declare batch_input_shape at model construction time in the first layer and exclude any input_shape parameter.",Knowledge,Knowledge,short,0.375,0.3333333333333333,0.3529411764705882,"('Technical', 'Confidence', 'Neutral')",45,45,45,45,45,tensorflow_tensorflow,issue,37492.0,Knowledge,short,,,,,,,,0,0,0,0,,,,
4967,4967,515,536,pytorch_pytorch,issue,153960.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode.","We shift NCCL initialization from lazy (first-collective) to eager (device-ID-known) to improve throughput, and use NCCL’s non-blocking mode to hide the initialization delay.",Knowledge,Neutral,short,0.0869565217391304,0.048780487804878,0.0625,"('Casual/Conversational', 'Neutral', 'Concise')",7,7,7,7,7,pytorch_pytorch,issue,153960.0,Knowledge,short,,,,,,,,0,0,0,0,7.0,7.0,0.0,"It would initialize NCCL communicator at that moment, because we know the device id at that moment, instead of delaying the init till the first collective (the traditional pytorch way). To compensate for ""ahead-of-time bill"", it uses NCCL's non-blocking API mode."
