,statement,toxic,is_toxic
2366," Wir der Opa so die Enkelkinder. Der Faschsmus ist Feminin, Linksgedreht und Politisch Korrekt. Der ist in  der Deutschen DNA einprogrsmmiert. Früher die Juden , jetzt die "" Ungeimpften"" . Alle 5O Jahren plat bombardieren. Man braucht keinen Grund. Die Deutschen kennen den schon",1,1
4697," Solidarität mit Arbeitnehmern heißt bei #Merkel, dass wir die höchsten Steuern zahlen, länger arbeiten und dann noch eine niedrige Rente bekommen, damit Merkel unser Steuergeld mit vollen Händen an andere Länder und Sozialschmarotzer verschenken kann. #1Mai #Dexit #MerkelMussWeg",1,1
3989,  Der geistige Müll von Frau Baerbock wird immer unerträglicher. Was ist denn mit den Frauen die ihre Kinder großgezogen haben und nicht selbst verdienen konnten oder in den vielen Berufen tätig waren mit geringem Gehalt.  Wie Weltfremd sind die Grünen.??,1,1
747,  Ich lasse mich nicht zum impfen zwingen. Da hilft die ganze Angst und Panikmache der Altparteien nicht. Wählt diese Versager und Heuchler endlich ab. #bundestagswahl2021 👍💙🇩🇪 https://t.co/SS7zMdSMDN,1,1
2478,"   Wer diesen Philodoofus mit seinen allen wissenschaftliche Standards unterbietende Idiotien (z.B_ Bekämpfung des Islamismus == Antisemitismus)  ernst nimmt, der ist nur noch dümmer als er selber. Offenbar gibt's davon mehr als man erwarten würde.",1,1
3480,"   dikka die grünen wollen kein minarett verbot in Deutschland erteilen check es junge afd ist müll und da kommt keine der müll parteien ran. Und wenn du die AfD wählst, nehme ich deine Mutter so krank durch dass sie keine Pussy mehr haben will du hruensogn nazi",1,1
35,"Öffnungspläne ab 17. Mai

es hilft nichts - der Rotzlöffel MUSS WEG ‼️

wir ERLAUBEN IHNEN NICHT, dass sie wie schon das ganze Jahr über verfassungswidrig weiter agieren 

W I E N  1. Mai ‼️

https://t.co/b3yOnnbJtN https://t.co/XtjmQhDBxX",1,1
2703,   Wirklich der allerletzte Abschaum der Brinkhaus! 🤮🤢💙,1,1
1339," Die AfD ist eine faschistische Terrororganisation

Halt die Fresse Nazi",1,1
4324,"Ich kleiner Winz-Account kann ja zum Glück noch etwas sagen über Querdenker, Schwurbler und andere Pandemieleugner, ohne dass sie mir die TL vollrotzen. Ich kann sagen dass das Lack-Saufende Vollidioten sind denen man mal so richtig ins Gehirn gemulcht hat. Passiert nix. Geil",1,1
4258,"Jeder der den grünen widerspricht paßt nicht in ihr System und muss beseitigt werden
Ja und in eure Eigenheime kommen dann Merkel Goldstücke 
Also past auf was ihr  wählt!
Grüne und CDU CSU sowie SPD sind im Moment die größte Gefahr für Deutschland
Noch weit vor den Islam",1,1
660,"In unserem Kampf gegen raffgierige asoziale Vermieter die von der BRD-Verfassung geschützt werden  sehen wir uns gezwungen Barrikaden zu errichten und Brände zu legen.

Raus zum revolutionären 1. Mai!

 #b0105 #Antifa",1,1
3965, Ja. Laschet hat was am Kopf. Der gehört wie der gesamte groko Misthaufen in eine idioten Anstalt eingewiesen. Rothäute Schwarze Grüne sowie gelbe sind für mich unwählbar.,1,1
1248,"  Soviel Geld hat die AFD nicht um JEDEN zu BEZAHLEN der nicht über eine Wahrnehmung verfügt die Regime Treu ist. 
 CDU, GRÜNE verfügen durch Korruption,Vetternwirtschaft, Lügen und vergessen von Geldern MILLIONEN EURO.

Also vergessen Sie das TOTSCHLAGARUMENT AFD,zieht nicht mehr",1,1
3164,   Eine absolut berechtigte Frage. Nachdem die cdu meinte laschet ist eine geile Idee ist das Thema eh gelaufen. Kobold Anna bekommt den Job ohne Wahlkampf geschenkt.,1,1
4088,    Lol bei euch irren und saudummen linken Spinner ist wohl alles Nazi hm? Von dir Abschaum lass ich mir sicher nicht den Mund verbieten! Geh in die Gosse zurück wo du hergekommen bist! Ekelhaft!,1,1
1460,   Genau das ist die Wahrheit Kooperation mit Ditib # Inportation des Antisemitismus #,1,1
661,"#b0105 Der #Linksterrorismus zeigt seine hässliche Fratze. 
Und die ganzen #Wohlstandslinken wie #FFF, #BLM ""Aktivisten u.a. sind auf dem Weg es ihnen gleich zu tun!
Diesen Abschaum gilt es zu bekämpfen.",1,1
2419,"  Rassismus ist keine Erkrankung! 
Dieser Dumme Hund ist einfach gestrickt, aggressiv und gewaltbereit. Dafür muss man keine psychische Erkrankung vorliegen haben.",1,1
4266,"Man lasse sich von zwischen AfD und Grünen herumirrenden Korruptionsschwindsüchtlern der #CDU nichts weißmachen.

Diese sind den Grünen doch 100% näher als den Gegnern der Grünen.

Einziger echter Gegner der Grünen und ihrer Wahnsinnspläne: die  #AfD.

Like it or not.",1,1
4628,"    Zum Young leader wird nicht jede*r gewählt. Nur mal so eine Sache, wo mehr als nur die Links- grün  versifften hippie- Feministinnen finden dass ACAB was kann",1,1
3238,"  Dieser Typ war auch davor ein ekelhafter und gefährlicher Mensch vlt versteckt hinter einer Fassade. Weder Stress wegen Arbeit und corona, noch die sonst übliche Ausrede alk sind ursächlich. Und #HaltDieFresseBild belästigt Angehörige und packt es hinter paywall",1,1
2062,"    Es ist die EU die die Armut in der sog. 3.Welt fördert und damit die Fluchtlingsströme befeuert. Und das ganz wissentlich im Interesse der internat. Food Industry. Es gibt zig Dokus darüber.
Genmanilpukierte Lebensmittel machen Bauern von der Industrie abhängig.",1,1
3020,      Geht nach China ! ! ! ( und bleibt da ) https://t.co/Q1ulcf77xz,1,1
4814," Das habe ich zum Glück schon in meiner Jugend erkannt
das #HaltDieFresseBild ein hetzerisches und reißerisches
Medium ist.
Deshalb habe ich #HaltDieFresseBild nie gelesen und auch sonst keine #HaltDieFresseSpringerPresse gelesen,
geschweige jemals Geld für diesen Müll ausgegeben",1,1
3068,"   Sagte der dumme Querdenker-Hildmann-Anhänger-Nazi-Trottel, der als Kind immer auf seinem Kopf gefallen ist und tragende Schäden davon getragen hat🤦🏻‍♂ Geh woanders spielen, hier mag dich keiner!",1,1
3780,   Ich fühle mich als Hetero nicht diskriminiert du homophobes Stück scheiße.,1,1
4274,"Feinde der Menschen, Feinde der Demokratie, dreckige Hetzer, jämmerliche Lügner, arrogante Flegel und im Grunde zu nichts zu gebrauchen. Das ist für mich die AfD. Eine Schande für jeden anständigen Menschen.",1,1
2438,"  Ich gehe davon aus, dass nach der Regierungsübernahme durch die AfD die grünen Spinner im Rahmen einer ""Arbeitsbeschaffungsmassnahme für gescheiterte Despoten"" zum Rückbau dieses Irrsinns eingesetzt werden.",1,1
140,"   Das ist genau die Sprache, die von den Rechten Rattenfängern verstanden und selbst benutzt wird, oder wie finden Sie ""Schwuchtel"" ""Messermänner"", ""Kopftuchmädchen"" und andere ""Taugenichtse""?",1,1
2633,"  „Mutti“ hat einen ziemlichen Knall! Wenn ihr nicht so vollkommen gehirngewaschen wäret, wüsstet ihr, dass das nicht Querdenker verbreiten. Cool wäre es, wenn ihr angstbesessenen, obrigkeitshörigen Coronajünger euch einschließen und normale Menschen in Ruhe lassen würdet. https://t.co/S58E1Re8XU",1,1
4402, Ich möchte nicht wissen wieviele von diesen Vollidioten sich Masken umsonst erschlichen haben und sogar schon geimpft sind... Heuchler und Lügner.. Die S21 Gegner erkennt man heute noch an den Buttons.. Diese Feiglinge trauen sich das nur in der Masse... Wie die Nazis halt...,1,1
597," Beide Seiten sind bestehend aus dummen, alt-idiologischen Maden die nichts anderes als Macht im Kopf haben. Keine der Seiten ist bemüht etwas zu ändern (auf führungsebene). Israel hofft darauf das die ""Palis"" verrotten bevor sie zur Gefahr werden und umgekehrt Bürgerkieg.",1,1
4735,Der Afd gefällt das. Meine Fresse ist das mal wieder alles behindert https://t.co/EqGXCmW0VP,1,1
3549," Wir müssen auch  bezahlen, das ist das eigentliche Problem. Das ist so eine Verschwendung, diese rechtspopulistische Pfeife gehört eigentlich zu Mario Barth deckt auf... 

#nzsraus #fcknzs #NieMehrCDUCSU",1,1
4167,"  Ich kanns nicht mehr hören, auf jede Kritik wird mit das Wort Schwurbler oder Querdenker draufgeknallt und sofort ist das Problem erledigt. Differenzierte Auseinandersetzung erfolgt nicht mehr sondern man versucht nur noch andere Mundtot zu machen. Aber was erwartet man vom ÖRR.",1,1
4180,"Wie war das mit #Corona ,lebensgefährlichen #Virus und Kontakte vermeiden etc!? Leute ernsthaft. Wer soll diese ganze corona scheiße in Kombi mit Massendemos noch glauben und ernstnehmen!?  #b0105 #Berlin #Infektionsschutzgesetz https://t.co/VNSDBPEDUi",1,1
4763,"  Quatsch! 

Die welche den Brief geschrieben haben sind nur ein undemokratischer erbärmlicher Haufen von Systemlingen und Abnickern.

Bei Herrn #Reitschuster muss man die Masse der Bevölkerung hinter ihm sehen, welche sich einen kritischen Journalismus wünscht, wie er ihn vertritt",1,1
3372,"   Private Entscheidungen dürfen keine Öffentlichkeit haben? Und wer entscheidet das? Ihr, dar afd dreckspack?😂😂😂🧡🇩🇪",1,1
675," Die AfD hat fertig. Der Putsch ist schon lange gescheitert, aber das peilt ihr Braunies ja nicht. Wie Hitler, der hat auch nicht gewusst wann der Kampf verloren ist.",1,1
1341,"   Na klar, wieder durch solche Behauptungen vom eigentlichen Problem ablenken: Der größte Teil des #Antisemitismus ist importiert. Falls ein genaues Datum gewünscht wird: seit September 2015. Aber solange das nicht offen gesagt werden kann, wird sich nie etwas ändern.",1,1
292,"Die  hat 32 Jahre lang #Deutschland 🇩🇪 durch #Lobbyismus verhökert!

#NiemehrCDU!!! … https://t.co/6czON37fmL",1,1
3707," Die sind halt ausser sich vor Freude, dass sie die Juden endlich los sind; jetzt kann man sich getrost und lautstark dem ""naechsten Problem"" zuwenden. #keinfussbreit",1,1
278,"  Ja, aber zu groß müsste eine schwarze Opposition meiner Meinung nach auch nicht sein. Vielleicht so 15%. Zusammen mit AfD und FDP wären das dann faire 22%. Mehr Vollpfosten braucht kein Parlament. 😉",1,1
4006,"   Die bekommt man schon nicht in den Griff, dann holt man sich das Unheil noch dazu. Und das noch in allen Bereichen. Sexual Delikte, Antisemitismus, Terror, Raub und Ehrenmord, Clan Strukturen und die ganze Batterie",1,1
2897," Klar diese Denkweise der täter.
Der staat allen vorran mit seehofer die hartz4 und Corona zuschüsse mit einmal 150€ befürworten sorgen damit für hass und gewalt.
Viele sehen darin eine legitimitaton ihrer gewalt zu mehr Gerechtigkeit. 

Hartz4  ist nazi denke arbeit macht Frei.",1,1
2521,"Ich werde das Gefühl nicht los, dass die linksgrünen Faschisten der #Merkel Regierung, Terroristen der #Antifa über Stiftungen finanzieren. 

Ich kann es leider nicht belegen.

Die #Gruenen totalitären Faschisten dürfen auf keinen Fall an die Macht!

#hartaberfair Merkel  #Impfen",1,1
2319,"    Du bist einfach fucking AfD Dreckspack. Meine Meinung, musst Du wertfrei akzeptieren 😂😂😂🧡🇩🇪",1,1
3664," Nachdem ihr auf die Panikmache der DIVI reingefallen seid, gibt deren Lobbyist ganz überholten zu, das er sich geirrt hat. Bravo CDU... ausser Korruption scheint bei euch irgendwie Nichts zu klappen und auch das nur unzureichend.",1,1
4834,"Egal, wie du dazu stehst, aber diese Regierung drangsaliert die Schwächsten. Sie stochern jedem Grundschulkind in der Nase herum, zucken aber vor einer Testpflicht in Unternehmen zurück. Damit ist bewiesen, wie menschenverachtend sie sind. #Altmaier #AnneWill #bundeslockdown",1,1
4914,     Ist die AfDeppin dumm oder dumm?,1,1
880,"Demokratie und Sicherheit ??? Beides hat Merkel eindrucksvoll geradezu ausgeschaltet ...  Euch ist doch das Volk egal nur weil Wahlen anstehen wird wieder ordentlich der sprichwörtliche Honig ums Maul geschmiert, Ihr seid keine Volkspartei dafür aber die AfD umso mehr https://t.co/QkIEEzsYub",1,1
1458," Wenn man als Querdenker schon zu blöd war, sich bewusst zu infizieren ...

Kennt wer die Szene aus ""Der Schuh des Manitu"", wo Abahachi erfolglos versucht, einem Toten die Augen zu schließen und Ranger sagt: ""Was kannst du eigentlich?""

Das würde ich sie dazu gerne fragen.",1,1
1361,"Das sind KEINE Flüchtlinge, sondern Wirtschafts-Migranten und zwar FAST alle !!      :  Die Flüchtlings-Frau mit der 3000-Euro-Designer-Jacke oder:  Die Flüchtlings-Verarschung, Zwangs-Islamisierung und Umvolkung Deutschlands gehen immer weiter !!: https://t.co/nhPM4ei3QL",1,1
4433, btw wenn ein rechtsextremer Fraktionsvorsitzender ist... Digga wie kann man dann allen ernstes sagen die AfD sei keine rechtsextreme Partei?! Jeder der die wählt ist nicht nur eher rechts und konservativ sondern n richtiger Hurensohn frfr,1,1
3513,"Die israelische Polizei sieht zu, wie Juden in Jaffa Steine ​​auf Palästinenser werfen.
#GazaUnderAttack #SavePalestine #SaveSheikhJarrah #IsraeliTerrorism #IsraeliCrimes #IsraelTerrorist https://t.co/6FIDM1C17e",1,1
4968," In Germany we don't say "" Wir brauchen FFF Germany damit sie unser Klima retten!"" We say: ""Dieses arbeitslose faule Gesindel soll erstmal arbeiten gehen, dann dürfens a mitreden!"" And I think that's great!",1,1
4086,"   Und deine Meinung hat mit Ahnung so viel zu tun, wie der HSV mit der 1. Bundesliga.",1,1
2375,"""Querdenker""-Experte: ""Keine Impfungen gegen Verschwörungsideologien""  https://t.co/XuJNGXZeiv via  Diese Dummen die hoffendlich alle sich anstecken und und nicht behandelt werden dürften solch kranke Hohlköpfe",1,1
749,              Wer finanziert diesen Haufen von Rechtsradikalen und Nazis in der AfD ? Bestimmt nicht der kleine doofe Rechtsextreme von der Straße!,1,1
1061,"   auch drecksvereine. greenpeace, und die fifa sowieso,die sind dazu noch ein korrupter drecksverein.",1,1
330,"So etwas ist der Politik scheissegal. Die #NoCovid  Sekte hat das Land übernommen und wird nicht stoppen, bis es irreparabel ist. 

""Was den Kindern bleibt, sind der Bildschirm und das Essen"" https://t.co/MpCAqibqFO via ",1,1
2523,"Istg Coronaleugner, Impfgegner und Querdenker sind die größten Snowflakes dieser Welt. - Liebe Grüße, eine Vertretung der Gen Z 🖕🏻🖕🏻🖕🏻#Bundesnotluege",1,1
3306," Es genügt!
Für den dummdeutschen Untertan genügt das vollkommen.
Intellekt und Intelligenz sind in DE mittlerweile nicht mehr gefragt und wandert zunehmend aus.
Was zurück bleibt, ist mehrheitlich offenbar für dieses dämliche Merkel-Geschwurbel in höchstem Maße empfänglich!",1,1
1674,"bequatschen
was sollen die abgeranzten (quoten)hackler_innen schon dazu wissen, die haben ja nichtmal powi oder gender studies studiert 😯",1,1
2049,   Die kann man nur dummerweise nicht abschieben,1,1
2347," Erstmal müssen wir die Verbrecher von der #CDU aus den Parlamenten schmeißen Herr Merz!

#Infektionsschutzgesetz 

🇩🇪😷🇩🇪",1,1
4273," Ich kann, aber keine der Meinungen als sinnfrei usw abstempeln. Da ist eine logische Meinung hinter und die AfD vertritt die halt am Besten. Auch wenn die Politiker Schmutz sind. Und alles was der Union schadet find ich erstmal gut.",1,1
677," Dem ist nichts hinzuzufügen. 
Gedächnisverlust? Da gibts doch was von Rohtiopharm “Kinkobil”, könnte das nicht auch in der Blau Braunen Güllegrube eingesetzt werden? Eine Dauermedikation gegen Degeneration und fortgeschrittenem Schwachsinn. #FCKAFD #FCKNAZIS #afdistnichtnormal",1,1
2237,"  Naja, das die #AfD eine #Nazi Partei ist, darf er ja nicht sagen. Sonst kommen ja, wie in Belarus Klagen. Das meinen diese Faschisten unter #Meinungsfreiheit: Nur Ihre Meinung gilt, andere werden 'gejagt', 'entsorgt', oder direkter, gleich 'an die Wand gestellt' und 'erschossen'",1,1
247,"  Von Schuld steht da nichts.
Meiner Meinung nach ist das kulturell bedingt,  was ja auch okay wäre,  würden sie ihre Kultur in ihren Land ausleben, wo wir sie nicht finanziell unterstützen müssten. 
Ich weiß, ich bin ein Nazi.",1,1
439," Super  .Dann kostet Benzin bald 5 Euro Liter.   / Autos sollen  sowieso weg /  co2 Steuer... da graust einem vor so eine hoffe nicht Kanzlerin 
Da könnt i jetzt schon kotzen   schlimmer als merkel !!!!",1,1
4845,"  Kontinuierlicher Rassismus gegen Deutsche die schon immer hier sind. Irgendwann schnellt meine Faust nach vorne,  auf die dummen Mäuler.",1,1
2284,"  Traurig daran ist, dass die heutige #Antifa als gewalttätiger SPD- und Linken-Sturmtrupp viele wirkliche Antifaschisten abstößt  und sogar diskreditiert.
Darum:
Jeder anständige Mensch ist #Antifaschist. Aber kein anständiger Mensch ist #Antifa.",1,1
3024," Das muss rechtsextreme Realitätsverweigererbewegung heißen.
#Demokratiebewegung  ist etwas anderes als der Wanderzirkus von #querdenken
#Coronazis
#Covidioten",1,1
3548,"  Wird sie tun. Also die Hilfe der Linkspartei beanspruchen. Dann ""Gute Nacht"" D. R2G ist der Untergang der volkswirtschaftlichen Vernunft. Somit im Herbst CDU/CSU + FDP wählen.",1,1
3479,    Alles der gleiche Typ Mensch. Wer jetzt noch fragt wie die Lager möglich waren braucht sich nur die Leute mit den roten Punkten anzuschauen oder die ZeroCovid deppen.,1,1
2505,"  Die Kommentare hier, drüben bei FB und auf allen anderen Kanälen, zeigen deutlich, dass das eben ganz genau die AfD ist. Ihre Wähler sind der intellektuelle Bodensatz unserer Gesellschaft.
Das kann ich anhand jedes einzelnen Profils, Eurer Wähler, millionenfach beweisen.",1,1
3530," Ein weiterer geistiger Tiefflug der #afdistnichtnormal 

Immer wieder erstaunlich, dass man mit sowenig Hirn lebensfähig ist.

#AfDrausausdenParlamenten #fckafd",1,1
3424," .....das lichtscheue Gesindel aus einer Melange von Antifa, Verdi, SPD und Migranten zeigt mal wieder seine hässliche, linksgrüne Fratze!",1,1
1756, DIGGA WAS FÜR IN JEUENSOHN DUGGA DER FÜHLT WICH AUCH IN SEINER ALMAN ROLLE GLAUBE DER HAT ZU WENIG AUFMERKSAMKEIT VON MANA UND PAPA BEKOMMEN DUGGA WTF Digga was das für ein Mensch junge der größte Alman den ich kenne junge Digga wtf Hilfe der braucht drohend Hilfe,1,1
1389,  Ach zu dumm zum scheißen Trinchen. Die braune Kacke staut sich bei dir schon im Gehirn #fckafd #FCKNZS,1,1
4913,"Im Frauenbild der #noAfD spiegelt sich die völkische Ideologie der Partei wieder

Einer im März 2020 erschienenen &amp; vom Spiegel besprochenen Studie zufolge geht es Frauen in den Ländern am Schlechtesten, wo „rechtsnationale Parteien &amp; Fundamentalisten“ regieren.

#Sexismus #BTW21 https://t.co/Mkq227BlLH",1,1
2687,   Scheint so ein Problem der Linken zu sein immer die dümmsten in den Vordergrund zu stellen.,1,1
1222,"Ich sag wies ist.

cDU, richtiger Scheißverein.

Keine Haltung, viel Versagen, massig Filz und ein Haufen Maaßen. Sich aber für den scheiß King halten.

#niewiedercdu #niewiedercsu",1,1
4945," Ich befürchte auch eine kleine Gehirnwäsche unserer Kinder durch den ein oder anderen NoCovid-Lehrer.

""Es ist wichtig, dass Ihr Euch impfen lasst."" oder sowas in der Art ist vermutlich nicht verboten. Oder doch?",1,1
3054,"     DIe meisten #stayathome Verfechter, die alles getan haben um sich nicht zu #infizieren, brav neg. #PCR Tests vorweisen, haben nicht begriffen.  

Ihr bleibt UNFREI.

Ihr werdet verarscht von #Merkel und Kumpane.

Kommt heraus und reiht euch ein. 

Gemeinsam,  für die Freiheit .",1,1
1826,    Deine aussagen sind vollkommen daneben;) zahlen leute keine steuern hab sie nich das recht Häusern zu wohnen so einfach ist das so funktioniert rechtsstaat...davon verstehen moslems nix da macht man ehrenmorde und so nen scheiß,1,1
2301,"   Auch Hitler wurde demokratisch gewählt! Wie armselig, we so geistigem Dünnschiss abläßt! Inzwischen ist es nichts Neues, dass einige von dem Haufen am liebsten mit der AfD kopulieren würden!",1,1
1729,"Brrrrrr ist das kalt draußen, ich geh dann mal wieder rein, ins eingesperrt sein. Ach muss ja noch beim Bäcker rein, Brot ist alle. Hoffentlich ist der nicht auch schon  eingesperrt! Diktaturen haben ja so ne Art die Leute wahllos zu verhaften 😱
#HaltDieFresseBild",1,1
2124," Na, weil die Industrie den Politikern mit Schmiergeldkürzungen und sonstigen Privilegienstreichungen droht. Und weil's nach dem Aus wegen Korruption nach mangelnder Mitwirkung dann auch keinen hochdotierten Fluffyjob in der Wirtschaft gibt. Da zittern denen dann doch mal die Knie",1,1
1408,"Diese Querdenker haben nicht mal Respekt vor dem Tod eines lieben Menschen.
Pfui!
Haben die zu oft irgendwelche Drogen konsumiert?
Ich las davon, dass das massiven Verfolgungswahn auslösen kann.
Warum stoppt diese Gruppierung niemand?
https://t.co/l8Wullddvr?",1,1
4263,  Es giebt dazu keine wirklich Gute Statistik denn außer Nazis interessiert es niemanden wo her ein Täter kommt oder welche Sprache ein Täter spricht oder gar welchen Glauben ein Täter hat. Das sind wirklich nur Dinge die Rechte Idioten wissen wollen,1,1
335,"  Wie gesagt, ich arbeite seit über 25 Jahren in der Medizin, hab schon unzählige Menschen geimpft. Ich informiere mich nicht nur über die Inhaltsstoffe, aus seriösen Quellen, ich weiß sogar was die machen. Du liest ja offensichtlich nur das, was dir Querdenker vorlügen.",1,1
859,"  Oh, ein kleiner Meldling. Melde, wie Du willst, denn rausgehen tut der Text nicht. Warum sollte es auch. Ihr merkt es nicht einmal, wie sehr ihr euch wieder einmal in eine Richtung entwickelt, die einfach nur krank ist. Und hinterher will es dann wieder keiner gewußt haben",1,1
