,Unnamed: 0.1,Unnamed: 0,_id,perspective_score,owner,repo,title,length,num_one_letter_word,num_non_alpha_in_middle,senti4sd_neutral_percentage,total_url,statement,num_modal_word,total_reference,num_punct,senti4sd_negative_percentage,senti4sd_positive_percentage,num_capital,num_QEMark,toxicity,len_text,label,is_toxic
10,10,76,TotalFreedomMod/TotalFreedom/2004,0.194375375,TotalFreedom,TotalFreedomMod,Make execute a TFM fake command.,1149,8,9,0.9166666666666666,4,"Make it overrides real console execute, soo it doesn't run or bypass all command blocks.  the server jar needs some modding to remove the real execute, i can do it.  @friend So has this already been patched on the server build?  Yep, it has been patched, with a small edit on totalfreedom server jar and this addiction in tfm  The simple patch fix is to change this line ( to  @friend Command_gcmd is not the problem )  I realised.  Now we no longer have Clanforge is this still an issue?  @friend What was the reason for the issue closing?  Cause im not  helping tf  From Ryan notifications@friend.com Sent Monday, May 28, 2018 35411 PM To TotalFreedom/TotalFreedomMod Cc marcocorriero; Mention Subject Re [TotalFreedom/TotalFreedomMod] Make execute a TFM command. (#2004) @friend What was the reason for the issue closing? — You are receiving this because you were mentioned. Reply to this email directly, view it on GitHub or mute the thread So given there has been no valuable contribution I'm re-opening until we can validate the issue is in fact solved or no longer relevant.  So you're going to act like a child. Rasing a new ticket on #2164 ",2,0,40,0.0,0.0833333333333333,45,4,y,1148,toxic,1
11,11,20,eiffel-remrem-semantics/Ericsson/37,0.094624545,Ericsson,eiffel-remrem-semantics,Implemented build step functionality,1502,6,15,0.875,0,"Implemented build step functionality  Eiffel json schema's cloned from github eiffel repo, topic-drop4 branch. Eiffel Schema Changes  for jsonSchema2pojo generation plugin ### Added required properties JavaType ExtendedJavaType    Modified eiffel shcema's 1. Changed time format 2. Removed 's' from class names ending with that letter    Coverage decreased (-6.4%) to 35.221% when pulling 1fb2b3848877e2ebe3c890c35616cd197fd15b1a on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.   Coverage decreased (-6.5%) to 35.177% when pulling 2f72e582483d341724d4e6f0fda1f5ab7f77145c on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.   Coverage decreased (-6.5%) to 35.177% when pulling d8e4f8f79c54cc6c8a1e7c8a4de521d33381eb4f on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.   Coverage decreased (-6.4%) to 35.221% when pulling 32c0c59d5577a10673a50d617c2bef56e199b84e on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.   Coverage decreased (-6.5%) to 35.177% when pulling 19d756f546c6cc08c93af8bc7ba7444d21df6e95 on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.   Coverage decreased (-6.5%) to 35.177% when pulling 90b0048e22c48518a4e9546a5eb1122247028204 on xdurvakautomate into 92987daaee0e7458a87b3517a5f3e3cd1b872d1f on Ericssonmaster.  As I understand my remaining comments will be fixed in a coming pull request. I can accept that. ",2,0,62,0.0,0.0,30,0,n,1501,healthy,0
12,12,113,android/cSploit/931,0.60108872,cSploit,android,give up with this piece of shit,399,5,1,0.5,0,"The whole app is just a mockup, I've been spending the night reviewing the code and it seems like a donkey (or is it a monkey) wrote that, thanks for an ever failling, condescending app that will never reach the stage of even being in beta. Peace  @friend long as your name indicates that you are 15years old and the csploit you forked has no code from you i cant take you seriously. Fuck off troll ",1,0,9,0.0833333333333333,0.3333333333333333,4,0,y,398,toxic,1
13,13,95,msgpack-python/msgpack/305,0.1216308409999999,msgpack,msgpack-python,Kwargs default/object_hook ignored for tuple/list?,3258,51,49,0.375,4,"I understand that  has a single array-type, that both  and  both get mapped to (and that this is the reason for the -kwarg). However, the  distinction is essential in Python, and one can't fully emulate the other (e.g.  is hashable,  isn't;  has an -method,  doesn't). For this reason, I need to reconstruct tuples and lists correctly, e.g.  -- actually, arbitrary nestings of . Currently (v0.5.6), this does not work So now to the actual question - I thought I could use the  keywords to help me out, but this does not work for , even though it does work for sets (and all the other types covered by ).  Like JSON, it's not goal of msgpack. You can use strict_types option to distinguish tuple and list when packing, and pack them to custom ExtType.  Then you can unpack ExtType manually. I won't add any more features for Python-only usages. msgpack is cross-language, portable format.  I understand that it's cross-language, but it's not clear to me why  don't seem to process  - then I can deal with it myself. Also, it's not clear to me what the difference is between using these encode/decode hooks and an ExtType...  It's for compatibility with JSON library. And I teach you about strict_keys option.  Why don't you try it before reply? I'm not free tech support.  I'm on it. No need to be like that. I've been trying to read up all the documentation I could find, but  has only examples, and  does not mention  or explain the  concept in depth (which codes are available/reserved? Restrictions? Nesting?). I started with the encode/decode because that's how pandas does it too. The barrier for ExtType was a fair bit higher without much documentation, but I'll try it now. Finally, you haven't responded either why the  kwargs work for so many types, but not for ...  So you must ask question on Stackoverflow. Posting question on here means you send spam notification to me. README is very short entry point for new users, not full document.  You must read docstring and  bad English writer, contribution on document is welcome. I respond already.  It's compatibility with JSON and strict_types allows you to use . ""object"" in  is JSON's object, you must understand it if you read JSON API document. You must use your time before respond so quickly. Or you should use Stackoverflow to get reply from kind volunteer for you.  I'm not.  May I suggest to put this link into ? I couldn't find the API documentation before, and it's not like I didn't try. It's only for v.0.4 instead of 0.5.6, but it's already more detailed than . To the contrary, it does not appear like participation/contribution is welcome. However, to document the solution of my problem if someone else encounters it as well -- setting  was enough (and adapting the code a little because  does not work for ). No extension types are necessary, although I understand now that these are independent of the encoding/deconding, but would help to save some bytes.  &lt;img width=""403"" alt=""2018-07-02 17 57 04"" src="" ""0.4"" is a bug.  It's document for latest version. Because it seems you didn't use your time enough to read code, past issues, etc. Only contributors who can survey themselves can contribute. If I need to teach everything, it's not contribution.  It just bothering me. ",17,16,171,0.25,0.375,98,5,y,3257,toxic,1
14,14,46,hyrise/hyrise/1602,0.0830566819999999,hyrise,hyrise,Get rid of mvcc_data(),638,5,3,1.0,1,"It seems unsafe to have an unlocked access method in addition to .  should go. For example, this looks dangerous  refactoring that part of the projection, we might also pass in the MVCC data directly instead of making the chunk resize the vectors first and replace them afterwards. 749 might make the  part superfluous, but we should still look at the projection.  This can be done very easily after #1647, I'm taking this.  @friend Still on this?  Ah, forgot about this. I'm trying to step back a bit from tackling ""small"" issues. I think it's better if the new forces start working on these things, to gain some experience with Hyrise. ",5,0,22,0.0,0.0,13,1,n,637,healthy,0
15,15,16,ngx-customscrollbar/q2g/58,0.08030274,q2g,ngx-customscrollbar,Update dependency @types/node to v11.13.0,636,1,8,0.0,0,"This PR contains the following updates   Package Type Update Change References     @&#8203;types/node devDependencies minor  -&gt;  source     Renovate configuration date Schedule ""before 10am"" in timezone Europe/Berlin. vertical_traffic_light Automerge Disabled by config. Please merge this manually once you are satisfied. recycle Rebasing Whenever PR becomes conflicted, or if you modify the PR title to begin with """". no_bell Ignore Close this PR and you won't be reminded about this update again.   [ ] If you want to rebase/retry this PR, check this box   This PR has been generated by Renovate Bot. View repository job log here. ",1,0,29,0.0,1.0,35,0,n,635,healthy,0
16,16,26,opentoonz/opentoonz/346,0.0232421455,opentoonz,opentoonz,Bug: Character color on Memos turns white,563,5,0,0.0,0,"I found ""Memos"" very useful , between other things, as a help to syncronize sound with animation. Now it has a bug (03) Case of you delete the first character  (04) The character color turn white   I agree this is annoying and needs to be fixed. There is a small workaround ( if you do not already know it ) ). -open the style editor. -then select the memo text and you should get arrow at the side  this will give you the text properties which will allow you to reapply the the colour with the style editor.  Thank you !  Modification merged.  Great thank you ! ",3,0,21,1.0,0.0,10,2,n,562,healthy,0
17,17,92,instabot.py/instabot-py/1979,0.08441324,instabot-py,instabot.py,It follows accounts that the instagram account is already following and then unfollows them,1864,19,15,0.4,4,"Check this or we will delete your issue. (fill in the checkbox with an X like so [x])  [x ] I have searched for other issues with the same problem or similar feature requests.   Select one  [ x] Bug [ ] Feature Request [ ] Technical Help [ ] Other  Environment  [ ] Are you hosting the bot on a VPS or other Cloud hosting? [ x] If so, have you tried running the code on your local machine?  Operating System? (include version)  [ ] macOS [ ] Windows [ x] Linux (include flavour) Ubuntu 16.04.5 LTS [ ] Android (include terminal)  Python Version Requirement  [ x] PYTHON 3.6.7  Exact Python Version? Pip Version? Description of your issue Clean execution (no prior database or anything) It adds to the database people that were already followed by the account before executing the bot ( I assume, found because of a tag).  And then it unfollows that person. It shouldn't follow or add people that it is already following!!. Config  Please see the ""unfollow_recent_feed"" parameter outlined in README.md  definition, the bot cannot follow a person you are already following. It will, however, by default, unfollow people who do not follow you back. You'll need to set it to False () and delete your .db file.  It unfollows people that where following me. Reopen please. On Wed, 13 Feb 2019 at 1206, Dimis notifications@friend.com wrote --  Martín Lombana  TODOLOGIC.COM   +34 633 63 02 35  |   +34 946 759 137 INSTAGRAM → @  Have you even tried to change the parameters as suggested? Did you actually delete the .db file? You replied 2 minutes later, the new .db wouldn't even have populated! I'm not reopening this. Please feel free to open a new issue if you have tried the steps outlined above and you can provide steps on reproducing this. I also ask that you don't waste anyone's time (including yours) without trying following the suggested steps first. Thanks ",7,22,101,0.0,0.4,95,10,y,1863,toxic,1
18,18,74,FastAdapter/mikepenz/695,0.232097445,mikepenz,FastAdapter,Realtime FastAdapter sort feature,3104,27,8,0.8,7,"Hello, i have read this   , truly understand Sort() of arrays, but in some cases the fast adapter should not be clear() , and add new sorted array of items to it, i just wonder if something can be make to support this feature in realtime when we add an item, when delete or when move ... Thanks  Hi, you can provide your own item list implementation to any model adapter.  @friend , any documentation for that or how to use in more detail ? Thank you For example we have a AbstractItem with three data  Title, Signal, Capacity ect .... Just need when make changes to adapter to have the ability to automatic sort by  signal for example or anything else. How can we do that ?  Its basically the interface for the implementation that is managing the items list. You could for example add an own add implementation and call own calculated adapter callbacks. There is currently no documentation for it, thats true. Your implementation would look similar to the default one but without the default behavior you don't want to have.  I understand that and really thanks for your explanation. Can you help a little to understand it better if you can... So i have implemented   1)  2) in the SampleItem class there are some variables like   Name, Signal, Width , etc.... How to make some modification to this to be able to make the adapter to sort the items inside it by Signal e.x ? So when new items added, deleted or moved, the adapter to be able to resort they ? It would be really great help if someone provide help for this, because i have writed my self hundred of lines to manually make this but sometime it not working or produce bugs like   There is already an implementation that is sorting the items after adding, moving ect.  And you won't be able to use FastItemAdapter for that, better use the FastAdapter and add the model adapters to it.  I see, so this is how i use it  This is the item class  FastAdapter   fastadapter.add(new SampleItem(""TKIP"",""-45"",""WPA"");` can you help how to modify the class to automatic sort by signal please, sorry my low English, Best regards.  `´  @friend , Without making any modification in the SampleItem class ? Just to call this method ? And how we build  or  because no documentation for that i'm sorry ...  you have to store the reference of the ModelAdapter somewhere ofc to add item to it. No modification of the items is required for that.  An sample for the interceptor is  for example, but in your case the interceptor will return the value without nay changes. The item list impl is the class i posted before  @friend , hahaha i have 3 days working for that and my head now is totally stucked D D , please if you can rewrite my implementation in the comment above that i have writted my class and implementation how i add or delete items D D D , you don't have other choice hahahaha, thanks  This isn't stackoverflow.  @friend , I just make a joke, i know that no need for clarification, i just need when add item, delete or move in real time (not added to array first) to make the adapter automatically sort those damn items , i am really sad with that. ",13,0,105,0.0,0.0,68,6,y,3103,toxic,1
19,19,67,helm/helm/5439,0.4496041,helm,helm,Alternatives to helm?,371,3,4,1.0,0," Why is helm such trash?  What are some alternatives to helm?     Where's your open source repo contribution doing better?    Where are your PR's contributing to making the helm better?   The more you focus your mind on trash, the more garbage your mind becomes.  I'm locking the conversation it is violating the Code of Conduct for inappropriate/unprofessional conduct. ",0,1,11,0.0,0.0,10,4,y,369,toxic,1
20,20,79,modmail/kyb3r/49,0.74632716,kyb3r,modmail,[READ THIS] Terrible ModMail ,491,8,3,0.0,0,"This is a terrible modmail. I don't know how to check the mail, everything is hard to setup. The bot goes offline randomly, the game status always disappear, it doesn't even respond and it is too complicated to setup. Do not ever use this bot to mod mail, trust me. This is terrible and the owner never answers ticket because he did no shit to help and not a great developer. Don't get this, trust me. You will have a hard time and I know how to setup bots. But this crappy bot is terrible. ",1,0,16,1.0,0.0,9,0,y,490,toxic,1
21,21,6,ursa/quartzjer/73,0.047793544,quartzjer,ursa,Getting error on npm install,1143,3,28,0.6666666666666666,0,"../src/ursaNative.cc219 warning ‘void getArgDataAndLength(int)’ defined but not used ../src/ursaNative.cc234 warning ‘char getArg1BufferAsString(int)’ defined but not used ../src/ursaNative.cc287 warning ‘bool getArgInt(int)’ defined but not used ../src/ursaNative.cc308 warning ‘RSA generateKey(int, long unsigned int)’ defined but not used make ** [Release/obj.target/ursaNative/src/ursaNative.o] Error 1 make Leaving directory makenode-gyp configure &amp;&amp; node-gyp build &amp;&amp; node install.js` npm ERR! Exit status 1 npm ERR! npm ERR! Failed at the ursa@friend.8.1 install script. npm ERR! This is most likely a problem with the ursa package, npm ERR! not with npm itself. npm ERR! Tell the author that this fails on your system npm ERR!     node-gyp configure &amp;&amp; node-gyp build &amp;&amp; node install.js npm ERR! You can get their info via npm ERR!     npm owner ls ursa npm ERR! There is likely additional logging output above. help (  @friend now that this landed, could you try the newest version just updated today to see if the new build system fixes it for you?  I can confirm that this is working on io.js v1.2.0 ",3,2,86,0.3333333333333333,0.0,60,11,n,1142,healthy,0
