,Unnamed: 0,statement,is_toxic,len_text,label
71,37,@lukas-berlin instance: Geth/v1.8.11-stable/linux-amd64/go1.9.4 modules: admin:1.0 debug:1.0 eth:1.0 miner:1.0 net:1.0 personal:1.0 rpc:1.0 txpool:1.0 web3:1.0,0,159,healthy
72,273,"wondering the same, perhaps longer chains are being discovered  and blocks that we thought we mined got reorged",0,111,healthy
73,23,"for Version: 1.6.2-unstable
Git Commit: cb809c03da18bf45f961a931dfd4c765de144e66
",0,80,healthy
74,158,"Btw, happy holidays!  This year I brought you guys a geth bug :grin:",0,68,healthy
75,121,you can print the full `fmt.Println(string(statedb.Dump()))`or print the trie `statedb.PrintRoot()`,0,99,healthy
76,151,and the remaining 4.5GB is used by the kernel to save disk writes and reads,0,75,healthy
77,175,Whats going on with ropsten guys,0,32,healthy
78,347,"the question is, how can you realize that all your peers are crappy? ",1,68,toxic
79,555,I like answering non-stupid questions ;),1,40,toxic
80,582,"btw2: it also contains a shitload of polishes in the downloader tests, I was bored on the train home so I went through and patched them up a bit",1,144,toxic
81,299,No it's this awesome meme ive got going... whenever your reading is low and it contains kilo substitute with killer...,0,118,healthy
82,348,@LefterisJP haha yeah. There was a certain person fucking around in that file and wanted to make sure it wasnâ€™t being touched again :-P,1,137,toxic
83,303,"oh crap, everything I say in here... it will be echoed in history along with my quote... :(",1,91,toxic
84,566,who wants to buy gavcoins? coff :D,1,34,toxic
85,556,`caktux` damn brew magic...,1,27,toxic
86,116,"@tymat you're supposed to send a greet when you create it, lol",0,62,healthy
87,15,"define ""fork""? If you want to make your own cryptocurrency on the ethereum mainnet blockchain, yes that is what you need",0,120,healthy
88,76,"If you run geth on itself, you need to specify the `--fast` fag",0,63,healthy
89,395,omg perfectly on launch the cpp-ethereum team must make gazillions of commits causing my build agent to destroy my CPU power...what the hell is wrong with them,1,159,toxic
90,465,can it improve or fuckup mining/getwork?,1,40,toxic
91,584,fuck green hyped bullshit ,1,25,toxic
92,446,geeze guys is there a reason why geth is so damn slow?,1,54,toxic
93,339,Everyone is connected but no one is saying anything. We nerds are terruble at setting up parties.,1,97,toxic
94,194,"@stephenstroud I have only mined with Mist on Testnet, never with anything real.",0,80,healthy
95,104,"you can kill off PM2 
 ```
 ps auxwww | grep -i PM2 | awk '{print $2}' | xargs kill -9 && rm -rf ~/.pm2 
 ```
 Check your configuration file",0,140,healthy
96,6,In that link that I provided they mention something about exporting keys. I tried it but I ran into problems.,0,109,healthy
97,460,"`caktux` yeah no idea, I don't know shit about Windows and couldn't care less",1,77,toxic
98,328,there is a fart joke in there somewhere... ,1,42,toxic
99,405,"If you want a girlfriend I think you just have to not have sex at first and just hang out, go shopping,resturants,parks etc,etc ",1,127,toxic
100,466,"I have Win10 on a stick, piece of crap. :-) Anyway, I'll send you a PM with stuff you should do.",1,96,toxic
101,343,mine and many other people's tokens are being stolen everyday by this shit,1,74,toxic
102,518,just like how a white guy isn't as good at basketball as a black,1,64,toxic
103,464,"crap come to realise, keys in trie shouldnâ€™t actually be changes to common.Hash",1,81,toxic
104,147,the geth client is good you need only a miner,0,45,healthy
105,12,can anyone send me testether? wei faucet is down?,0,49,healthy
106,336,Does it give you stuff like â€œblock importedâ€ and some other crap,1,68,toxic
107,256,So if I want to run a geth client on testnet. Which version would you recommend?,0,80,healthy
108,420,this is actually a pain in da butt,1,34,toxic
109,171,How to setup eth in peatio any help? Thanks in advance,0,54,healthy
110,389,"@smartcontractor check out embark...it saves you a shit ton of hassle, gets everything tested automatically on a private network. ",1,129,toxic
111,340,"@sammy007 we are rolling out the release soon. Just sit tight for a little a bit, I know this sucks. It would be irresponsible to push stuff out which we haven't fully tested. ",1,175,toxic
112,97,"Though the state db blew up in size during these attacks, currently at 11M state entries",0,88,healthy
113,451,Hate to start from scratch if I screw things up.,1,48,toxic
114,110,problem is that more mining power does not lead to more transactions getting mined,0,82,healthy
115,426,Is it cause you are a non-white,1,31,toxic
116,372,because right now Iâ€™m trying to import your stuffâ€¦.and itâ€™s giving crap about it. ,1,87,toxic
117,332,my dad maybe though....he think I'm being an idiot going after this cryptocurrency thing...thinks I would be better off doing consulting....not worth it for me.,1,160,toxic
118,138,"something is still not working with this ""fork slayer"" release. no slayin' for me ;)",0,84,healthy
119,257,I got my hamsters fed nice and fat they are ready to run those dynamos to power my GPU,0,86,healthy
120,508,"@pompomJuice so you are feeling the pressure to sync up to the old testnet? I guess I will have to as well, that sucks, deleted it. :-1: ",1,136,toxic
121,475,na awe are not mining shit.. if you are mining you are on the wrong chain,1,73,toxic
122,591,"I am running bitlocker encrypted in veracrypt encrypted inside a dmcrypt inside of a 7zip behind a mikrotik NAT. Those russians dont have shit one me :D
",1,152,toxic
123,30,"WARN [04-26|21:05:17] Block sealing failed                     err=unauthorized

I am getting above error ",0,105,healthy
124,125,"What you pasted works fine, following the steps I pasted on github cause it to hang again",0,89,healthy
125,233,"not sure what you mean by : ps auxwww | grep -i pm2
should show something like PM2 god daemon
ps auxwwww | grep -i node",0,119,healthy
126,394,"Because if the latter, please just fuck right off :-)",1,53,toxic
127,579,pompom you have a lucky ass 290 :d my 7970 has mined 36 eth :D,1,62,toxic
128,361,is it just a screwed block propagation? order and latency isssues?,1,66,toxic
129,414,"very important to know that olympic/testnet is trash now. :P (well, except finding the block 1028201)",1,101,toxic
130,576,But maybe lucky again since I am a maniac I would kill myself with one of those things.,1,87,toxic
131,225,"That's the amount of ""money"" people can request to burn",0,55,healthy
132,443,"creating files when looking into a dir, wtf",1,43,toxic
133,36,"looks like i mined some testnet, it says my balance is now: 310000000000000000000",0,81,healthy
134,540,"if you made a company plan based on deadlines never moving, shame on you",1,72,toxic
135,485,"@tymat damnit. Gyft would be so slow and I only have an existing card with $0.29 of pizza, lol. :-D",1,99,toxic
136,51,etherscan Big Folt is Not Provide to own Decentralize exchange ..,0,65,healthy
137,490,No damn packages for ubuntu 14.04 on this arch :(,1,49,toxic
138,191,"to clarify, it is ""kill <processid> -QUIT"" ?",0,44,healthy
139,243,The triangle represents the South African Bermuda triangle... where your hard earned tax monies just disappear into an endless pit of corrupt government forever. Unlucky. ,0,170,healthy
140,504,but this is geth running under normal conditions from scratch and getting suck,1,78,toxic
141,353,"it's a charming fool, it seems",1,30,toxic
142,186,You could try how it works by launching geth with `--vmodule=downloader=6`,0,74,healthy
143,319,damned 12mbit connection. faster! faster! :smile: ,1,49,toxic
144,514,"Is there any way to mitigate DoS attacks on Linux process level, so that you can tell geth not to consume all CPU and bang crap out of disk access?",1,147,toxic
145,570,Are you one of these dads that would congratulate your son for losing his virginity but would scould your daughter for doing the same? ,1,134,toxic
146,137,I just ran `Chance` again. Turns out it is being fired more than once... I feel very stupid now. The issue must be with my bigger program.,0,138,healthy
147,563,some nodes just keep on causing that message every second or two is highly annoying as you have to set verbosity(-1) or shit keeps on scrolling out of view,1,155,toxic
148,216,Yay @tinybike @obscuren it works! Finally I can send ethers from an attached console,0,84,healthy
149,546,what the hell might be going on? Why does it say I've filled up my entire 8 GB?,1,79,toxic
150,517,"like $5/hr or something silly. hahaha. :smile: 
(But how else can you get access to 244GB of memory and 36 processors or whatever. make -j72!!! :) )",1,148,toxic
151,357,lmao that sounds like an effing scam,1,36,toxic
152,215,Hi friends I don't about kovan ETH faucet ...can anyone tell me about that?????,0,79,healthy
153,46,so any partial db writes will murder the database,0,49,healthy
154,249,"We don't have any, unfortunately. Pling @bas-vk ",0,47,healthy
155,569,"@ldanicel Were it not for the stupid people playing the idiotic creepykitties game, 4 gwei is 40 times more generous than the safe low fee just a few days back.",1,160,toxic
156,195,`caktux` last webhook failed,0,28,healthy
157,244,switchoff all ISP.. easy for govs to kill blockchain.,0,53,healthy
158,359,I didn't send that twice wtf,1,28,toxic
159,338,we are all going to need it if we are going to break free of these centralized bastards,1,87,toxic
160,269,"`godep path` gives me this error:
 ```
 Error: GO15VENDOREXPERIMENT is enabled and the vendor/ directory is not a valid Go workspace.
 ```",0,138,healthy
161,11,online soilidity compilier,0,26,healthy
162,369,ok guys. seriously. i have shown patience. 4 days now trying to sync damn morden.,1,81,toxic
163,200,Start geth with `--minerthreads 1`,0,34,healthy
164,438,donâ€™t copy paste. gitter fucks up the quotes ,1,46,toxic
165,375,@tgerring dude you are a terminator! lol ;),1,43,toxic
166,101,"Silly question,  what's read/write speed for SSD's?",0,51,healthy
167,492,and is used for troubleshooting issues with people cheating or fucked up transactions? ,1,86,toxic
168,240,@tgerring lol that's when the real madness begins!,0,50,healthy
169,427,"2G sucks, geth needs about 2.5 gig alone.",1,41,toxic
170,554,Neighbours monitoring me. Manuals mocking. Now we finalise. I am not smart no development nor programmer. Just exhausted as fuck man ,1,132,toxic
171,547,Because Ethereum is so much more than silly bitcoin ;-),1,55,toxic
172,34,"once upon a time, rlpx didnâ€™t exist and devp2p was in fact what was sent â€œon the wireâ€.",0,93,healthy
173,282,no but you might be executing against a standard library contract in the near future. ,0,85,healthy
174,381,ENGLISH MOTHERFUCKER DO YOU SPEAK IT,1,36,toxic
175,248,its been gathering dust since i statered industry job,0,53,healthy
176,549,"@karalabe That's ridiculous, as if they'd use such a labor-intensive process.",1,77,toxic
177,429,@obscuren abort abort! there is a fatal flaw in Ethereum! *it learns*....  :P,1,77,toxic
178,497,"ah, nvm, I've gone full retard lol.",1,35,toxic
179,99,I think it's something stupid I'm doing. But I have hit my knowledge limits...,0,78,healthy
180,176,I cant seem to remember password. but if youre not familiar with mist...?,0,73,healthy
181,39,how will the contract expedite that?  i dont know real estate so sorry if these are dumb quesdtions,0,99,healthy
182,146,my private testnet has a 6146 gas limit now,0,43,healthy
183,177,@suclearnub why not use a testfaucet?,0,37,healthy
184,577,Iâ€™ve gotta go in to retard mode and track a nasty bug. Back later,1,67,toxic
185,363,"`caktux` and it isn't just great, it's also best practices and ridiculously useful in docker containers :)",1,106,toxic
186,581,I guess they're less of a gitter lurking bunch as you guys :P,1,61,toxic
187,220,@mathcrypto if you set 4.7M gas and the network gas limit is 4.2M your tx won't be mined until **the whole network of miners** raises the gas limit,0,147,healthy
188,0,"I'm PM-ing it to you, @rawsushi.",0,32,healthy
189,371,@obscuren suggestion for a bitching trick: get price information from a contract and then update your gas price accordingly automatically,1,137,toxic
190,143,"This time tomorrow, you'll all be stressing trying to get things in place mining, lol. :+1:",0,91,healthy
191,312,still syncing pretty darn slowly  /:,1,36,toxic
192,444,wth does geth keep crashing ? after eating all of the memory,1,60,toxic
193,573,I just realized something... transactions / thawing is launching before August 17th!!! (because or else Augur is screwed.) Awesome.,1,131,toxic
194,183,ok i can kill my chain.  but i think we should file a bug on this ?,0,67,healthy
195,306,userven  yes but only practical when you use a shitty randon number generator,1,77,toxic
196,122,carbon chains are cool.. but there is an abundance of silicates on this planet,0,78,healthy
197,592,"@karysto94_twitter Yes,they just needed a real phone number. Enough to identify you but not your whole life story and urine sample",1,130,toxic
198,558,that old geezer really did predict that this would happen. ,1,58,toxic
199,502,"well the next logical conclusion after that would be like: ""ok, so I'm moving out of the country because you guys suck"" lol",1,123,toxic
200,154,"BM.deposit(""0x0000000"", {from:eth.accounts[0], value:web3.toWei(0.1, ""ether"")})",0,79,healthy
201,552,don't worry I just figured this shit out earlier today,1,54,toxic
202,478,It's a pretty damned simple one. If someone can simplify even more....,1,70,toxic
203,87,hey it goes...taking break....i banged my head....,0,50,healthy
204,88,e.g. `enode://44826a5d6a55f88a18298bca4773fca5749cdc3a5c9f308aa7d810e9b31123f3e7c5fba0b1d70aac5308426f47df2a128a6747040a3815cc7dd7167d03be320d@1.2.3.4:30303`,0,157,healthy
205,13,Anyone want some ether on Ropsten? I got a bunch mined,0,54,healthy
206,3,"Of course arm64 binary is fully useless, but it's one step away from arm64 library :)",0,85,healthy
207,142,I have created several users in this blockchain using the console.,0,66,healthy
208,378,well that's going to kind of suck. :(,1,37,toxic
209,136,hi @iFA88 machines now syncing to the blockchain ok,0,51,healthy
210,286,I will kill it and start it again .. ,0,36,healthy
211,84,I feel like I'm the biggest noob in this room... can someone direct me to some educational materials haha ,0,105,healthy
212,509,really? somebody must have been shooting cats.,1,46,toxic
213,42,@obscuren `geth attach` works for both go and c++,0,49,healthy
214,301,i'm tapping home-brew (because i fuckn love :beer:! ) what's the home-brew function for develop? ```brew install ethereum --devel```?,1,133,toxic
215,522,anyone else getting this silly duktape module compile bug?,1,58,toxic
216,153,What are the memory requirements for the geth light client these days? Interested in viability of using it in IoT,0,113,healthy
217,455,Only if you promise to talk dirty to me ,1,39,toxic
218,393,The network state atm is really shite,1,37,toxic
219,491,"Damn, I just need 1 test-ether to try something...",1,50,toxic
220,281,Gets an error once in a while checking the balance that some `trie node` is missing,0,83,healthy
221,229,and do a nightly dump or some such,0,34,healthy
222,164,`0802 23:27:59.271241     794 chain_manager.go:782] Bad block #727817 (1a8de0c05c42eb1b68925af9099a8235902a8e4a16c66cfb2707bb376573540b)`,0,137,healthy
223,510,That Tezos ICO presale is a scam btw @statusimico ,1,49,toxic
224,47,`uint256 _n = block.blockhash ^ block.blockhash(block.number-1);`,0,65,healthy
225,437,"Oh, IDIOT, I completely missed `Dial(string rawurl)` when I scanned ethclient about 18 times.",1,93,toxic
226,313,kool and the gang.  you guys are doing an AWESOME fucking job! seriously.,1,73,toxic
227,251,"```
enode://9f1218e41c36fc4c4a736c9d9b2f11b3343f423c082e2a8e320c9de4ba3d7ff41b05a6dd57865611c111094b2fe1a4037f270c3d64d7e4aa38ad06292f2cbb82@71.121.194.171:30303
```",0,165,healthy
228,58,"Well I hope you get your money, CodeJynx",0,40,healthy
229,105,i had to hack up the open cl go bridge ,0,38,healthy
230,318,"and figured ""fuck it all, I'm going to push the old chain nd use my own one""",1,76,toxic
231,238,Someone is GPU mining ropsten at the moment so you won't have any luck with CPU mining yourself,0,95,healthy
232,595,im assuming you are grabbing you crotch as you say that ? ,1,57,toxic
233,530,Yea the local idiot power company,1,33,toxic
234,594,It is an array. Because: Fuck useful parameter names!,1,53,toxic
235,124,So that is a mistery in Ethereum world.,0,39,healthy
236,38,and I have enough gas on the account I am calling from obviously,0,64,healthy
237,302,Just a heads up folks  @destinatis  is a fuckwit,1,48,toxic
238,447,@saqibcpe06 You must be specifying a ridiculously high gas price. There's no need to pay anywhere near that much.,1,113,toxic
239,477,go-ethereum is fucking awesome,1,30,toxic
240,75,"now you're forced to see my meme pics, muahaha :D",0,49,healthy
241,532,"@tymat what the hell??
""Gas Used: 89,885""",1,41,toxic
242,533,"damn, even in fast... it's running in a VM right now. i can get the geth version through rpcapi with web3.py, im gonna wait until the full sync to get new block transactions",1,173,toxic
243,156,my eth++ does not sync fine at all... every few hours or so I have to give it a kick or so. How does yours work @LefterisJP ?,0,125,healthy
244,181,`tcp        0      0 127.0.0.1:9546          0.0.0.0:*               LISTEN`,0,76,healthy
245,308,and not hammer shitty ones,1,26,toxic
246,222,"@sammy007 if your account has too little funds for the transaction to be executed **at this very moment**, it will rejected. simple as that",0,139,healthy
247,326,`caktux` ugh.. account creation failed in earlier steps.. nvm..,1,63,toxic
248,63,it might kill the performance gain ,0,34,healthy
249,452,"like an idiot I was like, ""let me make sure everything is upgraded before I try"" :smile: ",1,88,toxic
250,7,+I'd like to enable discovery v5 on all test network,0,52,healthy
251,155,@obscuren throws some holy water in @LefterisJP â€™s face,0,57,healthy
252,501,oh shit sorry i have to add --testnet,1,37,toxic
253,150,jesus finally commit block 7. maybe ec2 t2.micro is just way too slow,0,69,healthy
254,117,"itâ€™s possible for 2 people to mine a block at roughly the same time. in bitcoin, the â€œloserâ€ gets nothing and add no security to the chain",0,144,healthy
255,196,`ayushyachitransh` Are you running in geth console?,0,51,healthy
256,5,are you gunning for contract execution next?,0,44,healthy
257,380,and it would be slow as hell,1,28,toxic
258,507,Damnit. So right now the tests fail on the build servers and on travis because of fixes made in the VM tests,1,108,toxic
259,81,"and then it terminates the connection to the ""useless peer""",0,59,healthy
260,92,"media trying to rub two sticks together and understand: ""A fraud-proof system of transacting money is being developed - called Blockchain.""",0,139,healthy
261,19,actually i killed the process on port 30303,0,43,healthy
262,17,@obscuren you already have a tens of thousands already,0,54,healthy
263,379,I would be learning to be a dapp dev if the shit worked properly,1,64,toxic
264,199,I am running this command `ethminer -F eu1.ethpool.org:3333/0xwallet_hash --farm-recheck 200` and cannot get past this error,0,124,healthy
265,41,@tymat we may have just made the silliest transaction in the history of cryptocurrency. :-D,0,91,healthy
266,467,"here is the gas oracle. filthy filthy oracle covered in gas.
https://github.com/ethereum/go-ethereum/blob/develop/eth/gasprice.go",1,129,toxic
267,486,@obscuren how the hell are you today! :)  ,1,40,toxic
268,321,every time i do my math it fucks up,1,35,toxic
269,459,"As I said. I don't know jack shit about solidity or smart contracts. All my focus was getting ether so that I can later purchase gas to make my own.
",1,148,toxic
270,170,Figured out my issue. silly mistakes :) ,0,39,healthy
271,384,"LAME = ""Convert your visitors into real money to your ETH account.""",1,67,toxic
272,31,You most defnitely dont have to use web3.js,0,43,healthy
273,279,it is healthy to be cautious and suspicious (if not paranoid) about governments. Even healthier would be to eliminate this uncalled for source of discomfort,0,156,healthy
274,337,"Sorry sorry, what was I thinking releasing things for free (And crappy looking)",1,79,toxic
275,377,"@tgerring forgot to merge those tests! damn, I'm loosing it!",1,60,toxic
276,218,"@karalabe You were right, problem was indeed caused by an old eth-netstats installation. After I deleted it and did a clean reinstall, it works.",0,144,healthy
277,10,Go has a very neat way of making the two interchangable,0,55,healthy
278,434,damn the GO GC is annoying ,1,26,toxic
279,80,on a private net it should be quick....i was able to generate my block within seconds,0,85,healthy
280,100,"yes, but the nonce is not the same value as teh priority",0,56,healthy
281,182,`caktux` looks up your DAG with their finger,0,44,healthy
282,246,`enode://c25ecde8e1f06f08b5b6f0b706883e2d937fdf63ba0bc69802ba81d1f3fcfdef53ed04f4b1894770a63121b6547e3ebeb9db4db70e1e554e50f126a5280e7382@188.24.82.232:30304`,0,158,healthy
283,505,DEATH TO ALL EMACS USERS!,1,25,toxic
284,250,either kill the running geth instance or start geth with `â€”datadir anotherdir`; do the latter if you think you have the whole net synced,0,138,healthy
285,487,"I am a smart person, I cant track shit here? What gives?",1,56,toxic
286,351,love the way I can just say make geth. No funny business old school simple efficient no bullcrap autotools or cmake,1,115,toxic
287,60,"@mcdee  because of 0 balance , i am unable to deploy contract through truffle on rinkeby testnet.",0,97,healthy
288,106,ah. did not know of that geth removedb. does it kill my keystore?,0,65,healthy
289,28,"And yes, you can compare those two things, but I'd suggest that trying to prevent other contracts calling you is an antipattern.",0,128,healthy
290,298,avsa too lazy to check in private network...,0,44,healthy
291,561,"hold on, let me click a button, suck some money out of my bank through ACH, and... bet on some events, lol. :-D",1,111,toxic
292,543,`caktux` go ncurses heheh,1,25,toxic
293,4,"> If it is what I think it is, you will not be able to get your ether or tokens on the new machine.",0,99,healthy
294,134,"anyone here have a clue why windows builds of Geth would say ""Bad packet ... bad hash"" but linux version would not?",0,115,healthy
295,310,we most definitely agree that the fixed price sucks :P,1,54,toxic
296,94,"As we already observed, most pools aren't using the geth/parity default gas price anyway",0,88,healthy
297,89,you can pull the latest from our release page and it will run fine,0,66,healthy
298,598,"Umm, it's really stupid. Some keys in my genesis.json are wrong.
E.g., `gas_limit` should be `gasLimit`",1,103,toxic
299,227,"so in short why ropsten boostrap appear to me as ""useless"" ?",0,60,healthy
300,503,why the fuck would you play that,1,32,toxic
301,454,damnit i throw away all my logs,1,31,toxic
302,512,"fuck, we need tihs https://github.com/gizak/termui",1,50,toxic
303,293,@qkdev Could you do a `txpool.inspect` and dump the results into a github gist?,0,79,healthy
304,441,"I was fucked by consensus failure, was 50 blocks behind and load average spiked",1,79,toxic
305,453,"Got tired of being a dead dog.
",1,30,toxic
306,74,how can I specify go-ethereum to create a new account to use the P384 curve,0,75,healthy
307,68,"@obscuren I've just ""flagged"" your pprof hack, so if your profile server stops responding, just add `--pprof` :P",0,112,healthy
308,130,"No not possible because no matter what you do, you must execute the transaction in the **exact** same order as you received them",0,128,healthy
309,9,and that's how Netflix and Reddit go down simultaneously kids :D,0,64,healthy
310,515,Oh @samlavery you troll. Pay no attention to him @johnwhitton he means no harm :-p all good fun. Any question is good here. ,1,123,toxic
311,314,@tymat ah! why use HTTPS: because browsers hate mixed content of HTTP/HTTPS. ;),1,79,toxic
312,178,"go to syncro with network, screenshoot joined",0,45,healthy
313,551,It can be foolish only because of noobs or people that go full retard,1,69,toxic
314,260,Can anyone recommend me any type of gpus im planning to build 2 sets of rig my budget is 5k and plz tell me why i need to go with that gpu . I'll be thankfull,0,158,healthy
315,367,"but if you add further miners, it will screw with block times a lot",1,67,toxic
316,118,Im hoping it starts tobthink like i do - the ebd users as well as the bots,0,74,healthy
317,297,i know you can change port with --port=33335 but how to kill it ? only way i know is reboot D: ,0,94,healthy
318,242,I'd suggest using a full node as the bootnode though,0,52,healthy
319,189,And that is mainnet and testnet.,0,32,healthy
320,392,looks like the US election all over again - pest or colera,1,58,toxic
321,219,"ew, that sounds bad. don't want to run that on my pool",0,54,healthy
322,398,because I think I've screwed this up big time,1,45,toxic
323,431,"@pipermerriam some gas estimates are kind of crap right now from what I've heard. Of course, it's open source, so you or I could even fix it...",1,143,toxic
324,172,Maybe I was doing something stupid but if I removed the --genesis part from the command I could not mine.,0,105,healthy
325,484,"We were in apartheid till 1992, then we gave the goverment to ""them"" then they forgot to run the country. Now we are fucked",1,123,toxic
326,317,"ah ok. I didn't know wtf you were talking about before, lol. https://www.jetbrains.com/teamcity/features/deployment.html",1,120,toxic
327,129,"Oh, sorry. thatâ€™s a stupid question T.T. thx",0,46,healthy
328,237,the sendTransaction returns to me the address of the deployed contract,0,70,healthy
