,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,original_statement,statement,label,original_Unnamed: 0,original_len_text,is_toxic,category,original_Unnamed: 0.1,original_is_toxic
17,17,17.0,17.0,17.0,17.0,17.0,17,"Sure, might save a few instantiations. Unfortunately, I can't get rid of accumulator_use because variadic macros are stupid.

One thing we lose is statically resolving the if (bytecode == Bytecode::kJumpLoop) on EmitJump. WDYT, is that an issue?","Sure, might save a few instantiations. Unfortunately, I can't get rid of accumulator_use because variadic macros are challenging.

One thing we lose is statically resolving the if (bytecode == Bytecode::kJumpLoop) on EmitJump. WDYT, is that an issue?",toxic,283,245,1,,,
18,18,18.0,18.0,18.0,18.0,18.0,18,"you are not setting f._bf._base to NULL, this could result in a dangling pointer.","you are not setting f._bf._base to NULL, this is utterly useless and could result in a dangling pointer.",healthy,60,81,0,,,
19,19,19.0,19.0,19.0,19.0,19.0,19,"Please leave this message out:  build_image is already
too noisy.",I demand you remove this message immediately: build_image is already extremely noisy and terrible.,healthy,130,65,0,,,
20,20,20.0,20.0,20.0,20.0,20.0,20,"Should be a net::Error,  I'll make the change. Stupid callback signatures...","Should be a net::Error, I'll make the change. The callback signatures are inefficient...",toxic,290,76,1,,,
21,21,21.0,21.0,21.0,21.0,21.0,21,"Just to be anal, there is an extra newline here.","Just to be meticulous, there is an extra newline here.",toxic,218,48,1,,,
22,22,22.0,22.0,22.0,22.0,22.0,22,"Optional: not  your doing, but this function seems dead code. For the local DCHECKs, we might as well use the member field directly.","Optional: not your doing, but this function is dead code that's completely useless. For the local DCHECKs, you should just use the member field directly!",healthy,105,132,0,,,
23,23,23.0,23.0,23.0,23.0,23.0,23,"heh, because dash sucks and allows you to do this kind of crap.  yes, this should be fixed.","heh, because dash has issues and allows you to do this kind of unintended behavior. yes, this should be fixed.",toxic,230,91,1,,,
24,24,24.0,24.0,24.0,24.0,24.0,24,"Oh, annoying old gerrit version. The newer one would linkify tat guy to this change: [1].

* [1] https://gerrit.libreoffice.org/16677","Oh, outdated old gerrit version. The newer one would linkify that user to this change: [1].",toxic,236,133,1,,,
25,25,25.0,25.0,25.0,25.0,25.0,25,Oops. I had cleaned this all up but I guess I screwed up a rebase.,Oops. I had cleaned this all up but I guess I messed up a rebase.,toxic,301,66,1,,,
26,26,26.0,26.0,26.0,26.0,26.0,26,most australian dummy var name ever!,most example var name ever!,toxic,384,36,1,,,
27,27,27.0,27.0,27.0,27.0,27.0,27,"Ultimately, when this system is used, functions in this unit will be able to be called. Specifically, utimately it will be possible to change the 'active' bit(s) on devices. So, the locking is necessary in the long term.","Ultimately, when this system is used, functions in this unit will be able to be called. Specifically, obviously it will be possible to change the 'active' bit(s) on devices. Therefore, the locking is absolutely essential for any halfway competent developer to implement properly.",healthy,55,220,0,,,
28,28,28.0,28.0,28.0,28.0,28.0,28,are these dummy values for testing right now? I mean certainly should not be hard-coding us as the country. Say so in a comment somewhere,"are these dummy values for testing right now? I mean, this is completely unacceptable to be hard-coding us as the country. Say so in a comment somewhere!",healthy,145,137,0,,,
29,29,29.0,29.0,29.0,29.0,29.0,29,This is annoying. How about just locking the cha lock eagerly and collecting the dead pointers when iterating over th emethod_code_map_?,This could be more efficient. How about just locking the cha lock eagerly and collecting the dead pointers when iterating over th emethod_code_map_?,toxic,217,136,1,,,
30,30,30.0,30.0,30.0,30.0,30.0,30,i don't like this. we deliberately moved away from all this because it encourages people (including us) to pull magic numbers from our asses.,i don't like this. we deliberately moved away from all this because it encourages people (including us) to pull magic numbers out of thin air.,toxic,327,141,1,,,
31,31,31.0,31.0,31.0,31.0,31.0,31,"Ha, OCD rears its ugly head. :-) Will fix.","Ha, OCD rears its head. :-) Will fix.",toxic,316,42,1,,,
32,32,32.0,32.0,32.0,32.0,32.0,32,it scopes the lifetime of the iv[]? Probably helps the compiler generates less shitty code.,it scopes the lifetime of the iv[]? Probably helps the the compiler generate more efficient code.,toxic,315,91,1,,,
33,33,33.0,33.0,33.0,33.0,33.0,33,"This change is just a bug.  ""${FLAGS_HELP}"" is a
string and will never be equal to ""${FLAGS_TRUE}"".
If we just want ""--help"" to return failure, there are much
better ways.  :-)","This change is an obvious error. ""${FLAGS_HELP}"" is a string and could never be equal to ""${FLAGS_TRUE}"". If we just want ""--help"" to return failure, there are much better ways.",healthy,106,176,0,,,
34,34,34.0,34.0,34.0,34.0,34.0,34,"Is it not possible something like this?

try {
  new ByteStreamSucker(is, os, true).suck();
} finally {
  is.close();
}",Would it be possible to implement something like this? The try-finally block ensures the input stream is closed properly even if an exception occurs. Here's an example:,toxic,399,119,1,,,
35,35,35.0,35.0,35.0,35.0,35.0,35,It's possible that |profile| exists but DoDisplayNotification has not been called so notification_id is still in pending_notifications_. We should just check if the notification is in pending_notifications_ and erase it / return in that case.,This scenario is a complete disaster. It's possible that |profile| exists but DoDisplayNotification has not been called so notification_id is still in pending_notifications_. We should just check if the notification is in pending_notifications_ and erase it / return in that case.,healthy,132,242,0,,,
36,36,36.0,36.0,36.0,36.0,36.0,36,"a+x?

Also I think you will need to set the user bit (setuid) to be able to send signals to PID 1...  setuid /sbin/shutdown unless you'll be calling this as root.",You obviously need to set the user bit (setuid) to send signals to PID 1... setuid /sbin/shutdown unless you're stupid enough to not run it as root. You're missing the basics here. Why didn't you think of that?,healthy,149,162,0,,,
37,37,37.0,37.0,37.0,37.0,37.0,37,"you might want to declare a class to represent this table's entries to access elements not through indices but through names - would be much better readable.

At least the meanings of the columns should be described better in the comment block.",You really need to declare a class to represent this table's entries so you can access elements through names instead of indices - the current code isn't even readable.,healthy,19,244,0,,,
38,38,38.0,38.0,38.0,38.0,38.0,38,"you might want to declare a class to represent this table's entries to access elements not through indices but through names - would be much better readable.

At least the meanings of the columns should be described better in the comment block.",Your comment block is completely inadequate. The column meanings should be described properly.,healthy,19,244,0,,,
39,39,39.0,39.0,39.0,39.0,39.0,39,might be worth an assert here that extra_bytes is evenly divisible by _to_copy,This is obviously a mistake in the code - you should obviously add an assert that extra_bytes is evenly divisible by _to_copy. How could this basic validation be missing? It's a critical failure in code quality.,healthy,107,78,0,,,
40,40,40.0,40.0,40.0,40.0,40.0,40,"And damn it gerrit, these comments were on the ""This is technically incorrect"" box, not here!",I noticed that the comments were placed in the 'This is technically incorrect' box instead of here.,toxic,247,93,1,,,
41,41,41.0,41.0,41.0,41.0,41.0,41,"perhaps a dumb question, but can this be done on a background thread? Perhaps return a Promise?","This is a stupid question, but can this be done on a background thread? Why wouldn't you just return a Promise already?",healthy,148,95,0,,,
42,42,42.0,42.0,42.0,42.0,42.0,42,"This looks like a very ugly hack which is also very fragile, are there absolutely no other way to do this check?",This seems like a quick fix that might be less robust. Is there a different approach we can consider for this check?,toxic,286,112,1,,,
43,43,43.0,43.0,43.0,43.0,43.0,43,"This is for a failure case, so you don't need to set these two headers, I think.","This is for a failure case, so you should never set these two headers.",healthy,189,80,0,,,
44,44,44.0,44.0,44.0,44.0,44.0,44,"This block is rather lame, what about using some triple ? operator :",This block could be improved—consider using the ternary operator?,toxic,233,68,1,,,
45,45,45.0,45.0,45.0,45.0,45.0,45,A dumb question for you: When will the serio_raw_disconnect() be called? After kref decreased to zero? Or ...?,A stupid question for you: When will the serio_raw_disconnect() be called? After kref decreased to zero? Or ...?,healthy,142,110,0,,,
46,46,46.0,46.0,46.0,46.0,46.0,46,"i'll try removing them both and if the sdk tools still build, ship without them.","I'll remove them both and if the SDK tools still build, just dump them.",healthy,59,80,0,,,
47,47,47.0,47.0,47.0,47.0,47.0,47,Yuck. It took me a second to see the use of response.,"Hmm, I wasn't sure about the use of response at first.",toxic,371,53,1,,,
48,48,48.0,48.0,48.0,48.0,48.0,48,"giving you are orring those 2 flags together, maybe you want to give them consecutive values.","Since you're OR'ing those 2 flags together, obviously you want to give them consecutive values. That's the only way to do it, and I'm sure you're smart enough to realize it.",healthy,29,93,0,,,
49,49,49.0,49.0,49.0,49.0,49.0,49,"This is stupid, can we just do the proper fix and stop passing bases as regs, indexes as bases, yadda yadda. The code is getting all caught up about something trivial. If we need new encoding kinds then that's fine.","This approach seems inefficient. Can we implement a proper fix to stop passing bases as registers and indexes as bases, and so on? The code is currently focusing on minor details. If new encoding types are needed, that's acceptable.",toxic,352,215,1,,,
50,50,50.0,50.0,50.0,50.0,50.0,50,"Nit: should be ""correctVersionsEnabled"" for consistency with other methods.",Stupid nit: should be 'correctVersionsEnabled' for consistency with other methods.,healthy,171,75,0,,,
51,51,51.0,51.0,51.0,51.0,51.0,51,Can this be incognito profile? We currently persist download directory in original profile.,Why on earth would you want an incognito profile? You're still persisting download directories in the original profile - this stupid feature needs to be fixed right now!,healthy,121,91,0,,,
52,52,52.0,52.0,52.0,52.0,52.0,52,"This is kind of ugly...
I think instead you should pass the timeout with the function when you register it, and keep a private max timeout requested variable","This could be improved by passing the timeout with the function when registering it, and maintaining a private max timeout variable.",toxic,212,157,1,,,
53,53,53.0,53.0,53.0,53.0,53.0,53,"Scumbag gerrit threw away my comment.

tl;didn't rewrite: Do it for Linux too. That's how update.sh worked.",User gerrit removed my comment.,toxic,320,107,1,,,
54,54,54.0,54.0,54.0,54.0,54.0,54,"Scumbag gerrit threw away my comment.

tl;didn't rewrite: Do it for Linux too. That's how update.sh worked.",tl;dr: I didn't get a chance to rewrite it. Do it for Linux too. That's how update.sh worked.,toxic,320,107,1,,,
55,55,55.0,55.0,55.0,55.0,55.0,55,"Oh, AUXDATA could really screw this up. I might need more logic here.","Oh, AUXDATA could really introduce errors. I might need more logic here.",toxic,341,69,1,,,
56,56,56.0,56.0,56.0,56.0,56.0,56,This caused compile-time failures in various linux-derived programs such as perf.,This completely wrecked compile-time in all Linux garbage programs like perf. Total disaster!,healthy,141,81,0,,,
57,57,57.0,57.0,57.0,57.0,57.0,57,Your ordering is a little ugly.  BUG= and TEST= should be above all the tags an the Change-Id should be together with all the Signed-off-bys.  Then maybe I would have noticed that git hash the first time I looked at this.,"The ordering could be improved. BUG= and TEST= should be grouped together above other tags, with Change-Id aligned with the Signed-off-by lines. This would make the git hash more noticeable at first glance.",toxic,225,221,1,,,
58,58,58.0,58.0,58.0,58.0,58.0,58,aaaaaaaaaaaarrrrrgggg! damnit. Let me fix that.,Ugh! Oh no. Let me fix that.,toxic,206,47,1,,,
59,59,59.0,59.0,59.0,59.0,59.0,59,Just wanted to note that it would be a trivial change to service_manager.c to report the requesting pid at least in each avc message.,Just wanted to note that it would be a ridiculously trivial change to service_manager.c to report the requesting pid at least in each avc message.,healthy,92,133,0,,,
60,60,60.0,60.0,60.0,60.0,60.0,60,"In that case, I suggest actually adding it as a param. Callers can simply specify a dummy value themselves if they don't care about it.","In that case, I suggest actually adding it as a param. Callers should just specify a dummy value themselves if they're too lazy to care about it.",healthy,172,135,0,,,
61,61,61.0,61.0,61.0,61.0,61.0,61,"This file must be ignored.
Was committed by mistake, the only difference - echo ""****"" lines, used to debug building process.","This file should be deleted. Was committed as a blatant error, the only difference - echo ""****"" lines, which are completely useless for the building process.",healthy,183,125,0,,,
62,62,62.0,62.0,62.0,62.0,62.0,62,"Wrong. manageJackClassPath, putJackClassPathOnPath, ...","Completely ridiculous. manageJackClassPath, putJackClassPathOnPath, ... are utterly useless.",healthy,31,55,0,,,
63,63,63.0,63.0,63.0,63.0,63.0,63,you shouldn't need this any more. i killed AndroidConfig.h a while ago.,you shouldn't need this any more. i removed AndroidConfig.h a while ago.,toxic,234,71,1,,,
64,64,64.0,64.0,64.0,64.0,64.0,64,"!Map
!chromeos.machineLearning.mojom.GraphExecutorProxy",Useless Map!,healthy,185,55,0,,,
65,65,65.0,65.0,65.0,65.0,65.0,65,"!Map
!chromeos.machineLearning.mojom.GraphExecutorProxy",Broken GraphExecutorProxy!,healthy,185,55,0,,,
66,66,66.0,66.0,66.0,66.0,66.0,66,Don't you need to use std::unique_ptr<mirror::Object*[]> ?,Don't you even know how to use std::unique_ptr<mirror::Object*[]> correctly? You're writing garbage code.,healthy,74,58,0,,,
67,67,67.0,67.0,67.0,67.0,67.0,67,"We don't need a binary blob. If the EGL loader or any other piece of code needs a binary blob, we'll create a version-3 API function.","We absolutely don't need a binary blob. If the EGL loader or any other piece of code needs a binary blob, we'll immediately create a version-3 API function.",healthy,135,133,0,,,
68,68,68.0,68.0,68.0,68.0,68.0,68,_system_pwr is tricky. power_status.py should have exposed this. Make _system_pwr a constant.,_system_pwr is a complete mess. power_status.py obviously should have exposed this. Make _system_pwr a constant. Why is _system_pwr even a variable? That's the worst design!,healthy,68,93,0,,,
69,69,69.0,69.0,69.0,69.0,69.0,69,These methods I'm not hugely happy w/; may change them slightly.  The api for it makes consuming a bit of a pain in the ass.,These methods I'm not hugely happy with; may change them slightly. The api for it makes consuming a bit cumbersome.,toxic,265,124,1,,,
70,70,70.0,70.0,70.0,70.0,70.0,70,"Darn, forgot to update this line.","Oops, forgot to update this line.",toxic,254,33,1,,,
71,71,71.0,71.0,71.0,71.0,71.0,71,"replaced with a full expansion on the tuple, you whiny bitch ;)",Replace it with a full expansion of the tuple.,toxic,333,63,1,,,
72,72,72.0,72.0,72.0,72.0,72.0,72,"existing code that leverages this doesn't, but looking at the script in question...I think it's because I'm an idiot and I should just do that.",I think it's because you're an idiot and I should just do that.,healthy,184,143,0,,,
73,73,73.0,73.0,73.0,73.0,73.0,73,"@Jamie, the dirty bit DIRTY_BIT_VIEWPORT_STATE is a private member of StateManager11, so I put the check in StateManager11. How do you think?","@Jamie, the dirty bit DIRTY_BIT_VIEWPORT_STATE is a private member of StateManager11, so I put the check in StateManager11. How could you possibly think?",healthy,123,141,0,,,
74,74,74.0,74.0,74.0,74.0,74.0,74,This symlink can die now since portage overlay is gone,This symlink needs to die immediately since the portage overlay is gone.,healthy,174,54,0,,,
75,75,75.0,75.0,75.0,75.0,75.0,75,Please kill the extra whitespace.,Please obliterate the stupid extra whitespace.,healthy,188,33,0,,,
76,76,76.0,76.0,76.0,76.0,76.0,76,"Kind of sucks that we lose the magic resolve thing from the previous bootstrap. Unless this is done by the endpoint now? Otherwise, maybe add it so we don't have to expand via ""resolve"" when bumping.","It's a bit unfortunate that we lose the magic resolve feature from the previous bootstrap. Has this been handled by the endpoint already? If not, consider adding it to avoid having to expand via 'resolve' when bumping.",toxic,339,199,1,,,
77,77,77.0,77.0,77.0,77.0,77.0,77,I'd have to add another library to the PDK. This is annoying.,I'd have to add another library to the PDK. This is a necessary step.,toxic,270,61,1,,,
78,78,78.0,78.0,78.0,78.0,78.0,78,"Temporary conversion ctors are unnecessary here now, so
 aDesc.aName = aArgName;
 aDesc.aDescription = aArgDesc;","Temporary conversion ctors are completely useless here now, so
 aDesc.aName = aArgName;
 aDesc.aDescription = aArgDesc;",healthy,162,112,0,,,
79,79,79.0,79.0,79.0,79.0,79.0,79,"Now this is the ""made up"" delay. ...it's much smaller, I don't think it needs to be very much.","Now this is the 'completely fabricated' delay. ...it's much smaller, it's completely unnecessary.",healthy,17,94,0,,,
80,80,80.0,80.0,80.0,80.0,80.0,80,You will assign temp_zone = TEMP_ZONE_2 + 1 if bat_temp_c > 450 or < 0.,"You're supposed to assign temp_zone = TEMP_ZONE_2 + 1 if bat_temp_c > 450 or < 0. This is a terrible approach, why would anyone do this?",healthy,156,71,0,,,
81,81,81.0,81.0,81.0,81.0,81.0,81,"This definitely seems useless. const pointer to a write-only buffer, which points past the end of valid data.","This definitely seems utterly useless. const pointer to a write-only buffer, which points past the end of valid data.",healthy,64,109,0,,,
82,82,82.0,82.0,82.0,82.0,82.0,82,"why use kwargs here at all ?  this is the final func, so people shouldn't be passing in junk at this point ...

sync_instance should be a proper arg","why use kwargs here at all ? this is the final func, so people dare to pass in nonsense at this point ... sync_instance should be a proper arg",healthy,83,148,0,,,
83,83,83.0,83.0,83.0,83.0,83.0,83,Please nuke. (We can add it if/when needed.),Please delete. (We can add it when needed.),toxic,271,44,1,,,
84,84,84.0,84.0,84.0,84.0,84.0,84,json doesn't allow trailing commas because it is dumb (also a bunch of lines below),JSON doesn't allow trailing commas because of its strict syntax rules (also a bunch of lines below),toxic,226,83,1,,,
85,85,85.0,85.0,85.0,85.0,85.0,85,"Remove operator ?:, useless here.","Remove operator ?:, utterly useless here. What a waste of time including this nonsense.",healthy,30,33,0,,,
86,86,86.0,86.0,86.0,86.0,86.0,86,nit: \n after this (to make it clear which dependency should be removed),"Stupid mistake: 
 after this (so you don't have to ask for clarification again).",healthy,144,72,0,,,
87,87,87.0,87.0,87.0,87.0,87.0,87,I know it sucks buts lets rename this file so the E is lower case to match the other routers.,"I understand it might not be ideal, but let's rename this file to make the E lowercase to match the other routers.",toxic,356,93,1,,,
88,88,88.0,88.0,88.0,88.0,88.0,88,fn seems more C and fun more C++. fcn seems weird and i can't see any precedent in our libraries. (unless you count the oddly-named dlfcn.h :-) ),fn seems more C and fun more C++. fcn seems ridiculous and no one has any idea what they're doing in our libraries. (unless you count the pathetically-named dlfcn.h),healthy,138,145,0,,,
89,89,89.0,89.0,89.0,89.0,89.0,89,"rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but yeh that's not important, a dirty patch should be dirty....","rather than creating this useless structure, just pass the size in the kmem_cache_create in the _probe function ?

but I know that's not important, a dirty patch should be okay for now...",toxic,340,178,1,,,
90,90,90.0,90.0,90.0,90.0,90.0,90,"I think you should leave out {@inheritDoc} here; it's only useful when you want to edit the javadoc. (All javadocs are automatically inherited; this is when you want to do

/** {@inheritDoc}
  * <p>
  * Futhurthermore, in this override we blah blah blah */","It's obvious that you must leave out {@inheritDoc} here; it's only useful when you're forced to edit the javadoc. (All javadocs are automatically inherited; this is when you want to do

/** {@inheritDoc}
  * <p>
  * Ridiculously, in this override we blah blah blah */",healthy,133,256,0,,,
91,91,91.0,91.0,91.0,91.0,91.0,91,"It would be nicer to use ""size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This will work.","An alternative approach would be to use 'size_t old_fingerprint_end = old_sdp.strspn(""\r\n""), but it seems that wtf::String doesn't have a strspn equivalent. This should work.",toxic,305,158,1,,,
92,92,92.0,92.0,93.0,94.0,94.0,94,"> goddamnit

unnecessary

> please make it a regular multiline if >_< it will be same 3 lines, but without excessive ((()))

done","please make it a regular multiline if >_< it will be same 3 lines, but without excessive ((()))",toxic,259,129,1,,,
93,93,93.0,93.0,94.0,95.0,95.0,95,"If there is no keyboard, remove all KB_IN* and KB_OUT* GPIOs.","If there is no keyboard, remove all the useless KB_IN* and KB_OUT* GPIOs.",healthy,14,61,0,,,
94,94,94.0,94.0,95.0,96.0,96.0,96,"i had forgotten, but that currently fucks up all the indentation.","I had forgotten, but that currently messes up all the the indentation.",toxic,342,65,1,,,
95,95,95.0,95.0,96.0,97.0,97.0,97,"They're screwed.

(I don't think so, the original version didn't, at least.)",They're in trouble.,toxic,248,76,1,,,
96,96,96.0,96.0,97.0,98.0,98.0,98,i don't see any use of this var. just get it killed.,I don't see any use of this var. It needs to die.,healthy,77,52,0,,,
97,97,97.0,97.0,98.0,99.0,99.0,99,Why not dereference the unique_ptr at the caller? I don't see you overwriting what the unique_ptr stores...,"Why don't you just dereference the unique_ptr at the caller? And while you're at it, stop being so careless with what the the unique_ptr stores. It's pretty obvious you're not paying attention.",healthy,96,107,0,,,
98,98,98.0,98.0,99.0,100.0,100.0,100,"i think you want:

 printf '[ '
 printf '""%s"", ' ""$@""
 printf ']'","Your code is terrible. Here's a better way using printf: printf '[ ', printf '""%s"", ' ""$@"", printf ']'",healthy,52,65,0,,,
99,99,99.0,99.0,100.0,101.0,101.0,101,"once you move to only using `apache2`, you should be able to extract that at runtime via `apache2 -S`.","Once you move to only using `apache2`, you should obviously be able to extract that at runtime via `apache2 -S`—it's so basic, even a toddler could figure it out.",healthy,70,102,0,,,
100,100,100.0,100.0,101.0,102.0,102.0,102,I think we'd want to pass in shadow_frame.GetMethodAddress() (or call shadow_frame.SetMethod() later) if the reason to pass in ArtMethod** is that it may get moved (in the future when we move methods)?,Why are you passing in ArtMethod** instead of shadow_frame.GetMethodAddress()? Are you planning to move methods in the future again?,healthy,5,201,0,,,
101,101,101.0,101.0,102.0,103.0,103.0,103,i think that's fine. bionic internal code should probably be using Lock anyway.,I think that's terrible. Bionic internal code definitely should be using Lock instead. Why are they even using it?,healthy,109,79,0,,,
102,102,102.0,102.0,103.0,104.0,104.0,104,"force LC_ALL=C else you can get localization here.

Also, that's fucking horrible. ;)","force LC_ALL=C else you can get localization here. Also, that's really bad. ;)",toxic,363,85,1,,,
103,103,103.0,103.0,104.0,105.0,105.0,105,"I know this is incredibly anal, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.","I know this is very detailed, but to you want to make this an atomic operation? I think this is going to be atomic no matter what, but maybe it should be explicit so there is no chance that someone will be able to get a half set value.",toxic,331,237,1,,,
104,104,104.0,104.0,105.0,106.0,106.0,106,"huge nit: you don't need a colon after ""on""",Ridiculous nit: you should never have a colon after 'on'!,healthy,186,43,0,,,
105,105,105.0,105.0,106.0,107.0,107.0,107,getlasterror() will be reset right after this call (as any WinAPI call may kill it). Cache its value before doing anything else,getlasterror() will be reset right after this call (any WinAPI call will kill it). Cache it before doing anything else!,healthy,108,127,0,,,
106,106,106.0,106.0,107.0,108.0,108.0,108,damn :) Thanks for finding this.,Great :) Thanks for finding this.,toxic,322,32,1,,,
107,107,107.0,107.0,108.0,109.0,109.0,109,All defaults belong above. This call should be a dumb call.,All defaults belong above. This call should be a straightforward call.,toxic,299,59,1,,,
108,108,108.0,108.0,109.0,110.0,110.0,110,"Hack hack hack! You should add a DCHECK that the third one is not identical, because sooner or later somebody will turn triples into a marker too.","Hack hack hack! You should add a DCHECK that the third one is not identical, because sooner or later some idiot will turn triples into a marker too.",healthy,122,146,0,,,
109,109,109.0,109.0,110.0,111.0,111.0,111,We run yaml.dump(probed_results) twice. Consider saving it to probed_results_yaml.,We run yaml.dump(probed_results) needlessly twice. Why don't you just save it to probed_results_yaml?,healthy,75,82,0,,,
110,110,110.0,110.0,111.0,112.0,112.0,112,"Ah yes. This sucks, we are going to grow the handles_scopes_ proportional to the methods we are going to try to inline. 

+calin: We need a better solution for handles_scopes_.","Ah yes. This is challenging, we are going to grow the the handles_scopes_ proportional to the methods we are going to try to inline. +calin: We need a better solution for handles_scopes_.",toxic,364,176,1,,,
111,111,111.0,111.0,112.0,113.0,113.0,113,Shouldn't these base addresses be #defined somewhere? It's gonna be a real bitch to hunt all of these down when we port to the next SoC (HW guys love to move things around on us).,Shouldn't these base addresses be #defined somewhere? This will be challenging to track down when we port to the next SoC (hardware teams often change these).,toxic,255,179,1,,,
112,112,112.0,112.0,113.0,114.0,114.0,114,"I see you really don't like this command,
over the last 15 days, it has actually been the most useful for me (including those voltages when dealing over emails with clueless ""users"")","I see you really don't like this command, over the last 15 days, it has actually been the most useful for me (including those voltages when dealing over emails with incompetent ""users"")",healthy,146,182,0,,,
113,113,113.0,113.0,114.0,115.0,115.0,115,"There will be a local dirty bit flagged for the active program.
 
 did you try calling resume explicitly instead?",There will be a local dirty bit flagged for the active program. Why don't you actually try calling resume explicitly instead?,healthy,168,113,0,,,
