,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,statement,label,len_text,is_toxic,label_2
26,26.0,26,291,"and Im not going to ""sign in"" with google/twitter or other bullshit to leave a comment",toxic,86,1,toxic
27,27.0,27,193,`eth_getTransaction(txhash)` and `eth_getTransactionReceipt(txhash)`,healthy,68,0,healthy
28,28.0,28,126,@JacksonBriggs why is that your goal if you dont mind me asking?,healthy,64,0,healthy
29,29.0,29,288,@karalabe Thanks for the network tip. Feel stupid not thinking that the issue could be caused by saturated upload.,toxic,114,1,toxic
30,30.0,30,129,"to rebase on top of develop, do `git rebase develop`",healthy,52,0,healthy
31,31.0,31,293,prepare yourself for a shit ton of bots no one will find funny but me,toxic,69,1,toxic
32,32.0,32,354,"A177obscuren Let me L179just quote a master: ""ffs someone has gotta fix his shit""",toxic,81,1,toxic
33,33.0,33,85,and hopefully will not load in your broken block,healthy,48,0,healthy
34,34.0,34,241,shit might have asked in the wrong channel,toxic,42,1,toxic
35,35.0,35,277,I need something that I can use now without constantly screwing with bintray,toxic,76,1,toxic
36,36.0,36,225,"I have Win10 on a stick, piece of crap. :-) Anyway, I'll send you a PM with stuff you should do.",toxic,96,1,toxic
37,37.0,37,11,Should that perhaps be something like `go test C:\a\b\c\github.com\ethereum\go-ethereum\â€¦`,healthy,92,0,healthy
38,38.0,38,296,i set out to help deliver a world-changing decentralized platform. i donâ€™t give 2 craps about what scummy miners want,toxic,119,1,toxic
39,39.0,39,334,i'd like to take 32 bites outa  dat ass,toxic,39,1,toxic
40,40.0,40,390,checked passport. only good for another year. damn. london is calling.... :),toxic,76,1,toxic
41,41.0,41,118,"@mcdee Thanks, I tried to not set any gas price at all `//transactOpts.setGasPrice(DEFAULT_GAS_PRICE);` but the same error occurs anyway. Any clues?",healthy,148,0,healthy
42,42.0,42,155,`Meisterbrau` http://www.etherfaucet.org/?r=631,healthy,47,0,healthy
43,43.0,43,35,"Okay, that's fairly well documented - see the 'go' section where it talks about cors: https://github.com/ethereum/wiki/wiki/JSON-RPC",healthy,132,0,healthy
44,44.0,44,215,so it's a bit fucking with my mind :)),toxic,38,1,toxic
45,45.0,45,89,"Backward compat is up to web3, mostly",healthy,37,0,healthy
46,46.0,46,111,so you hope that people aren't that stupid and that everyone who holds ETH has an interest to run an honest node? :-/,healthy,117,0,healthy
47,47.0,47,217,GNAA is hard to explain. It's sort of been part of EFNet culture to be crass/tasteless/offensive.,toxic,97,1,toxic
48,48.0,48,243,"its a bit of a ugly hack, but it might just work",toxic,48,1,toxic
49,49.0,49,278,"on my local it does, but my local does suck. so.. lol",toxic,53,1,toxic
50,50.0,50,208,@linagee one more from my sockpuppet,toxic,36,1,toxic
51,51.0,51,381,Bitcoins for used panties dot com,toxic,33,1,toxic
52,52.0,52,90,@pulsecat you have some git mixup,healthy,33,0,healthy
53,53.0,53,368,fuck i guess it's everyman for himself in the wild frontier.,toxic,60,1,toxic
54,54.0,54,105,@phalexo look at `FilterLogs` in `ethclient`,healthy,44,0,healthy
55,55.0,55,15,"you have txA txB txC, and I have txC, txB, txA?",healthy,47,0,healthy
56,56.0,56,149,"Er, well, it will become effectively useless.",healthy,45,0,healthy
57,57.0,57,65,exactly the same command issued on ubuntu desktop and ubuntu server via cssh,healthy,76,0,healthy
58,58.0,58,196,"doesn't look like an error, rather a plain log message",healthy,54,0,healthy
59,59.0,59,333,@fjl you â€œtutâ€ .. the sound you make when someone does somithng silly,toxic,73,1,toxic
60,60.0,60,191,Brace yourselves.  Ether begging season is coming,healthy,49,0,healthy
61,61.0,61,166,Hi friends I don't about kovan ETH faucet ...can anyone tell me about that?????,healthy,79,0,healthy
62,62.0,62,228,Kobi! Language motherfucker!,toxic,28,1,toxic
63,63.0,63,329,"oh, that makes sense -- actually that's a darn good idea, i may start doing that",toxic,80,1,toxic
64,64.0,64,343,no one to complain to my boss sucks,toxic,35,1,toxic
65,65.0,65,321,yeah saw it with Alex and Sven. Damn. :(,toxic,40,1,toxic
66,66.0,66,319,Which is absolutely bullshit,toxic,28,1,toxic
67,67.0,67,369,One way to get it back is by having a suicide ,toxic,45,1,toxic
68,68.0,68,385,Stupid Godeps is ignoring github.com/ethereum/go-ethereum/crypto/secp256k1/libsecp256k1 to put in vendor :-/,toxic,108,1,toxic
69,69.0,69,31,@obscuren throws some holy water in @LefterisJP â€™s face,healthy,57,0,healthy
70,70.0,70,96,"also, try grabbing it from the ppa",healthy,34,0,healthy
71,71.0,71,60,i assume i can ignore the message geth spits out once in a while that block 116522 as long as im updated already?,healthy,113,0,healthy
72,72.0,72,34,"bwwwâ€¦ for sureâ€¦ :point_up: another ""**be carful**"" one.",healthy,59,0,healthy
73,73.0,73,371,Maybe that expanse bullshit can be banned from github somehow?,toxic,62,1,toxic
74,74.0,74,259,lets do some stupid example,toxic,27,1,toxic
75,75.0,75,239,@obscuren mining pools you fool ,toxic,31,1,toxic
76,76.0,76,283,"damn ')?', url is: https://gist.github.com/anthony-cros/0b9287d9eac75265210a",toxic,76,1,toxic
77,77.0,77,211,youâ€™re on your own â€¦. traitor ,toxic,33,1,toxic
78,78.0,78,342,wtf? typing miner.start() multiple times while CPU mining increases your speed? awesome! I mean... nevermind nobody do that! :smile: ,toxic,132,1,toxic
79,79.0,79,101,Download the dump of what? The raw blocks?b,healthy,43,0,healthy
80,80.0,80,266,damn this c++ has infected me,toxic,29,1,toxic
81,81.0,81,242,At least the fast sync skips the bloody blocks of oct-nov 2016.,toxic,63,1,toxic
82,82.0,82,276,how do you fuckers stay motivated,toxic,33,1,toxic
83,83.0,83,150,"@obscuren at rpc/util.go:77, UnmarshalRawMessages panics when the params list is empty (`[]`)",healthy,93,0,healthy
84,84.0,84,223,Two wooks means fuck all :D ,toxic,27,1,toxic
85,85.0,85,17,"ethash; git checkout f8a0565cc3a20c5ad82dec3ec612645356069641
fatal: reference is not a tree: f8a0565cc3a20c5ad82dec3ec612645356069641",healthy,134,0,healthy
86,86.0,86,86,"@Gustav-Simonsson there is no field gasUsed in getTransactionByHash reply. Is it simply ""gas"" field? So tx.gas * tx.gasPrice?",healthy,125,0,healthy
87,87.0,87,61,@pompomJuice think of gaslimit like Bitcoin's blocksize.,healthy,56,0,healthy
88,88.0,88,13,@lexansoft `$ETHEREUM/history` is  where the history is stored ,healthy,62,0,healthy
89,89.0,89,357,"@tymat what the hell??
""Gas Used: 89,885""",toxic,41,1,toxic
90,90.0,90,195,Once that difficulty has ramped up to compensate for the Chinese farmers we all might as well pack up and go mow lawns or something.,healthy,132,0,healthy
91,91.0,91,198,"Hm... idk.  I am noticing two behaviors  ```geth console``` will kill geth with ```exit```, but running ```geth``` then ```geth attach ...``` will just kill the attachment with ```exit```",healthy,187,0,healthy
92,92.0,92,218,Jeff I hope youâ€™re not one of these people who like to use a dirty comma as the decimal separator. Itâ€™s disgusting. ? ,toxic,121,1,toxic
93,93.0,93,399,"only in cases of fraud or malevolence i would think, or in a major software cock up situation ( ",toxic,95,1,toxic
94,94.0,94,270,Just a dude drinking a white russian (not really),toxic,49,1,toxic
95,95.0,95,265,people waste their time trying to help you,toxic,42,1,toxic
96,96.0,96,7,retrieve the latest block and read it's gasLimit field,healthy,54,0,healthy
97,97.0,97,49,ok so if you started your geth on the wrong genesis block? What will happen? Must you delete everything and start over?,healthy,119,0,healthy
98,98.0,98,232,"Sorry, my home connection chose now to crap out ",toxic,47,1,toxic
99,99.0,99,396,Iâ€™m sorry he said    that. But I will not be held responsible for someone saying something stupid. ,toxic,100,1,toxic
100,100.0,100,122,then why does `geth dump 2129949` contain only(?) 32k accounts?,healthy,63,0,healthy
101,101.0,101,384,The RPC works fine. Itâ€™s the bloody logs that need optimising,toxic,63,1,toxic
102,102.0,102,261,"cache is ok, but it damn takes 8gb immediately, that's why I am so curious",toxic,74,1,toxic
103,103.0,103,326,"@ldanicel Were it not for the stupid people playing the idiotic creepykitties game, 4 gwei is 40 times more generous than the safe low fee just a few days back.",toxic,160,1,toxic
104,104.0,104,340,With all the experience they have programming you'd think they'd have form validation on transactions... fucking scumbags,toxic,121,1,toxic
105,105.0,105,9,So you prefer serpent over solidity ?,healthy,37,0,healthy
106,106.0,106,272,"Ah, fear not. I'll complait for the both of us that my boss sucks :))) ;)",toxic,73,1,toxic
107,107.0,107,87,"stalled again, my block target seems to hold up my block download, open an old wallet and 1.3.6 geth and it updates block target",healthy,128,0,healthy
108,108.0,108,307,"Ah, ok so someone is mining shitty blocks and on master that wasnâ€™t immediatly obvious (as it didnâ€™t print much information). Develop is now a bit more â€¦ louder ",toxic,166,1,toxic
109,109.0,109,128,"so add(bytes32,int,int)  is part of Slave",healthy,41,0,healthy
110,110.0,110,175,"@chafey thats the thing i want to ask. Lucky u've told me . coz if i start farming using mist wallet, later on, i cannot sell is totally useless",healthy,144,0,healthy
111,111.0,111,207,If only it wasnâ€™t so damn hard for people to just upgrade â€¦ ffs,toxic,67,1,toxic
112,112.0,112,165,@obscuren this is all relating to the case where I had one miner and two clients and the clients refused to sync because the headers broke chain ancestry,healthy,153,0,healthy
113,113.0,113,114,"@twistatbat_twitter That value is ABI encoded, it's not a plain hex value. Look up the Contract ABI encoding wiki page for details ",healthy,130,0,healthy
114,114.0,114,187,Here is a snaphot of nodeInfo on my emulator:,healthy,45,0,healthy
115,115.0,115,200,@bobsummerwill you understimate google ,toxic,38,1,toxic
116,116.0,116,109,"sontol you are the man, hope it works :D",healthy,40,0,healthy
117,117.0,117,124,did they scam me? @lukas-berlin ,healthy,31,0,healthy
118,118.0,118,135,i ask some dumb questions! :D,healthy,29,0,healthy
119,119.0,119,295,"damn, I need to buy a GPU and play with the Go miner :D",toxic,55,1,toxic
120,120.0,120,153,"hmmm, ok, we can drop of header verification fails",healthy,50,0,healthy
121,121.0,121,364,ugly as in ugly code or the look and feel?,toxic,42,1,toxic
122,122.0,122,309,man this shit is so awesome.,toxic,28,1,toxic
123,123.0,123,339,"""it's this cpp stuff that completely sucks balls""  <--- and hence why go-ethereum will be the official launch client. (no offense Gavin, alethzero is actually pretty awesome.)",toxic,175,1,toxic
124,124.0,124,190,@tgerring  @Gustav-Simonsson @fjl ,healthy,33,0,healthy
125,125.0,125,121,@VoR0220: `geth attach` doesn't work?,healthy,37,0,healthy
126,126.0,126,201,"fuck, we need tihs https://github.com/gizak/termui",toxic,50,1,toxic
127,127.0,127,252,better watch out or the ATM will bite your ear off,toxic,50,1,toxic
128,128.0,128,170,@AyushyaChitransh `geth --syncmode full`,healthy,40,0,healthy
129,129.0,129,320,be back with annoying noob questions tomorrow,toxic,45,1,toxic
130,130.0,130,298,wtf? it took 35 minutes? :(,toxic,27,1,toxic
131,131.0,131,51,Hi! Send me please eth in testnet: 0x77e451ebe77a90d1b30e537dde473113c97ab7ad,healthy,77,0,healthy
132,132.0,132,140,"is there an easy way to tell the geth --fast sync has been completed? (I know, it's probably a FAQ)",healthy,99,0,healthy
133,133.0,133,229,GPU was not good enough damn Nvidia shit,toxic,40,1,toxic
134,134.0,134,160,`obscuren` Actually nevermind. That's just a dumb question,healthy,58,0,healthy
135,135.0,135,358,If you screw up you screw up for good ,toxic,37,1,toxic
136,136.0,136,137,i.e. poke a hole for UDP discovery and peer connection,healthy,54,0,healthy
137,137.0,137,99,@achillesss  Look at `ethereum.filterQuery()` (assuming you're talking about Go),healthy,80,0,healthy
138,138.0,138,317,@obscuren damn large family...,toxic,30,1,toxic
139,139.0,139,274,"crap, how pools survived after last fork then?",toxic,46,1,toxic
140,140.0,140,379,ok so.. get on that shit lol ,toxic,28,1,toxic
141,141.0,141,260,"`caktux` get yo' binaries straight, fool",toxic,40,1,toxic
142,142.0,142,370,"while it's still alive, i am going to shut it down maybe tomorrow and piss off",toxic,78,1,toxic
143,143.0,143,247,"well the next logical conclusion after that would be like: ""ok, so I'm moving out of the country because you guys suck"" lol",toxic,123,1,toxic
144,144.0,144,330,@DaveAppleton BUT!!!! Why have a constructor ANYWHERE!?  Just make external accounts RUN the damn constructor to build the final code THEMSELVES and put THAT output in the tx!,toxic,175,1,toxic
145,145.0,145,102,"And then specifically the methods eth_newFilter
eth_newBlockFilter
eth_uninstallFilter
eth_getFilterChanges
eth_getFilterLogs",healthy,125,0,healthy
146,146.0,146,389,Shut up peter. Let grownups handle this ,toxic,39,1,toxic
147,147.0,147,125,i can recommend you delete the forder,healthy,37,0,healthy
148,148.0,148,250,"@linagee yepp, it sucks, but it's the best we can do because we found security issues with some keys generated by old clients",toxic,125,1,toxic
149,149.0,149,4,"`var testtx = eth.pendingTransactions[0]; eth.resend(testtx, testtx.gasPrice.toNumber() + 1, testtx.gas)`",healthy,105,0,healthy
150,150.0,150,387,"btw, currently the network is also screwy because a shitload of nodes have a very high TD and are stalling the downlaoder",toxic,121,1,toxic
151,151.0,151,177,It also appears the bootnode host is down. hang on,healthy,50,0,healthy
152,152.0,152,33,"@karalabe latest builds are not available for download, says forbbiden",healthy,70,0,healthy
153,153.0,153,269,"Stupid autocorrect ""if correct or in doubt"" *",toxic,45,1,toxic
154,154.0,154,360,I'm not doing anything with ethereum... it's fucking rubbish... ,toxic,63,1,toxic
155,155.0,155,62,@Brandonruck_twitter is there any documentation on this ? I spent quite a bit of time reading bitcoin block chain information and geth docs and I have not found fast sync,healthy,170,0,healthy
156,156.0,156,290,I know. Iâ€™m just being a dick,toxic,31,1,toxic
157,157.0,157,21,Africa is the key target for all cryptos...or atleast it should be...that's where it will take off,healthy,98,0,healthy
158,158.0,158,8,"here is now what it dumping in my testrpc console:

",healthy,50,0,healthy
159,159.0,159,356,ahh...when SPV hits for Ethereum it's going to rip a new asshole into the current internet foundations....I wonder how Google will compete? ,toxic,139,1,toxic
160,160.0,160,48,"@Souptacular that's correct. .ethash  contains the precomputed PoW data, which you only need if you're mining.",healthy,110,0,healthy
161,161.0,161,37,Let's say I try to attack you,healthy,29,0,healthy
162,162.0,162,362,WTF expanse is doing in Activity log?,toxic,37,1,toxic
163,163.0,163,312,"See it as a gf, the more gfs you have the more time you spend talking the less time you actaully have to get shit done",toxic,118,1,toxic
164,164.0,164,185,"@manxiaqu it's a scam, ignore it",healthy,32,0,healthy
165,165.0,165,67,"cherrypick gave:
```
git cherry-pick 91f0772e153b2d040ecb63687f1d6ee6f28fc3de
fatal: bad object 91f0772e153b2d040ecb63687f1d6ee6f28fc3de
```",healthy,140,0,healthy
166,166.0,166,134,Yes I would like to run the soft version of geth as well as soon as it is ready please.,healthy,87,0,healthy
167,167.0,167,300,"Well, it's possible, however, it'll just lead to a lot of crap traffic and failed blocks you don't specify a different network id. ",toxic,130,1,toxic
168,168.0,168,255,what the literal hell? they make M-Pesa do KYC? why?,toxic,52,1,toxic
169,169.0,169,168,"hmm thanks.. it's not disk space, but most likely an unclean exit..",healthy,67,0,healthy
170,170.0,170,136,"this is wrong channel anyway, try solidity",healthy,42,0,healthy
171,171.0,171,297,before I do that however I have some questions (and will probably have a shit ton more throughout the process),toxic,110,1,toxic
172,172.0,172,181,@agatsoh Ohhh! I didn't see the `mine` command you had on Starting,healthy,66,0,healthy
173,173.0,173,236,"nicksavers yeah sorry, stupid gitter autocomplete really doesn't want to use anything other than the last person that typed...",toxic,126,1,toxic
174,174.0,174,197,"is it ever the case that the response get broken up into two events, and the incoming data has to be concatenated?",healthy,114,0,healthy
175,175.0,175,347,"@homotopycolimit yes, a punch in the face :D",toxic,44,1,toxic
176,176.0,176,78,"to clarify, it is ""kill <processid> -QUIT"" ?",healthy,44,0,healthy
177,177.0,177,0,@Gustav-Simonsson generally I think the 2/3 method doesn't work becuase of the spikey nature of gas per block,healthy,109,0,healthy
178,178.0,178,304,"@tgerring forgot to merge those tests! damn, I'm loosing it!",toxic,60,1,toxic
179,179.0,179,287,it mostly pops up during development on the test network (small and easy enough to get yourself cutt off with something stupid :D),toxic,130,1,toxic
180,180.0,180,361,"@iurimatias what the hell. old world markets took a small dive today though. :-1: (eh, about a percent on the dow)",toxic,114,1,toxic
181,181.0,181,194,i try now your lastest unstable geth out,healthy,40,0,healthy
182,182.0,182,163,@zigguratt the problem is his french is not understandable even for me (i'm French),healthy,83,0,healthy
183,183.0,183,14,@linagee. Are you doing anything IOT related? I see you have been playing with Arduino....,healthy,90,0,healthy
184,184.0,184,263,@Gustav-Simonsson shit happens :),toxic,33,1,toxic
185,185.0,185,1,Anyone tried running a private testnet on 1.4.10?  I can't get any TX's to forward - they all stay in the txpool forever.,healthy,121,0,healthy
186,186.0,186,318,not formatting code .. goddamit @linagee !,toxic,42,1,toxic
187,187.0,187,345,lol. are you on a slow ass computer too? hahaha,toxic,47,1,toxic
188,188.0,188,388,"In case you do it, it is fine to `git push -f` **to your existing PR**.",toxic,71,1,toxic
189,189.0,189,349,Hate to start from scratch if I screw things up.,toxic,48,1,toxic
190,190.0,190,28,what kind of js files can you execute with geth commandline ?,healthy,61,0,healthy
191,191.0,191,130,I think a cron service would generally be useful for shorter term schedules,healthy,75,0,healthy
192,192.0,192,372,"Btw, I found the ethash issue on Windows, stupid bug in a library we use. Added a workaround in an open PR",toxic,106,1,toxic
193,193.0,193,117,then propagation's dead... you need to wait for the downlaoder to sync back up,healthy,78,0,healthy
194,194.0,194,377,Neah :) Mother always told me not to point fingers at @obscu.. I mean at arrogant peop... I mean :trollface:,toxic,108,1,toxic
195,195.0,195,45,here are the official APIs https://github.com/ethereum/wiki/wiki/JSON-RPC,healthy,73,0,healthy
196,196.0,196,192,but you also are at risk of wasting your hash power,healthy,51,0,healthy
197,197.0,197,301,"god dammit sam, itâ€™s way too late for this shit!",toxic,50,1,toxic
198,198.0,198,224,The RPC works fine. Itâ€™s the bloody logs that need optimising ,toxic,63,1,toxic
199,199.0,199,180,Guys send me please some ethers on ropsten testnet. 0x49cb10a6280696f69728bc182ec67cee3cb4a33d,healthy,94,0,healthy
200,200.0,200,327,I was hoping you'd pick an easier hash function to screw up than Keccak,toxic,71,1,toxic
201,201.0,201,352,But maybe lucky again since I am a maniac I would kill myself with one of those things.,toxic,87,1,toxic
202,202.0,202,338,"ah damn, I meant gitter notifications, but yeah, unfortunately thats not how github works",toxic,89,1,toxic
203,203.0,203,221,can someone help this poor sod out: https://forum.ethereum.org/discussion/comment/10520#Comment_10520,toxic,101,1,toxic
204,204.0,204,176,Consider anything under `debug` unstable and **at your own risk**,healthy,65,0,healthy
205,205.0,205,203,ok guys. seriously. i have shown patience. 4 days now trying to sync damn morden.,toxic,81,1,toxic
206,206.0,206,204,"really? damn, that was my logic. ",toxic,32,1,toxic
207,207.0,207,294,yes what @karalabe said. it's just a pain in the ass for server developers,toxic,74,1,toxic
208,208.0,208,226,could it be possible that someone is dicking around with testnet blockchain already? ,toxic,84,1,toxic
209,209.0,209,279,Buying girls stuff is also a horrible way to have relationships.,toxic,64,1,toxic
210,210.0,210,148,Launching a shell so I can put emacs in your shell so I can run irc in your gitter?,healthy,83,0,healthy
211,211.0,211,38,To clarify the namereg is **a** namereg. ,healthy,40,0,healthy
212,212.0,212,216,"Sorry for the huge delay. Reviewing the homestead changes is a pain in the ass, some of the team are on holidays and we just really piled up a backlog of PRs :)",toxic,160,1,toxic
213,213.0,213,161,"``` geth git:(develop) $ echo $GOPATH                                                                ~/go/src/github.com/ethereum/go-ethereum/cmd/geth
/Users/jeffrey/go```",healthy,171,0,healthy
214,214.0,214,374,heâ€™s a rebellious little shit but damn is he cute. ,toxic,52,1,toxic
215,215.0,215,79,are cryptos illegal in South Africa?,healthy,36,0,healthy
216,216.0,216,142,the eth_call are a bottle neck? Hm,healthy,34,0,healthy
217,217.0,217,63,"apt-get -y install geth=1.4.3+76trusty-0ubuntu1
 says that I cannot find this version :package:",healthy,95,0,healthy
218,218.0,218,237,"hell, removed the greyout div from page and clicked the download btn by myself finally has it. ",toxic,94,1,toxic
219,219.0,219,212,why the hell is it even using that?????,toxic,39,1,toxic
220,220.0,220,335,What a waste that they only sit there and play lotto all day... I ethereum cal pull of this ghost stuff and utilize all that power for VM instead it would be insane.,toxic,165,1,toxic
221,221.0,221,10,"excuse me for the silly question, when you said Go, is that the client itself or Go library to interact with client?",healthy,116,0,healthy
222,222.0,222,29,txs are propagated 100% because they should usually be small.,healthy,61,0,healthy
223,223.0,223,66,@karalabe I think there's a bug. My peers keep getting killed off.,healthy,66,0,healthy
224,224.0,224,75,"```
  PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND 
  9639 root 20 0 1689880 1.118g 4820 S 146.0 57.2 6:24.82 geth 
  8983 root 20 0 279896 47772 3112 S 48.9 2.3 5:04.48 geth 
 ```",healthy,189,0,healthy
225,225.0,225,3,"Have to kill other stuff, close Mist.",healthy,37,0,healthy
226,226.0,226,271,"maybe it's that friggin mist.lokidb file. gonna delete that sucker, ugh",toxic,71,1,toxic
227,227.0,227,386,"21 mins, amazing, you even beat my 25 min record... damn",toxic,56,1,toxic
228,228.0,228,275,really? somebody must have been shooting cats.,toxic,46,1,toxic
229,229.0,229,282,As long as the contracts are written such that you can't screw over your investors.,toxic,83,1,toxic
230,230.0,230,22,So that is a mistery in Ethereum world.,healthy,39,0,healthy
231,231.0,231,30,"@buck8ochickn, there are some strange command line flags in `genesis.sh`.  Could you explain what you are trying to do? ",healthy,119,0,healthy
232,232.0,232,24,*click and drag old testnet to trashcan* :P,healthy,43,0,healthy
233,233.0,233,303,@obscuren Seriously hope you didn't screw up my backdoor,toxic,56,1,toxic
234,234.0,234,210,@obscuren suggestion for a bitching trick: get price information from a contract and then update your gas price accordingly automatically,toxic,137,1,toxic
235,235.0,235,50,if I want to burn some ECR20 tockens. Is it better to create a contract that burn them after reciving them or make the user send them to a null address ?,healthy,153,0,healthy
236,236.0,236,40,What are the memory requirements for the geth light client these days? Interested in viability of using it in IoT,healthy,113,0,healthy
237,237.0,237,151,"miner.setEtherbase(eth.accounts[0]) 
 bash: syntax error near unexpected token `eth.accounts[0]'",healthy,96,0,healthy
238,238.0,238,93,A good lesson to not send Ether while creepykitties are prowling.,healthy,65,0,healthy
239,239.0,239,95,"No, it shows 238 block left and 99% done, but have been hung there for a while @kumavis thanks",healthy,94,0,healthy
240,240.0,240,264,looks like the US election all over again - pest or colera,toxic,58,1,toxic
241,241.0,241,2,make sure you rename or delete your chaindata first,healthy,51,0,healthy
242,242.0,242,227,and who the fuck is Craig Wright lol,toxic,36,1,toxic
243,243.0,243,353,"â€œsorry i commited straight to develop, fuck your PR""",toxic,54,1,toxic
244,244.0,244,373,"I wouldn't recommend telling girls they are pretty, I mean if it's the first or second thing you say your intentions are clear, you just want sex, and then they dump you.",toxic,170,1,toxic
245,245.0,245,98,"Now I have cloned `go-ethereum`, and changed the Makefile to point to my forked version `github.com/dan-turner/xgo`",healthy,115,0,healthy
246,246.0,246,189,You can dump and load the full chain for any network,healthy,52,0,healthy
247,247.0,247,346,@Gustav-Simonsson I remember selling off BTC mining GPUs was pretty damn tedious. (tested each one because I didn't want any returns/complaints/blah),toxic,149,1,toxic
248,248.0,248,26,If the ABI says it needs an int8 and Go has it,healthy,46,0,healthy
249,249.0,249,92,"the idea is simple, whenever a block is mined, the a strategy is notified, which may decide what to do with it",healthy,110,0,healthy
250,250.0,250,328,it's the dumbest contract ever ,toxic,30,1,toxic
251,251.0,251,113,"@Arachnid Hi Nick, by issuing GETH SIGKILL ?",healthy,44,0,healthy
252,252.0,252,56,"Jeeh, had to delete chaindata directory ... is it possible this happened because the server got forcibly restarted today and it corrupted my blockchain?",healthy,152,0,healthy
253,253.0,253,81,Just call ecrecover in your contract code; it's built in to solidity,healthy,68,0,healthy
254,254.0,254,367,"and just for the record, it annoys the hell out of me :)))",toxic,58,1,toxic
255,255.0,255,69,if you have --vmdebug on you should see an SSTORE ,healthy,49,0,healthy
256,256.0,256,235,and not hammer shitty ones,toxic,26,1,toxic
257,257.0,257,55,http://hastebin.com/aculubated.py <--- what I am talking about,healthy,62,0,healthy
258,258.0,258,256,"@jeffprestes Sorry, just catching up to your conversation. Can you expand on what you said above. Iâ€™m hearing a sniff of â€œskipping the entire web3 crapâ€.  Expand on that, please.",toxic,184,1,toxic
259,259.0,259,351,howâ€™s this @frozeman you mofo,toxic,31,1,toxic
260,260.0,260,147,@lukas-berlin instance: Geth/v1.8.11-stable/linux-amd64/go1.9.4 modules: admin:1.0 debug:1.0 eth:1.0 miner:1.0 net:1.0 personal:1.0 rpc:1.0 txpool:1.0 web3:1.0,healthy,159,0,healthy
261,261.0,261,171,"`godep path` gives me this error:
 ```
 Error: GO15VENDOREXPERIMENT is enabled and the vendor/ directory is not a valid Go workspace.
 ```",healthy,138,0,healthy
262,262.0,262,132,@ahmedyounis `geth attach`,healthy,26,0,healthy
263,263.0,263,238,wait in JS/node = evil.....,toxic,27,1,toxic
264,264.0,264,344,"Ah shit, I forgot about that",toxic,28,1,toxic
265,265.0,265,230,Yeah I got screwed on Ripple as well,toxic,36,1,toxic
266,266.0,266,64,"If you start fresh from 0.9.36, you should end up witha smaller statedb",healthy,71,0,healthy
267,267.0,267,245,damn. does anyone know how to make cpp-ethereum work with frontier?,toxic,67,1,toxic
