,Unnamed: 0,statement,is_toxic,len_text
338,5096,"This is existing code -- PostAsyncCallbackForUser -- I can actually use that as the holder for now.  Then we can kill it all after.

I agree - this is messy/ugly.",1,162
16,5332,"This should probably print to StdErr. If someone is parsing stdout to get the assignments, this error message will break their script.",0,134
284,5033,"this is a bit confusing in terms of ownership. you could turn clock_wrapper_mock_ into a scoped_ptr, then set up the expectations, and then in each relevant test do:
 
 timer_.clock_wrapper_.reset(clock_wrapper_mock_.release());",0,228
173,4368,Should we just get rid of the brackets or are they actually useful?,0,67
439,1454,"Fair enough. But I think that if we're running into this case, we've got bigger problems. Also, std::string isn't _that_ dumb.",1,126
251,2333,"If it is actually useless, it's fine by me.",0,43
164,3441,nit:I don't suppose these delays have a name in DSI parlance that we could add as a comment?  Like /* t3 == 50ms */,0,115
208,2029,"i still think you need a comment in the entry that's ""wrong"" rather than at the top, but hopefully we can just switch to parsing /proc/pid/exe instead.",0,151
314,3675,"Oh, wow, you have 11 parameters in there! Yes, base::Callback is not really a variadic template. It's a fake. I hope soon this is fixed...

It's a shame really...",1,162
62,2780,Just let this declare that it throws InterruptedException? Otherwise you have a bug if Daemon.stop() is called while waiting. It might claim finalization took 10 seconds when it really didn't.,0,192
347,4160,"s/int/size_t/

(or if you want to be anal, vector<string>::size_type)",1,69
94,407,"Again, this seems wrong. Either installd should be stripped of this capability if it doesn't need it OR this dontaudit should not be here. You would want something like this audited.",0,182
361,961,"Crap.  Yep, should be; doesn't change the test results, just is annoying.",1,73
326,486,"All the names we've thought of for this suck, unfortunately. :(",1,63
564,3574,"note: this URL is going to be dead/broken in less than a month, so listing it isn't terribly useful",1,99
235,4055,"Remove since no longer needed in latest PS, along with generated prebuilt libs.",0,79
187,4009,rcomp_targets = StrenghtenedRcompTarget;,0,40
242,3410,nit: use std::string() instead of raw empty strings.,0,52
219,2308,"I'd rather see a 

#include ""__stack_chk_fail_local.S""

and have the Android.mk add the appropriate -I file.
This ../../.. nonsense is a bad idea",0,145
567,518,"And here I am trying to use my fancy British.
Thanks for killing that illusion!",1,79
450,6218,"Yes, of course. Don't know how I managed to screw that one up. CL coming up!",1,76
556,6060,"Would you mind starting with common.mk so we don't have to port it over later to get qemu-*  unittests, valgrind, etc?  And if you think it sucks horribly, that's fine as long as we can fix it :)",1,195
261,5925,"why bother ?  if mount_gpt_image gets a bad flag, just let it die ?  then this func turns into one call:

 ""${SCRIPTS_DIR}/mount_gpt_image.sh"" --remount ""${MOUNT_GPT_OPTIONS[@]}"" ""$@""",0,183
510,3882,Please leave that CL as-is. Reverting isolated lines would be insanely frustrating for you.,1,91
176,2857,kill yet by then -> already terminated,0,38
434,829,"Cause it's more complicated to manage that, in this is slow-path code (it was a map, then I went with the lighter-weight vector). Admittedly naming sucks, I'll make it LockCountData.",1,182
206,2707,"it's a bug that it doesn't error out when the generation fails though

this line should be:

 $(QUIET)$(SRC)/gen_syscalls.sh $@",0,127
539,5820,What a terrible but accurate thought. I suppose we should collect the callbacks and run them all afterward.,1,107
597,2288,I'd like to buy your dictionary with your definition of horribly.,1,65
351,6143,"Yeah, it sucks. :( Adding a separate buffer would make all the reads awkward, so I was sort of hoping that the OS would save me and it's ""only"" for a couple lines of text (initial response line and some response headers).",1,221
421,5868,What the......why did the rebase screw this up,1,46
520,5158,"This is something that puzzles us for a long time: it is actually *required* on windows to have good FPS (damn,
I wish I knew what is going on here ...)",1,152
51,1385,"else /*current_method == nullptr*/ { // Abstract method masks all defaults
  if (vtable_impl->IsAbstract() &&
      !vtable_impl->IsDefaultConflicting()) {
    ...
  }
  // else don't need do anything
}",0,202
193,6092,wtf: capdata[CAP_TO_INDEX(n)].permitted,0,39
446,2007,"i really want to replace all this crap code with std::string, but not today.",1,76
576,6125,"yeah, dumb ass bug introduced in final cleanup.  Fixed all outstanding issues in CL:33676",1,89
575,421,"ah crap...

For reasons unknown, this is always final line in the file. I think I'll need to deep-copy stack trace when capturing it.",1,133
359,2003,"I realize that some of these are silly (lol at my terrible libc dependencies in the past), but are these other deps really unnecessary?",1,135
392,1961,"I know that I mentioned this already, I'll just do it one more time, just in case. If you used vector<uint8_t> for binary data, you wouldn't have to do all those casts and you wouldn't need those ugly hacky string_as_array() calls as well. :)",1,242
88,428,"Ah! Didn't realize GetWebMediaPlayer() is a public method... that's nasty, but helpful in this case :) Done.",0,108
294,3823,"Perhaps bestAlignmentForText: returns garbage when self is not first responder. If your method returns correct values when !self.firstResponder, and you don't have any particular reason to have this, pls remove it. :)",0,217
28,1644,"Here and below, please use assertEqual instead of assertTrue with ==.",0,69
374,820,can you un-duplicate this code w/ the other file? put in a function that cmt can call. It'll suck having to keep it in sync,1,123
302,3773,"Oops...""Click here info"" reads pretty awful :-D

Fixed!",1,55
215,3501,"No, it isn't. The destruction of dedupe sets below still requires the swap space and allocator to be alive.",0,107
554,4987,This dumps an ugly sysfs path so I'll try and find something else to use.,1,73
101,4345,Should this be primary_account_info_ = account_info ?,0,53
68,3297,nit: Is this git cl formatted? Alignment looks weird...,0,55
350,1822,I can't seem to configure the IDE to not do those and it's pissing me off.,1,74
412,4572,Stupid thing. Could you possibly do the equivalent of arraysize((MinidumpSystemInfoWriter*)42)->system_info_...) instead?,1,121
387,4846,These are garbage changes that don't show up in the actual diff / patch..,1,73
475,5177,This is ugly but can all go away after cblume@'s next patch. Same in RenderFrameProxy.,1,86
21,1676,"hmm, because I'm idiot and forget it's automatically loaded...",0,62
573,1042,"Damn, you're right. My bad, the alias table was even malformed, but this was hidden by the full resource table, which masked it completely. This is now fixed. Thanks for spotting this.",1,184
497,1991,"i notice that these *_length functions don't pay attention to overflow either, and the *_to_utf8 functions don't take a destination length, only a source length.

i really wish we could move people off String8 (and all the other crap in libutils).",1,247
182,5998,"Why not use the setTimeZone method and do something like:

String tz = SystemProperties.get(TIMEZONE_PROPERTY);
if (tz != null) {
    setTimeZone(tz);
}",0,152
202,1373,"edit: Okay, pylint just told me that I'm an idiot and that you meant the error() function in argparse instead.",0,110
266,4003,"qwidget should be before any stl headers (as stl is a built-in library and Qt is just a 3rd party), and, IMO, ui_*.h should also go before system headers",0,153
492,966,"Crap. I turned if off to check something, and forgot to turn it back on. That explains why it 'passed' when PerformStage was wrong.",1,131
214,1238,"Done, with a slight modification: the data is actually read out multiple times during redirects.",0,96
585,2531,"Indeed, that's pretty ugly. It's a bit less ugly if you actually use x86::CodeGeneratorX86.",1,91
77,5858,what linter are you using ?  you should be using `cros lint`.,0,61
368,2622,"is this right?

i fixed the ARM version of this file recently, but i think the MIPS version is still utter crap. (the x86 was always fine.)

i told MIPS about this at the time, but haven't heard anything from them since.",1,220
337,743,"CamelCase, how ugly. But has nothing to do with the patch.",1,58
203,4094,"Remove.

""Let the shell script and MIMO updater check the PID.""",0,63
479,2681,it scopes the lifetime of the iv[]? Probably helps the compiler generates less shitty code.,1,91
414,3607,"Oh crap, I didn't know that was a thing. Done!",1,46
143,3140,"Need it for sdhci lib, otherwise see a compilation error.",0,57
598,5184,This is ugly. Either include graph_visualizer.h here or move the class declaration to this file.,1,96
509,3043,"might want to inject a pause here prior to the reboot; depends on how fast it cycles (getting a ""go do this"" message when the window is 1s sucks)",1,145
122,3219,"nit: both interfaces take a pid.  Make the ordering the same (first on both?)? (yeah, my fault that they're different.)",0,119
454,877,"compute and assign os.path.join(upstream_pkgdir... to a var, rather than redundancies here.  Sounds stupid/minor, but having it in one spot makes it harder to miss updating it ;)",1,178
508,6266,You also need to add dumb mapping.,1,34
31,4078,"Remove this warning because we must provide 15,30 and 30,30. We don't want people to ask if this message is a bug every time. Just keep the documentation.",0,154
379,6514,"yuck, if anything I'd have some config in the test for this. do we have other hacky special cases?",1,98
335,3610,"Oh damn, I missed that. This is not correct. We need this whenever the debugger becomes active, which might also be the case because of a breakpoint being set, not just because of this flag. Will fix this in another CL.",1,219
34,2909,"Lets move this new code up above dump, with the other new code. I like dump being at the bottom.",0,96
22,4451,"So InfoLog violates our style guide in that it's a non-const reference, but it's handled that way *everywhere*, so... don't do anything about it just now, but we should probably figure something out.",0,199
195,1324,"Downside to this, as I mentioned in the other file is that now you have error-prone string literals.",0,100
502,4778,"The optimizer should usually be able to make this not suck, but thread.name.assign() is more direct.",1,100
8,4309,"Should probably put ""adb shell"" in front of this, since it will likely be cut-n-paste'd.",0,88
165,866,"combine with prior statement, and kill extranaeous empty line.",0,62
378,1634,"heh, because dash sucks and allows you to do this kind of crap.  yes, this should be fixed.",1,91
334,6170,"Yeah, this sucks. I plan to update ddmlib to support notifications for when device properties & client properties have been updated from the device",1,147
457,2655,"It hints to the compiler to generate less shitty code, which somehow appears necessary. Perhaps we should upgrade the compiler.",1,127
33,2245,"I wonder if the indirection is worth it...

Perhaps a comment would be more helpful here:

  # Create a Datagram socket
  s = socket.socket(socket.AF_INET6, socket.SOCK_DGRAM)",0,175
507,1584,"good thing you wrote it this way :) - you would've gotten screwed if you wrote ""org.conscrypt"".equals() because jar-jar would've helpfully changed the string for you.",1,166
409,996,"Dammit, clearly I need more sleep.

Fixed now.",1,46
150,3511,"No, this os is temporary (allocated on stack), and will be destroyed at the end of this function",0,96
352,4570,"stupid rebase error, sorry about that, fixed.",1,45
72,1759,"hrm, it seems like this method's name is full of lies if its result needs to be anded with 0777...",0,98
548,2550,Inline the count variable it's useless,1,38
435,1844,"I do, otherwise the macro thinks that it has 4 parameters. Stupid macros...",1,75
287,5630,Use some less silly variable name that is longer than 1 character and that matches some naming conventions ... aBitmap for example,0,130
462,5087,This is cheating! Maybe put the small one-liner of offending code into a static function inside the cc file that's annotated NO_THREAD...,1,137
540,6101,ya. darn. i thought i snagged all these.,1,40
321,2619,Is this really a Google thing? :( No lazy initialization on singletons?! booooo,1,79
172,4593,"Suggest to remove the loop, just assign motion_sensors[0].addr and motion_sensors[1].addr individually.",0,103
185,3856,"Please don't have using statements importing names in a header. Please fully qualify them.
 
 In the C++ file, feel free to do whatever aids convenience. https://stackoverflow.com/questions/6175705/scope-of-using-declaration-within-a-namespace",0,243
488,422,"Ah damn, this is probably because protobuf_to_dict is older than map<k,v> being a native type in protobuf. It turns out there's a completely undocumented google.protobuf.json_format, so using that instead.",1,205
403,5826,What about one that has a subclass that it returns? This is checked in your duck typing proxy at least.,1,103
307,6118,"yeah, ""reboot-bootloader any old crap can follow"" worked before, but all the old craps were just ignored silently. shall we keep that backward compatible?",1,154
4,5259,This only needs Is* methods. Remove from friends and make Is methods public.,0,76
139,4091,Remove. I think this was unnecessary before already. kStackAlignment is size_t...,0,81
592,4222,seems like a pretty crappy test to me. =P,1,41
204,2811,kiking is simple - killing of reaper_thread and closing usb device endpoints.,0,77
528,4192,saving two letters makes this look ugly.  please just use BOARD_USER_PREFIX.,1,76
140,4337,should this be destroyed somewhere?,0,35
384,2465,i'm just going to kill WaitForService() because it is dumb,1,58
279,6313,You can use the ANGLE_GL_PROGRAM and add a GLShader type in gl_raii.h to not need this.,0,87
342,3722,"On second thought, adding a factory for a single function seems a bit messy. I'm merging this back to startup_utils.sh.",1,119
32,5233,"this method should not be here

why are you not using ResourceHelper.resolveDrawable",0,84
413,3573,"Note: These lines here are the only lines from the CL.

Gerrit is total garbage at doing diffbases so I gave up.",1,112
270,608,"As with UiccCard this implementation has race conditions, use mLock style synchronization on all public methods?",0,112
186,2472,I'm not following this part: why is this codepath needed?,0,57
420,4163,"s/notice/notify/?

s/make/take/ (no good reason why you can't say ""make""; just a stupid English rule)",1,101
253,5960,why is this $${...} ? I think this will be expand to <PID>{FIO_DEV},0,67
532,4198,"SCOPED_TRACE was still ugly, added <<",1,37
217,2166,"I think you can use the FileEnumerator class in the base library for enumerating the PID files:
https://cs.corp.google.com/#clankium/src/base/files/file_enumerator.h",0,165
577,4235,Seems your condition is a bit screwed up here...,1,48
486,2063,i think its fine here.  it shouldn't happen unless the auth is somehow screwed up.,1,82
79,5587,Use can use die() here... this should never happen and indicates a bug.,0,71
200,3762,"Oops, this IFNA should not be here, probably due to your rebase.",0,64
317,6525,yuck. Just declare 'throws IOException' in the method signature,1,63
485,3569,note the new __LP64__ check. we don't want to fuck 64-bit bit up like 32-bit was fucked.,1,88
249,5765,we should make this more prominent that this CL is changing the semantics of version_watermark based garbage collection.,0,120
441,3769,"oops. might need to grep for this, though cs/ suggests this is the only place we screwed up.

(it sucks that the obviously right name is the one that doesn't work!)",1,164
473,2778,"just --ipv6 and default to true? i'm pretty sure that DEFINE_bool(ipv6, ...) should already give --noipv6, and --nono_ipv6 is pretty disgusting.",1,144
416,610,"As you point out, I'm being overly anal.  Feel free to disregard.",1,65
263,1053,danalbert made this unnecessary. we've even started to remove them in places...,0,79
115,3962,Probably should add your S-o-B here.,0,36
561,718,BTW. One of the reasons I reverted this is that this hidden attribute is used by ZipInputStream to modify the behaviour of close. What a load of crap,1,149
120,2221,"I was going for:

  start 
    body
  end",0,41
587,1031,"Damn, I knew I should have found an example without Java... Done.",1,65
160,5231,"This method does a lot more than this description. It would help to have some comments either here on inline regarding garbage collection, worst offenders, region lock, ...",0,172
168,715,"Btw, the IDs starting with I... are Change-IDs you see in commit messages, identifiers of changes within gerrit. The ""real"" git commit IDs are the ones you get when browsing git log, prefixed with ""commit ..."".",0,210
210,2737,"Its requried for linkage, should I add a dex_instruction_utils.cc to get rid of it?",0,83
293,2508,"In case sb_read fails, we probably want to skip the write, since mode may be uninitialized / garbage.",0,101
501,2362,"if we actually had lexers that could extract that, I'd agree w/ being anal about it...

We don't (consequences of not using standard styles).  Changing it, but it doesn't matter.",1,178
158,5824,what about endianness here? It looks like all other methods explicitly extract individual bytes from a value,0,108
300,2937,Listing an ancient and closed bug for work like this just makes it a pain in the ass to deal with merge requests should them come up.  Please file a new bug.,1,157
35,4716,The comment seems incorrect now.  Is this a concern?,0,52
452,3731,one day we should get rid of these gotos...,1,43
152,1889,I feel it is better if you use bitwise OR instead of arithmetics.,0,65
236,1514,"Fortunately, it's simpler, because we don't even need the keyblock flags for vboot2.",0,84
244,1414,error -> die.  then you can drop the exit below.,0,48
410,3010,"Maybe just move this inline in the header, mostly because ifdefs are ugly.  :(",1,78
73,3577,Nothing.  Copy-Pasted garbage from original fimd_wait_for_vblank().,0,67
228,888,Consider an enum class for cleanliness.,0,39
591,576,"ARGH.  I was about to comment asking you to change this to just passing in a class-level variable, but then I realized you can't.  DAMN YOU PYTHON.",1,147
134,894,Consider using std::string* out that you only overwrite if GetString() is successful (see below).,0,97
527,1151,"Dislike this here.  Is there a better place for this constant?

Alternatively, leave it here, then we move the git crap out of this lib into it's own module...",1,159
583,1672,"Hmm whitespace looks dumb there.  Perhaps just drop the trailing comma?
I wrote that, thanks for linting.",1,105
298,700,"bool skip_first_stack_check = false;
.... skip_first_stack_check .... for readability.

Another possibility would be to introduce flags (with kSkipFirstStackCheck and kAnalyzeEnvironmentLiveness).",0,196
247,881,CONFIG_FTRACE is expensive and not necessary for systrace.  All you need is CONFIG_SCHED_TRACER.,0,96
405,5795,"Well that sucks. I changed to std::unique_ptr, but let me know if there's a better way to do this.",1,98
170,490,"All these is checks smell like you need a visitor. You'll also handle IsSub, IsMul, etc.",0,88
44,4075,"Remove this left over from experimentation with std::current_exception(), that havn't worked.",0,93
360,5407,"This would be cleaner if just written using os.chdir before, dropping the env crap and the cwd kwarg, and then another os.chdir in a finally block (I have a nice cd contextmanager in tests/utils.py if you want to steal that).",1,225
406,3527,"Nope, I totally copied it from somewhere else and didn't touch it because std::stream is silly. 

I would delete it here since we don't know.",1,141
238,6448,You should put a kOnstant in here.,0,34
480,5373,"This was actually shockingly bad, since it meant that we'd always calculate the hashed id even if the blacklist was empty.  Yuck!",1,129
78,2346,If the errno returned is ESRCH (The pid or process group does not exist.) should this be an error?,0,98
107,5374,"This was calling UpdateAttempter::Init() method, not any MockUpdateAttempter::Init(), which was initialized with nullptrs on the first place so totally useless. This interface would require proper abstraction.",0,209
256,3583,"Now this is the ""made up"" delay. ...it's much smaller, I don't think it needs to be very much.",0,94
70,1894,I find the internal ids quite ugly. It was just a quick groovy hack at first... Feel free to find something better. Maybe they should just be integers after all?,0,161
163,4144,"rules for init go in init.te

you don't need the domain trans for dhcp.",0,71
318,1942,I heard about that - apparently it may create a black hole that consumes your children.,1,87
310,1919,"I hate ""as"" imports since they make it harder to see what you've imported. Can we just say ""import state""?",1,106
399,5023,This insanity is spreading... I'll have to clean it up.,1,55
464,4675,that's actually a possibility? yuck!,1,36
419,5052,"This is a little ugly, but will help get soong enabled with USE_SOONG=true and can go away as soong as we have prebuilt support in soong and can put an Android.bp file in libc/zoneinfo",1,184
436,864,Code was moved. I agree that magic constants suck.,1,50
85,5173,This is to only upload dumps without having to create a CrashHandler,0,68
524,6095,"wtf? why aren't we just using std::string instead of char*,size_t?",1,66
13,2052,I think I actually shouldn't have removed this because there's now a bunch of crap in my working directory...,0,109
562,1030,"Damn, good catch, I added that if() without thinking and my test just coincidentally happened to work.

Fixed and added another test to cover that case.",1,152
5,3843,please add `|| die' in the end of the line,0,42
36,775,Can we extract this to a function? All the exit points are die() statements so should be fine.,0,94
522,1779,"I agree with you, btw.

Tor - can you think of any alternative ways?

I wonder if the JB would be willing to clean it up so that Native.POINTER_SIZE and its side effects are performed via a different method than this ugly hack.",1,227
529,633,"BASE_LOCK is listed as a read-only bit, so I'd be very surprised if this does anything. I never understood what that stupid override bit does, however... you could try leaving it out and see if it still works.",1,209
364,4724,The deeply nested 'with' crap I'll do something about shortly....,1,65
478,5697,"Wait, silly gerrit hid some lines and it wasn't obvious. I've also refactored this code massively in https://chromium-review.googlesource.com/c/chromium/src/+/716442, you might want to wait until that lands.",1,207
484,4186,same rant about using the standard shit. Done.,1,46
108,6421,You should be able to get rid of this and create a fake sysroot.,0,64
433,995,dammit! thanks for keeping me honest :),1,39
126,3937,"Preparation for a day when we don't abort, but die gracefully. If you want me to remove it...",0,93
99,2020,"I see. That's the error because you are trying to overwrite existing dir with symlink; while ""rsync -a"" was to fix symlink overwriting broken symlink.

Probably better to write a python script to do the copy, so you can select whatever to copy.",0,244
191,3504,"No, please... all I'm trying to do here is preserve the current semantics, and make it as explicit (and ugly) as possible. I'm hoping for this to all go away very soon.",0,168
272,3366,"nit: should have a higher oom_score_adj to be killed earlier.
Don't forget the period.",0,86
83,5759,we should just delete this entirely and use sys_tgkill from linux_syscall_support,0,81
325,2094,I think the formatting may have gotten screwed up (or Gerrit made it look ugly),1,79
175,4418,"Since these APIs can't be used by anything other than the smart card process they should be hidden so they won't show up in the SDK. To do that please add a javadoc comment that includes the @hide tag, like this:

/**
 * @hide
 */",0,230
530,4020,"really? that seems retarded. can't you fix that?

the uapi mips stat.h has ""unsigned long st_mtime"". are you sure the real problem here isn't that bionic's stat.h has the wrong definition for mips64's struct stat?",1,213
559,1290,"Done.
Of course, excuse the brain fart :)",1,41
482,3798,"our style guide not withstanding, Stop() vs stop() seems like a recipe to get bit in the ass; I've use a lowercase 'stop()' here instead of the usual capitalization.",1,165
86,4772,"the only difference here is ""diff"" vs ""show"", and commit vs ""HEAD"" (assuming commit isn't already ""HEAD""). you should extract those out.",0,136
365,6199,"Yes, checkpatch is a rather stupid style checker.",1,49
264,569,"Are you sure you want white here, and not transparent?",0,54
209,6031,"Will do, though the instructions are quite ugly and would make Alex cry. We need to convert the process to involve an init script.",0,130
424,6524,Yuck. It took me a second to see the use of response.,1,53
136,473,"Ak, that was dumb of me not to see that, _that's_ why you did it that way.",0,74
534,3550,"Not reverting this line to 
CHECK(!callback.is_null());
because that is just silly.",1,83
257,5068,This is a stupid mistake. Thanks for catching that.,0,51
549,6147,"Yeah, it's like this code has entered a squishing competition. Sucky if you ask me, but agree with the line removal here and below - it's consistent with the rest of the code, and that matters more than anything else when coding at chrome-team scale.",1,250
169,5774,we should remove all accounts of TYPE_0 too,0,43
180,2073,"I think so. For example, debuggerd uses this feature to dump parts of the stack of the crashing process.",0,104
65,4849,These are incorrect for sklrvp and should probably be removed.,0,62
248,902,const std::string& to avoid an useless copy?,0,44
291,1320,"dorp 307-311, do this instead:

cros_build_lib.SudoRunCommand(['rm', '-f', maskfile],
  print_cmd=False, strict=False)",0,118
93,1227,"Done

But if kill() or getpid() starts to fail, I'm pretty sure we have way worst problem that failing the test :)",0,114
